file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\graphql-java\src\main\java\graphql\schema\diffing\ana\EditOperationAnalyzer.java,graphql.schema.diffing.ana.EditOperationAnalyzer,argumentAdded/1[graphql.schema.diffing.EditOperation],false,1705,11,16,1,15,3,15,22,0,7,1,15,3,1,0,0,0,0,0,0,7,0,2,0,0,0,25,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\graphql-java\src\main\java\graphql\schema\diffing\ana\EditOperationAnalyzer.java,graphql.schema.diffing.ana.EditOperationAnalyzer,changedObject/1[graphql.schema.diffing.EditOperation],false,1764,3,5,1,4,1,4,7,0,3,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\graphql-java\src\main\java\graphql\schema\diffing\ana\EditOperationAnalyzer.java,graphql.schema.diffing.ana.EditOperationAnalyzer,inputFieldTypeOrDefaultValueChanged/1[graphql.schema.diffing.EditOperation],false,1093,8,12,1,11,3,11,17,0,9,1,11,3,1,0,0,0,0,0,0,9,0,1,0,0,0,22,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\graphql-java\src\main\java\graphql\schema\diffing\ana\EditOperationAnalyzer.java,graphql.schema.diffing.ana.EditOperationAnalyzer,changedDirective/1[graphql.schema.diffing.EditOperation],false,1755,3,5,1,4,1,4,7,0,3,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\graphql-java\src\main\java\graphql\schema\diffing\ana\EditOperationAnalyzer.java,graphql.schema.diffing.ana.EditOperationAnalyzer,argumentDeleted/1[graphql.schema.diffing.EditOperation],false,1683,11,16,1,15,3,15,22,0,7,1,15,3,1,0,0,0,0,0,0,7,0,2,0,0,0,25,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\graphql-java\src\main\java\graphql\schema\diffing\ana\EditOperationAnalyzer.java,graphql.schema.diffing.ana.EditOperationAnalyzer,interfaceImplementationDeleted/1[graphql.schema.diffing.Edge],false,1219,8,14,1,13,4,13,22,2,7,1,13,4,1,0,0,0,0,0,0,7,0,2,0,0,0,18,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\graphql-java\src\main\java\graphql\schema\diffing\ana\EditOperationAnalyzer.java,graphql.schema.diffing.ana.EditOperationAnalyzer,"isArgumentNewForExistingObjectField/3[java.lang.String,java.lang.String,java.lang.String]",false,1355,4,7,2,5,4,12,16,4,6,3,12,0,0,0,0,0,1,0,0,4,0,1,0,0,2,17,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\graphql-java\src\main\java\graphql\schema\diffing\ana\EditOperationAnalyzer.java,graphql.schema.diffing.ana.EditOperationAnalyzer,"isFieldNewForExistingObject/2[java.lang.String,java.lang.String]",false,1431,3,6,4,2,3,7,11,3,3,2,7,0,0,0,0,0,1,0,0,2,0,1,0,0,1,14,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\graphql-java\src\main\java\graphql\schema\diffing\ana\EditOperationAnalyzer.java,graphql.schema.diffing.ana.EditOperationAnalyzer,"isFieldDeletedFromExistingObject/2[java.lang.String,java.lang.String]",false,1455,3,4,2,2,3,7,11,3,3,2,7,0,0,0,0,0,1,0,0,2,0,1,0,0,1,14,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\graphql-java\src\main\java\graphql\schema\diffing\ana\EditOperationAnalyzer.java,graphql.schema.diffing.ana.EditOperationAnalyzer,handleTypeVertexChanges/1[java.util.List<graphql.schema.diffing.EditOperation>],false,825,2,5,1,4,5,4,15,0,0,1,4,3,4,1,0,0,0,0,0,0,0,2,0,0,0,11,2,0,false
