file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\greys-anatomy\core\src\main\java\com\github\ompc\greys\core\util\matcher\GaMethodMatcher.java,com.github.ompc.greys.core.util.matcher.GaMethodMatcher,getTargetName/1[com.github.ompc.greys.core.util.GaMethod],false,70,1,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\greys-anatomy\core\src\main\java\com\github\ompc\greys\core\util\matcher\GaMethodMatcher.java,com.github.ompc.greys.core.util.matcher.GaMethodMatcher,"GaMethodMatcher/4[int,com.github.ompc.greys.core.util.matcher.Matcher<java.lang.String>,java.util.List<com.github.ompc.greys.core.util.matcher.Matcher<java.lang.Class<?>>>,java.util.Collection<com.github.ompc.greys.core.util.matcher.Matcher<java.lang.Class<? extends java.lang.annotation.Annotation>>>]",true,24,1,0,0,0,1,0,4,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\greys-anatomy\core\src\main\java\com\github\ompc\greys\core\util\matcher\GaMethodMatcher.java,com.github.ompc.greys.core.util.matcher.GaMethodMatcher,reflectMatching/1[com.github.ompc.greys.core.util.GaMethod],false,34,2,1,0,1,1,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\greys-anatomy\core\src\main\java\com\github\ompc\greys\core\util\matcher\GaMethodMatcher.java,com.github.ompc.greys.core.util.matcher.GaMethodMatcher,matchingParameters/1[com.github.ompc.greys.core.util.GaMethod],false,38,2,3,1,2,6,4,17,4,4,1,4,0,0,1,3,0,0,0,1,4,0,2,0,0,0,16,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\greys-anatomy\core\src\main\java\com\github\ompc\greys\core\util\matcher\GaMethodMatcher.java,com.github.ompc.greys.core.util.matcher.GaMethodMatcher,GaMethodMatcher/1[com.github.ompc.greys.core.util.matcher.Matcher<java.lang.String>],true,29,1,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\greys-anatomy\core\src\main\java\com\github\ompc\greys\core\util\matcher\GaMethodMatcher.java,com.github.ompc.greys.core.util.matcher.GaMethodMatcher,getTargetAnnotationArray/1[com.github.ompc.greys.core.util.GaMethod],false,75,1,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\greys-anatomy\core\src\main\java\com\github\ompc\greys\core\util\matcher\GaMethodMatcher.java,com.github.ompc.greys.core.util.matcher.GaMethodMatcher,getTargetModifiers/1[com.github.ompc.greys.core.util.GaMethod],false,65,1,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\greys-anatomy\core\src\main\java\com\github\ompc\greys\core\advisor\AdviceListenerAdapter.java,com.github.ompc.greys.core.advisor.AdviceListenerAdapter,"before/6[java.lang.ClassLoader,java.lang.String,java.lang.String,java.lang.String,java.lang.Object,java.lang.Object[]]",false,20,0,0,0,0,1,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\greys-anatomy\core\src\main\java\com\github\ompc\greys\core\advisor\AdviceListenerAdapter.java,com.github.ompc.greys.core.advisor.AdviceListenerAdapter,"afterReturning/7[java.lang.ClassLoader,java.lang.String,java.lang.String,java.lang.String,java.lang.Object,java.lang.Object[],java.lang.Object]",false,25,0,0,0,0,1,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\greys-anatomy\core\src\main\java\com\github\ompc\greys\core\advisor\AdviceListenerAdapter.java,com.github.ompc.greys.core.advisor.AdviceListenerAdapter,destroy/0,false,15,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
