file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\groupie\library\src\test\java\com\xwray\groupie\AlwaysUpdatingItem.java,com.xwray.groupie.AlwaysUpdatingItem,class,1,3,2,1,2,3,0,0,1,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\groupie\library\src\test\java\com\xwray\groupie\ExpandableGroupTest.java,com.xwray.groupie.ExpandableGroupTest$DummyExpandableItem,innerclass,4,4,0,4,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\groupie\example-databinding\src\main\java\com\xwray\groupie\example\databinding\item\HeartCardItem.java,com.xwray.groupie.example.databinding.item.HeartCardItem$Anonymous1,anonymous,3,3,0,3,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\groupie\library\src\main\java\com\xwray\groupie\OnAsyncUpdateListener.java,com.xwray.groupie.OnAsyncUpdateListener,interface,0,3,3,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\groupie\example-databinding\src\main\java\com\xwray\groupie\example\databinding\item\ColumnItem.java,com.xwray.groupie.example.databinding.item.ColumnItem,class,2,3,1,2,2,4,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,0,0,0,0,1,0,1,0,0,0,0,0,11,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\groupie\example-databinding\src\main\java\com\xwray\groupie\example\databinding\item\CarouselCardItem.java,com.xwray.groupie.example.databinding.item.CarouselCardItem,class,4,5,1,4,3,3,0,2,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,1,0,0,0,0,0,0,1,0,1,0,0,0,0,25,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\groupie\library\src\main\java\com\xwray\groupie\Section.java,com.xwray.groupie.Section,class,10,18,8,10,105,2,0,58,714,0.86734694,0.0,0.0,49,0,30,17,2,0,32,0,0,0,8,0,0,8,0,0,1,0,6,334,36,1,24,0,0,6,30,41,7,26,2,1,0,0,158,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\groupie\library-viewbinding\src\main\java\com\xwray\groupie\viewbinding\GroupieViewHolder.java,com.xwray.groupie.viewbinding.GroupieViewHolder,class,3,4,1,3,1,3,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\groupie\example-shared\src\main\java\com\xwray\groupie\example\core\SettingsActivity.java,com.xwray.groupie.example.core.SettingsActivity$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\groupie\library\src\main\java\com\xwray\groupie\AsyncDiffUtil.java,com.xwray.groupie.AsyncDiffUtil,class,7,9,2,7,5,1,0,1,4,0.6,0.0,0.0,5,0,0,0,0,5,5,0,0,0,3,0,0,3,0,0,1,0,0,25,3,0,0,0,0,0,0,3,0,4,0,0,1,0,33,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\groupie\example-shared\src\main\java\com\xwray\groupie\example\core\SettingsActivity.java,com.xwray.groupie.example.core.SettingsActivity$Anonymous2,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\groupie\example-shared\src\main\java\com\xwray\groupie\example\core\InfiniteScrollListener.java,com.xwray.groupie.example.core.InfiniteScrollListener,class,3,5,2,3,9,2,0,5,0,0.6944444,0.0,0.0,4,0,4,0,0,0,4,1,0,0,7,0,0,7,0,0,1,0,0,38,0,0,1,0,2,0,4,13,2,9,2,1,0,0,32,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\groupie\library\src\main\java\com\xwray\groupie\DiffTask.java,com.xwray.groupie.DiffTask,class,9,11,2,9,13,2,0,10,0,0.5,0.0,0.0,4,0,0,1,2,1,3,0,0,0,6,0,0,6,0,0,4,0,0,42,3,0,7,1,0,0,0,8,0,7,2,0,0,0,56,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\groupie\library-databinding\src\main\java\com\xwray\groupie\databinding\BindableItem.java,com.xwray.groupie.databinding.BindableItem,class,9,16,7,9,8,2,0,5,28,0.0,0.0,0.0,8,0,7,0,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,26,1,0,0,0,0,1,0,1,0,1,0,0,0,0,81,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\groupie\example-databinding\src\main\java\com\xwray\groupie\example\databinding\item\CardItem.java,com.xwray.groupie.example.databinding.item.CardItem,class,4,13,9,4,5,3,5,3,4,0.4,0.0,0.0,5,0,5,0,0,0,5,0,1,0,1,0,0,1,0,0,0,0,0,19,2,0,0,0,0,1,0,1,0,1,0,0,0,0,12,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\groupie\library\src\main\java\com\xwray\groupie\ExpandableGroup.java,com.xwray.groupie.ExpandableGroup,class,7,14,7,7,59,2,0,42,126,0.64285713,0.0,0.0,28,0,27,1,0,0,27,0,0,0,3,0,0,3,0,0,2,0,4,198,13,1,4,0,1,0,12,15,7,12,2,0,0,0,57,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\groupie\example-databinding\src\main\java\com\xwray\groupie\example\databinding\item\SwipeToDeleteItem.java,com.xwray.groupie.example.databinding.item.SwipeToDeleteItem,class,2,3,1,2,2,4,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
