file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\gson\gson\src\main\java\com\google\gson\internal\LinkedTreeMap.java,com.google.gson.internal.LinkedTreeMap$KeySet$Anonymous3,next/0,false,634,2,2,0,2,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\gson\gson\src\test\java\com\google\gson\functional\ReflectionAccessTest.java,com.google.gson.functional.ReflectionAccessTest,loadClassWithDifferentClassLoader/1[java.lang.Class<?>],false,47,0,1,1,0,1,5,5,1,2,1,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,10,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\gson\gson\src\test\java\com\google\gson\functional\ReflectionAccessTest.java,com.google.gson.functional.ReflectionAccessTest,testRestrictiveSecurityManager/0,false,55,6,9,0,9,2,15,46,0,7,0,15,1,1,0,0,2,0,6,0,8,0,2,2,0,0,51,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\gson\gson\src\test\java\com\google\gson\functional\ReflectionAccessTest.java,com.google.gson.functional.ReflectionAccessTest,testSerializeInternalImplementationObject/0,false,122,2,3,0,3,3,9,16,0,3,0,9,0,0,0,0,1,0,6,0,3,1,1,0,0,0,72,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\gson\extras\src\main\java\com\google\gson\typeadapters\RuntimeTypeAdapterFactory.java,com.google.gson.typeadapters.RuntimeTypeAdapterFactory,"of/2[java.lang.Class<T>,java.lang.String]",false,166,2,1,0,1,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\gson\extras\src\main\java\com\google\gson\typeadapters\RuntimeTypeAdapterFactory.java,com.google.gson.typeadapters.RuntimeTypeAdapterFactory,"create/2[com.google.gson.Gson,com.google.gson.reflect.TypeToken<R>]",false,218,5,6,0,6,5,12,62,3,6,2,12,0,0,1,1,0,0,0,0,6,0,1,1,0,0,56,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\gson\extras\src\main\java\com\google\gson\typeadapters\RuntimeTypeAdapterFactory.java,com.google.gson.typeadapters.RuntimeTypeAdapterFactory,of/1[java.lang.Class<T>],false,174,2,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,9,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\gson\extras\src\main\java\com\google\gson\typeadapters\RuntimeTypeAdapterFactory.java,com.google.gson.typeadapters.RuntimeTypeAdapterFactory,"registerSubtype/2[java.lang.Class<? extends T>,java.lang.String]",false,194,2,0,0,0,5,4,11,1,0,2,4,0,0,0,2,0,0,1,0,0,0,1,0,0,0,27,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\gson\extras\src\main\java\com\google\gson\typeadapters\RuntimeTypeAdapterFactory.java,com.google.gson.typeadapters.RuntimeTypeAdapterFactory,"RuntimeTypeAdapterFactory/3[java.lang.Class<?>,java.lang.String,boolean]",true,143,0,0,0,0,3,0,8,0,0,3,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,13,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\gson\extras\src\main\java\com\google\gson\typeadapters\RuntimeTypeAdapterFactory.java,com.google.gson.typeadapters.RuntimeTypeAdapterFactory,recognizeSubtypes/0,false,182,2,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,1,0,true
