file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\guide-rpc-framework\rpc-framework-simple\src\main\java\github\javaguide\remoting\transport\netty\server\NettyRpcServer.java,github.javaguide.remoting.transport.netty.server.NettyRpcServer$Anonymous1,initChannel/1[github.javaguide.remoting.transport.netty.server.SocketChannel],false,75,6,3,0,3,1,2,7,0,1,1,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,15,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\guide-rpc-framework\rpc-framework-simple\src\main\java\github\javaguide\serialize\hessian\HessianSerializer.java,github.javaguide.serialize.hessian.HessianSerializer,serialize/1[java.lang.Object],false,20,3,2,1,1,2,2,10,1,2,1,2,0,0,0,0,1,0,1,0,2,0,1,0,0,0,13,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\guide-rpc-framework\rpc-framework-simple\src\main\java\github\javaguide\serialize\hessian\HessianSerializer.java,github.javaguide.serialize.hessian.HessianSerializer,"deserialize/2[byte[],java.lang.Class<T>]",false,33,4,1,0,1,2,2,10,1,3,2,2,0,0,0,0,1,0,1,0,3,0,1,0,0,0,16,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\guide-rpc-framework\rpc-framework-simple\src\main\java\github\javaguide\serialize\Serializer.java,github.javaguide.serialize.Serializer,serialize/1[java.lang.Object],false,13,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\guide-rpc-framework\rpc-framework-simple\src\main\java\github\javaguide\serialize\Serializer.java,github.javaguide.serialize.Serializer,"deserialize/2[byte[],java.lang.Class<T>]",false,21,2,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\guide-rpc-framework\rpc-framework-simple\src\main\java\github\javaguide\remoting\transport\netty\client\NettyRpcClient.java,github.javaguide.remoting.transport.netty.client.NettyRpcClient,NettyRpcClient/0,true,51,10,4,0,4,1,9,17,0,0,0,9,0,0,0,0,0,0,0,1,5,0,0,1,0,0,23,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\guide-rpc-framework\rpc-framework-simple\src\main\java\github\javaguide\remoting\transport\netty\client\NettyRpcClient.java,github.javaguide.remoting.transport.netty.client.NettyRpcClient,close/0,false,137,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\guide-rpc-framework\rpc-framework-simple\src\main\java\github\javaguide\remoting\transport\netty\client\NettyRpcClient.java,github.javaguide.remoting.transport.netty.client.NettyRpcClient,sendRpcRequest/1[github.javaguide.remoting.dto.RpcRequest],false,98,8,3,0,3,3,21,24,1,5,1,21,1,2,0,0,0,0,2,0,4,0,3,0,0,1,20,1,2,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\guide-rpc-framework\rpc-framework-simple\src\main\java\github\javaguide\remoting\transport\netty\client\NettyRpcClient.java,github.javaguide.remoting.transport.netty.client.NettyRpcClient,doConnect/1[java.net.InetSocketAddress],false,84,4,1,1,0,2,8,14,1,2,1,8,0,0,0,0,0,0,1,0,1,0,2,0,0,1,32,1,1,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\guide-rpc-framework\rpc-framework-simple\src\main\java\github\javaguide\remoting\transport\netty\client\NettyRpcClient.java,github.javaguide.remoting.transport.netty.client.NettyRpcClient,getChannel/1[java.net.InetSocketAddress],false,128,3,5,2,3,2,3,8,1,1,1,3,1,1,0,1,0,0,0,0,2,0,1,0,0,0,10,1,0,false
