file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hackpad\infrastructure\rhino1_7R3\src\org\mozilla\javascript\ast\ObjectLiteral.java,org.mozilla.javascript.ast.ObjectLiteral,class,6,11,5,6,19,3,0,13,31,0.76666665,0.0,0.0,10,0,10,0,0,0,11,0,0,0,3,1,0,2,0,1,1,0,1,59,3,2,5,0,0,2,0,6,0,4,2,0,0,0,121,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hackpad\infrastructure\rhino1_7R3\src\org\mozilla\javascript\NativeBoolean.java,org.mozilla.javascript.NativeBoolean,class,8,11,3,8,32,1,0,14,19,0.8571429,0.0,0.0,7,1,3,0,2,2,7,0,0,0,4,3,0,3,0,1,3,0,7,106,10,0,11,0,3,14,20,34,0,18,2,0,0,0,73,16,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hackpad\infrastructure\rhino1_7R3\src\org\mozilla\javascript\ast\Assignment.java,org.mozilla.javascript.ast.Assignment,class,2,5,3,2,6,4,0,0,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hackpad\infrastructure\rhino1_7R3\testsrc\org\mozilla\javascript\tests\CustomSetterAcceptNullScriptableTest.java,org.mozilla.javascript.tests.CustomSetterAcceptNullScriptableTest$Foo2,innerclass,1,1,0,1,1,1,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,1,0,0,0,0,1,1,1,0,1,0,0,0,0,13,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hackpad\infrastructure\rhino1_7R3\testsrc\org\mozilla\javascript\tests\ObserveInstructionCountTest.java,org.mozilla.javascript.tests.ObserveInstructionCountTest$MyFactory,innerclass,6,6,0,6,4,2,0,2,3,0.0,0.0,0.0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,3,5,0,3,1,0,0,0,19,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hackpad\infrastructure\rhino1_7R3\testsrc\org\mozilla\javascript\tests\StackTraceTest.java,org.mozilla.javascript.tests.StackTraceTest,class,5,6,1,5,2,2,0,4,1,0.5,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,3,30,0,0,0,0,0,6,1,6,1,6,0,1,0,0,41,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hackpad\infrastructure\rhino1_7R3\toolsrc\org\mozilla\javascript\tools\debugger\SwingGui.java,org.mozilla.javascript.tools.debugger.FindFunction$MouseHandler,innerclass,0,0,0,0,2,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,1,0,0,0,1,0,0,0,9,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hackpad\infrastructure\rhino1_7R3\src\org\mozilla\javascript\ast\XmlString.java,org.mozilla.javascript.ast.XmlString,class,4,7,3,4,7,4,0,6,15,0.5714286,0.0,0.0,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,0,26,2,0,0,0,0,0,0,1,1,1,0,0,0,0,67,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hackpad\infrastructure\rhino1_7R3\testsrc\org\mozilla\javascript\tests\JsTestsTest.java,org.mozilla.javascript.tests.JsTestsTest,class,3,4,1,3,4,3,0,4,6,0.875,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,2,0,0,0,2,2,0,1,25,0,0,0,0,0,3,3,3,1,3,0,1,0,0,22,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hackpad\infrastructure\rhino1_7R3\src\org\mozilla\javascript\ast\AstRoot.java,org.mozilla.javascript.ast.AstRoot$Anonymous1,anonymous,2,2,0,2,3,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,2,0,0,2,1,1,1,1,1,0,0,0,11,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hackpad\infrastructure\rhino1_7R3\src\org\mozilla\javascript\DefiningClassLoader.java,org.mozilla.javascript.DefiningClassLoader,class,3,5,2,3,8,2,0,8,10,0.8,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,1,30,2,0,2,0,0,0,1,5,0,2,2,0,0,0,24,1,0
