file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\halo\src\main\java\run\halo\app\security\authorization\AttributesRecord.java,run.halo.app.security.authorization.AttributesRecord,class,3,4,1,3,12,1,0,10,0,0.4583333,0.0,0.0,12,0,12,0,0,0,12,0,0,0,2,0,0,2,0,0,2,0,0,42,11,0,0,0,0,3,0,3,0,3,0,0,0,0,23,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\halo\src\main\java\run\halo\app\theme\router\ViewNameResolver.java,run.halo.app.theme.router.ViewNameResolver,class,7,14,7,7,4,1,0,12,1,0.5,0.0,0.0,2,0,1,0,0,1,2,0,0,0,2,0,0,2,0,0,2,0,0,19,3,0,0,0,0,0,0,4,0,6,1,0,0,1,33,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\halo\src\main\java\run\halo\app\core\extension\Menu.java,run.halo.app.core.extension.Menu,class,7,9,2,7,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7,0,0,0,0,0,6,0,0,0,1,0,0,1,0,11,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\halo\src\main\java\run\halo\app\theme\router\factories\AuthorPostsRouteFactory.java,run.halo.app.theme.router.factories.AuthorPostsRouteFactory,class,18,21,3,18,4,1,0,27,6,0.75,0.0,0.0,4,0,1,2,0,1,2,0,0,0,3,0,0,3,0,0,2,0,0,23,5,0,0,0,0,5,0,3,0,9,1,0,0,3,51,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\halo\src\main\java\run\halo\app\theme\router\PermalinkWatch.java,run.halo.app.theme.router.PermalinkWatch,interface,1,1,0,1,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\halo\src\main\java\run\halo\app\theme\finders\impl\PluginFinderImpl.java,run.halo.app.theme.finders.impl.PluginFinderImpl,class,5,6,1,5,3,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,13,3,0,1,0,0,1,0,1,0,2,1,0,0,0,14,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\halo\src\main\java\run\halo\app\extension\store\ExtensionStoreClientJPAImpl.java,run.halo.app.extension.store.ExtensionStoreClientJPAImpl,class,6,7,1,6,6,1,0,12,0,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,1,0,0,27,6,0,0,0,0,2,0,3,1,4,1,0,0,2,37,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\halo\src\main\java\run\halo\app\theme\TemplateEngineManager.java,run.halo.app.theme.TemplateEngineManager,class,22,26,4,22,12,1,0,41,16,0.73214287,0.0,0.0,8,0,3,3,0,2,5,0,0,0,7,1,0,7,0,0,7,0,0,78,7,0,1,1,0,3,1,13,1,14,2,1,0,1,101,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\halo\src\main\java\run\halo\app\core\extension\AnnotationSetting.java,run.halo.app.core.extension.AnnotationSetting$AnnotationSettingSpec,innerclass,3,3,0,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,2,0,0,0,0,17,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\halo\src\main\java\run\halo\app\security\authentication\login\LoginConfigurer.java,run.halo.app.security.authentication.login.LoginConfigurer$LoginFailureHandler,innerclass,6,6,0,6,1,1,0,13,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,6,1,0,0,0,0,2,0,1,0,3,0,0,0,2,21,1,0
