file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hawk\hawk\src\main\java\com\orhanobut\hawk\ConcealEncryption.java,com.orhanobut.hawk.ConcealEncryption,class,7,8,1,7,6,1,0,9,3,0.33333334,0.0,0.0,6,0,4,0,2,0,6,0,0,0,1,0,0,1,0,0,1,0,0,26,3,0,0,0,0,0,0,6,0,6,0,0,0,0,24,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hawk\hawk\src\main\java\com\orhanobut\hawk\SharedPreferencesStorage.java,com.orhanobut.hawk.SharedPreferencesStorage,class,7,9,2,7,9,1,0,13,6,0.33333334,0.0,0.0,9,0,6,1,0,2,8,0,0,0,1,0,0,1,0,0,1,0,2,31,7,0,0,0,0,2,0,2,0,1,0,0,0,0,16,16,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hawk\hawk\src\main\java\com\orhanobut\hawk\Converter.java,com.orhanobut.hawk.Converter,interface,2,5,3,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hawk\hawk\src\test\java\com\orhanobut\hawk\HawkFacadeIntegrationTest.java,com.orhanobut.hawk.HawkFacadeIntegrationTest,class,7,7,0,7,17,1,0,34,105,0.0,0.0,0.0,15,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,53,118,0,1,0,0,0,62,11,20,2,20,1,0,0,0,37,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hawk\hawk\src\main\java\com\orhanobut\hawk\HawkBuilder.java,com.orhanobut.hawk.HawkBuilder$Anonymous1,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hawk\hawk\src\main\java\com\orhanobut\hawk\HawkUtils.java,com.orhanobut.hawk.HawkUtils,class,1,8,7,1,8,1,0,3,6,0.0,0.0,0.0,4,3,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,17,1,0,3,0,0,2,1,0,2,0,1,0,0,0,18,16,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hawk\benchmark\src\main\java\com\orhanobut\benchmark\MainActivity.java,com.orhanobut.benchmark.MainActivity,class,5,6,1,5,7,2,0,18,21,0.0,NaN,NaN,7,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,18,53,0,0,0,0,6,17,0,12,12,12,0,1,0,0,24,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hawk\hawk\src\main\java\com\orhanobut\hawk\HawkConverter.java,com.orhanobut.hawk.HawkConverter,class,9,11,2,9,21,1,0,16,0,0.14285715,0.0,0.0,7,0,3,4,0,0,3,0,0,0,1,0,0,1,0,0,1,0,1,83,15,3,7,0,0,6,1,16,0,16,1,3,0,0,55,16,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hawk\hawk\src\main\java\com\orhanobut\hawk\Encryption.java,com.orhanobut.hawk.Encryption,interface,0,4,4,0,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hawk\hawk\src\main\java\com\orhanobut\hawk\HawkConverter.java,com.orhanobut.hawk.HawkConverter$Anonymous2,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hawk\hawk\src\main\java\com\orhanobut\hawk\DefaultHawkFacade.java,com.orhanobut.hawk.DefaultHawkFacade,class,11,13,2,11,24,1,0,26,11,0.6727273,0.0,0.0,11,0,10,1,0,0,10,0,0,0,5,0,0,5,0,0,5,0,1,120,18,0,9,3,0,24,0,16,10,13,1,0,0,0,68,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hawk\hawk\src\main\java\com\orhanobut\hawk\HawkConverter.java,com.orhanobut.hawk.HawkConverter$Anonymous3,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hawk\hawk\src\main\java\com\orhanobut\hawk\Hawk.java,com.orhanobut.hawk.Hawk,class,7,10,3,7,12,1,0,10,0,0.0,0.0,0.0,12,11,10,1,0,1,11,0,0,0,1,1,0,0,0,1,0,0,1,40,9,0,0,0,0,1,0,3,0,1,0,0,0,0,112,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hawk\hawk\src\main\java\com\orhanobut\hawk\Storage.java,com.orhanobut.hawk.Storage,interface,1,4,3,1,6,1,0,0,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,1,0
