file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hsweb-framework\hsweb-system\hsweb-system-authorization\hsweb-system-authorization-default\src\main\java\org\hswebframework\web\system\authorization\defaults\webflux\WebFluxDimensionController.java,org.hswebframework.web.system.authorization.defaults.webflux.WebFluxDimensionController,getService/0,false,28,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hsweb-framework\hsweb-concurrent\hsweb-concurrent-cache\src\test\java\org\hswebframework\web\cache\RedisReactiveCacheManagerTest.java,org.hswebframework.web.cache.RedisReactiveCacheManagerTest,test/0,false,32,4,6,0,6,1,14,12,0,1,0,14,0,0,0,0,0,0,23,0,1,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hsweb-framework\hsweb-system\hsweb-system-authorization\hsweb-system-authorization-api\src\main\java\org\hswebframework\web\system\authorization\api\entity\PermissionEntity.java,org.hswebframework.web.system.authorization.api.entity.PermissionEntity,getId/0,false,38,2,2,2,0,1,1,3,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hsweb-framework\hsweb-system\hsweb-system-authorization\hsweb-system-authorization-api\src\main\java\org\hswebframework\web\system\authorization\api\entity\PermissionEntity.java,org.hswebframework.web.system.authorization.api.entity.PermissionEntity,"copy/2[java.util.function.Predicate<org.hswebframework.web.system.authorization.api.entity.ActionEntity>,java.util.function.Predicate<org.hswebframework.web.system.authorization.api.entity.OptionalField>]",false,106,3,1,0,1,3,10,10,1,1,2,10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hsweb-framework\hsweb-core\src\main\java\org\hswebframework\web\context\ContextUtils.java,org.hswebframework.web.context.ContextUtils,acceptContext/1[java.util.function.Consumer<org.hswebframework.web.context.Context>],false,37,3,1,1,0,2,4,10,2,1,1,4,0,0,0,0,0,0,0,0,1,0,2,0,0,1,5,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hsweb-framework\hsweb-core\src\main\java\org\hswebframework\web\context\ContextUtils.java,org.hswebframework.web.context.ContextUtils,currentContext/0,false,16,1,3,3,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hsweb-framework\hsweb-core\src\main\java\org\hswebframework\web\context\ContextUtils.java,org.hswebframework.web.context.ContextUtils,reactiveContext/0,false,21,3,1,0,1,2,7,13,1,3,0,7,1,1,0,0,0,0,0,0,0,0,2,0,0,2,5,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hsweb-framework\hsweb-authorization\hsweb-authorization-api\src\main\java\org\hswebframework\web\authorization\access\DataAccessType.java,org.hswebframework.web.authorization.access.DataAccessType,getId/0,false,5,0,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hsweb-framework\hsweb-authorization\hsweb-authorization-api\src\main\java\org\hswebframework\web\authorization\access\DataAccessType.java,org.hswebframework.web.authorization.access.DataAccessType,getName/0,false,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\hsweb-framework\hsweb-authorization\hsweb-authorization-api\src\main\java\org\hswebframework\web\authorization\events\AuthorizingHandleBeforeEvent.java,org.hswebframework.web.authorization.events.AuthorizingHandleBeforeEvent,isExecute/0,false,44,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
