file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\igniter\app\src\main\java\io\github\trojan_gfw\igniter\initializer\InitializerHelper.java,io.github.trojan_gfw.igniter.initializer.InitializerHelper$Anonymous1,onRun/0,false,69,1,35,0,35,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\igniter\app\src\main\java\io\github\trojan_gfw\igniter\qrcode\ScanQRCodeActivity.java,io.github.trojan_gfw.igniter.qrcode.ScanQRCodeActivity,showToast/1[java.lang.String],false,177,1,2,2,0,1,4,4,0,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\igniter\app\src\main\java\io\github\trojan_gfw\igniter\qrcode\ScanQRCodeActivity.java,io.github.trojan_gfw.igniter.qrcode.ScanQRCodeActivity,scanQRCodeFromCamera/0,false,182,2,2,1,1,2,6,8,0,2,0,6,0,0,0,1,0,0,0,0,3,0,1,0,0,0,14,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\igniter\app\src\main\java\io\github\trojan_gfw\igniter\qrcode\ScanQRCodeActivity.java,io.github.trojan_gfw.igniter.qrcode.ScanQRCodeActivity,onDestroy/0,false,193,0,0,0,0,2,2,7,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,6,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\igniter\app\src\main\java\io\github\trojan_gfw\igniter\qrcode\ScanQRCodeActivity.java,io.github.trojan_gfw.igniter.qrcode.ScanQRCodeActivity,onCreate/1[io.github.trojan_gfw.igniter.qrcode.Bundle],false,46,6,2,0,2,6,14,46,1,3,1,14,2,1,0,2,0,0,0,0,2,0,4,2,0,2,44,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\igniter\app\src\main\java\io\github\trojan_gfw\igniter\qrcode\ScanQRCodeActivity.java,io.github.trojan_gfw.igniter.qrcode.ScanQRCodeActivity,returnScanResult/1[java.lang.String],false,166,1,1,1,0,1,2,5,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\igniter\app\src\main\java\io\github\trojan_gfw\igniter\qrcode\ScanQRCodeActivity.java,io.github.trojan_gfw.igniter.qrcode.ScanQRCodeActivity,showPickPhotoFailedAndFinish/0,false,172,1,2,1,1,1,3,4,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\igniter\app\src\main\java\io\github\trojan_gfw\igniter\qrcode\ScanQRCodeActivity.java,io.github.trojan_gfw.igniter.qrcode.ScanQRCodeActivity,resolveBitmapFromUri/1[io.github.trojan_gfw.igniter.qrcode.Uri],false,104,6,1,1,0,2,5,12,2,3,1,5,0,0,0,0,1,0,1,1,4,0,1,0,0,0,19,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\igniter\app\src\main\java\io\github\trojan_gfw\igniter\qrcode\ScanQRCodeActivity.java,io.github.trojan_gfw.igniter.qrcode.ScanQRCodeActivity,decodeQRCode/1[io.github.trojan_gfw.igniter.qrcode.Bitmap],false,130,5,4,1,3,1,1,30,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,37,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\igniter\app\src\main\java\io\github\trojan_gfw\igniter\qrcode\ScanQRCodeActivity.java,io.github.trojan_gfw.igniter.qrcode.ScanQRCodeActivity,"create/2[io.github.trojan_gfw.igniter.qrcode.Context,boolean]",false,41,3,3,3,0,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\igniter\app\src\main\java\io\github\trojan_gfw\igniter\qrcode\ScanQRCodeActivity.java,io.github.trojan_gfw.igniter.qrcode.ScanQRCodeActivity,scanQRCodeFromGallery/0,false,98,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\igniter\app\src\main\java\io\github\trojan_gfw\igniter\qrcode\ScanQRCodeActivity.java,io.github.trojan_gfw.igniter.qrcode.ScanQRCodeActivity,readQRCodeFromUri/1[io.github.trojan_gfw.igniter.qrcode.Uri],false,120,5,3,0,3,2,3,9,0,1,1,3,3,2,0,1,0,0,0,0,1,0,1,0,0,0,18,2,0,false
