file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\immutables\criteria\common\src\org\immutables\criteria\repository\sync\SyncMapper3.java,org.immutables.criteria.repository.sync.SyncMapper3$Offset,offset/1[long],false,39,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\immutables\trees\test\org\immutables\trees\ast\SampleNodes.java,org.immutables.trees.ast.SampleNodes$TextLine,isBlank/0,false,250,2,2,0,2,1,2,3,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\immutables\trees\test\org\immutables\trees\ast\SampleNodes.java,org.immutables.trees.ast.SampleNodes$TextLine,isEmpty/0,false,254,2,2,0,2,1,3,3,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\immutables\trees\test\org\immutables\trees\ast\SampleNodes.java,org.immutables.trees.ast.SampleNodes$TextLine,fragment/0,false,248,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1025,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\immutables\trees\test\org\immutables\trees\ast\SampleNodes.java,org.immutables.trees.ast.SampleNodes$TextLine,newline/0,false,259,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\immutables\criteria\common\src\org\immutables\criteria\expression\Queryable.java,org.immutables.criteria.expression.Queryable,query/0,false,25,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\immutables\criteria\geode\test\org\immutables\criteria\geode\GeodeQueryVisitorTest.java,org.immutables.criteria.geode.GeodeQueryVisitorTest,"oqlChecker/2[org.immutables.criteria.Criterion<?>,boolean]",false,261,9,9,2,7,1,8,6,1,3,2,8,0,0,0,0,0,0,1,0,3,0,0,0,0,1,20,10,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\immutables\generator\src\org\immutables\generator\TypeHierarchyCollector.java,org.immutables.generator.TypeHierarchyCollector$TypevarContext,"TypevarContext/2[javax.lang.model.element.TypeElement,java.lang.String]",true,49,1,3,2,1,3,12,15,0,1,2,12,0,0,1,1,0,1,1,0,5,1,2,0,0,0,11,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\immutables\generator\test\org\immutables\generator\SourceTypeTest.java,org.immutables.generator.SourceTypeTest,extract/0,false,27,5,5,0,5,1,7,5,0,1,0,7,0,0,0,0,0,0,4,0,1,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\immutables\generator\test\org\immutables\generator\SourceTypeTest.java,org.immutables.generator.SourceTypeTest,stringify/0,false,34,3,3,0,3,1,5,4,0,1,0,5,0,0,0,0,0,0,4,0,1,0,0,0,0,0,6,1,0,false
