file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\medicao-lab2\repos\interviews\leetcode\stack\DailyTemperatures.java,DailyTemperatures,class,2,2,0,2,4,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,2,0,0,0,0,1,5,1,4,2,0,0,0,8,0,0
C:\medicao-lab2\repos\interviews\uva\Friends.java,Friends,class,2,3,1,2,13,1,0,8,0,0.3,0.0,0.0,5,5,5,0,0,0,5,0,0,0,2,2,2,0,0,0,0,0,11,55,1,4,2,0,0,2,12,26,0,16,2,0,0,0,35,1,0
C:\medicao-lab2\repos\interviews\leetcode\design\MinStack.java,Node,innerclass,1,4,3,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,5,0,0
C:\medicao-lab2\repos\interviews\leetcode\string\ValidPalindrome.java,ValidPalindrome,class,0,0,0,0,7,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,20,2,3,1,0,0,0,2,2,1,2,2,0,0,0,8,1,0
C:\medicao-lab2\repos\interviews\leetcode\binary-search\ClosestBinarySearchTreeValue.java,ClosestBinarySearchTreeValue,class,1,3,1,2,4,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,1,0,0,0,0,3,2,3,1,0,0,0,19,1,0
C:\medicao-lab2\repos\interviews\leetcode\string\LongestPalindrome.java,LongestPalindrome,class,1,1,0,1,4,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,1,1,0,0,1,0,5,3,3,3,2,0,0,0,7,1,0
C:\medicao-lab2\repos\interviews\leetcode\tree\ValidateBinarySearchTree.java,ValidateBinarySearchTree,class,2,3,1,2,6,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19,5,0,2,0,0,0,0,0,0,0,1,0,0,0,27,1,0
C:\medicao-lab2\repos\interviews\leetcode\breadth-first-search\CloneGraph.java,CloneGraph,class,2,4,1,3,4,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,17,3,1,1,0,0,0,0,2,0,2,1,0,0,0,15,1,0
C:\medicao-lab2\repos\interviews\leetcode\math\PoorPigs.java,PoorPigs,class,0,0,0,0,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9,1,1,0,0,0,0,2,1,2,1,1,0,0,0,9,0,0
C:\medicao-lab2\repos\interviews\leetcode\hash-table\GroupShiftedStrings.java,GroupShiftedStrings,class,4,4,0,4,6,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,1,3,0,0,1,1,3,10,2,8,3,0,0,0,13,1,0
C:\medicao-lab2\repos\interviews\cracking-the-coding-interview\chapter-seven-mathematics-and-probability\WouldIntersect.java,WouldIntersect,class,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
C:\medicao-lab2\repos\interviews\leetcode\breadth-first-search\RemoveInvalidParentheses.java,RemoveInvalidParentheses,class,4,7,1,6,11,1,0,7,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,33,2,2,6,0,1,0,14,5,3,5,3,0,0,0,14,1,0
C:\medicao-lab2\repos\interviews\leetcode\array\MajorityElement.java,MajorityElement,class,1,2,0,2,6,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,3,1,1,0,0,0,7,1,3,1,2,0,0,0,6,0,0
C:\medicao-lab2\repos\interviews\leetcode\trie\ImplementTrie.java,TrieNode,class,2,5,3,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6,0,0
C:\medicao-lab2\repos\interviews\leetcode\string\IntegerToEnglishWords.java,IntegerToEnglishWords,class,1,2,1,1,8,1,0,2,1,0.5,NaN,NaN,2,0,1,1,0,0,1,0,0,0,3,0,0,3,0,0,3,0,0,34,6,1,3,0,0,41,14,7,10,5,2,0,0,0,22,1,0
C:\medicao-lab2\repos\interviews\uva\PeskyPalindromes.java,PeskyPalindromes,class,1,2,1,1,11,1,0,10,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,44,2,5,1,0,0,5,5,13,4,13,3,0,0,0,27,1,0
C:\medicao-lab2\repos\interviews\leetcode\tree\InorderSuccessorInBST.java,InorderSuccessorInBST,class,1,1,0,1,3,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,1,0,0,0,0,4,0,1,2,0,0,0,21,1,0
C:\medicao-lab2\repos\interviews\company\twitter\ImplementTrie.java,Trie,class,1,1,0,1,11,1,0,4,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,41,5,3,1,0,0,0,0,8,0,4,2,0,0,0,13,1,0
