file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\iotdb\session\src\test\java\org\apache\iotdb\session\SessionCacheLeaderUT.java,org.apache.iotdb.session.SessionCacheLeaderUT$Anonymous6,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\iotdb\server\src\main\java\org\apache\iotdb\db\metadata\mtree\traverser\basic\EntityTraverser.java,org.apache.iotdb.db.metadata.mtree.traverser.basic.EntityTraverser,class,6,9,3,6,7,3,0,4,13,0.6666667,0.0,0.0,6,0,2,0,4,0,6,0,0,0,2,0,0,2,0,0,0,0,0,26,5,0,1,0,0,0,1,4,0,2,1,0,0,0,60,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\iotdb\server\src\main\java\org\apache\iotdb\db\metadata\template\TemplateInternalRPCUtil.java,org.apache.iotdb.db.metadata.template.TemplateInternalRPCUtil,class,3,4,1,3,13,1,0,13,15,0.0,0.0,0.0,6,5,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,62,5,4,0,3,0,0,4,10,0,10,3,0,0,0,33,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\iotdb\session\src\test\java\org\apache\iotdb\session\SessionCacheLeaderUT.java,org.apache.iotdb.session.SessionCacheLeaderUT$Anonymous5,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\iotdb\consensus\src\main\java\org\apache\iotdb\consensus\IStateMachine.java,org.apache.iotdb.consensus.IStateMachine$EventApi,interface,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\iotdb\integration-test\src\test\java\org\apache\iotdb\db\it\aggregation\IoTDBAggregationByLevel2IT.java,org.apache.iotdb.db.it.aggregation.IoTDBAggregationByLevel2IT,class,4,4,0,4,2,2,0,7,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\iotdb\server\src\main\java\org\apache\iotdb\db\mpp\plan\statement\metadata\template\DeactivateTemplateStatement.java,org.apache.iotdb.db.mpp.plan.statement.metadata.template.DeactivateTemplateStatement,class,7,10,3,7,10,3,0,1,18,0.61111116,0.0,0.0,9,0,9,0,0,0,9,0,0,0,2,0,0,2,0,0,0,0,0,34,5,0,1,0,0,0,0,6,0,2,0,0,0,0,35,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\iotdb\integration-test\src\test\java\org\apache\iotdb\session\it\IoTDBSessionSimpleIT.java,org.apache.iotdb.session.it.IoTDBSessionSimpleIT,class,24,25,1,24,127,1,0,123,476,0.84375,0.0,0.0,32,0,27,5,0,0,27,0,0,0,1,1,0,1,0,0,0,0,63,943,3,32,12,47,1,316,219,210,16,202,4,0,0,0,191,1,7
C:\Projetos\LabExperimentacao\medicao-lab2\repos\iotdb\session\src\test\java\org\apache\iotdb\session\SessionCacheLeaderUT.java,org.apache.iotdb.session.SessionCacheLeaderUT$Anonymous2,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\iotdb\session\src\test\java\org\apache\iotdb\session\SessionCacheLeaderUT.java,org.apache.iotdb.session.SessionCacheLeaderUT$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,-1,0
