file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\itstack-demo-design\itstack-demo-design-13-00\src\main\java\org\itstack\demo\design\AuthService.java,org.itstack.demo.design.AuthService,"auth/2[java.lang.String,java.lang.String]",false,20,0,0,0,0,1,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\itstack-demo-design\itstack-demo-design-13-00\src\main\java\org\itstack\demo\design\AuthService.java,org.itstack.demo.design.AuthService,"queryAuthInfo/2[java.lang.String,java.lang.String]",false,16,0,4,4,0,1,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\itstack-demo-design\itstack-demo-design-6-02\src\main\java\org\itstack\demo\design\RebateInfo.java,org.itstack.demo.design.RebateInfo,getBizId/0,false,20,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\itstack-demo-design\itstack-demo-design-6-02\src\main\java\org\itstack\demo\design\RebateInfo.java,org.itstack.demo.design.RebateInfo,getBizTime/0,false,28,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\itstack-demo-design\itstack-demo-design-6-02\src\main\java\org\itstack\demo\design\RebateInfo.java,org.itstack.demo.design.RebateInfo,setBizId/1[java.lang.String],false,24,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\itstack-demo-design\itstack-demo-design-6-02\src\main\java\org\itstack\demo\design\RebateInfo.java,org.itstack.demo.design.RebateInfo,setBizTime/1[java.util.Date],false,32,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\itstack-demo-design\itstack-demo-design-6-02\src\main\java\org\itstack\demo\design\RebateInfo.java,org.itstack.demo.design.RebateInfo,getDesc/0,false,40,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\itstack-demo-design\itstack-demo-design-6-02\src\main\java\org\itstack\demo\design\RebateInfo.java,org.itstack.demo.design.RebateInfo,setBizTime/1[java.lang.String],false,36,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\itstack-demo-design\itstack-demo-design-6-02\src\main\java\org\itstack\demo\design\RebateInfo.java,org.itstack.demo.design.RebateInfo,getUserId/0,false,12,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\itstack-demo-design\itstack-demo-design-6-02\src\main\java\org\itstack\demo\design\RebateInfo.java,org.itstack.demo.design.RebateInfo,setDesc/1[java.lang.String],false,44,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\itstack-demo-design\itstack-demo-design-6-02\src\main\java\org\itstack\demo\design\RebateInfo.java,org.itstack.demo.design.RebateInfo,setUserId/1[java.lang.String],false,16,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\itstack-demo-design\itstack-demo-design-4-01\src\main\java\org\itstack\demo\design\QuestionBankController.java,org.itstack.demo.design.QuestionBankController,"createPaper/2[java.lang.String,java.lang.String]",false,10,2,7,0,7,4,17,55,1,11,2,17,0,0,3,0,0,0,81,4,11,4,2,0,0,0,21,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\itstack-demo-design\itstack-demo-design-7-02\src\main\java\org\itstack\demo\design\pay\channel\Pay.java,org.itstack.demo.design.pay.channel.Pay,"transfer/3[java.lang.String,java.lang.String,java.math.BigDecimal]",false,19,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1025,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\itstack-demo-design\itstack-demo-design-7-02\src\main\java\org\itstack\demo\design\pay\channel\Pay.java,org.itstack.demo.design.pay.channel.Pay,Pay/1[org.itstack.demo.design.pay.mode.IPayMode],true,15,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\itstack-demo-design\itstack-demo-design-6-02\src\main\java\org\itstack\demo\design\MQAdapter.java,org.itstack.demo.design.MQAdapter,"filter/2[java.util.Map,java.util.Map<java.lang.String,java.lang.String>]",false,14,1,1,0,1,2,9,8,1,2,2,9,0,0,1,0,0,0,1,3,2,1,1,0,0,0,12,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\itstack-demo-design\itstack-demo-design-6-02\src\main\java\org\itstack\demo\design\MQAdapter.java,org.itstack.demo.design.MQAdapter,"filter/2[java.lang.String,java.util.Map<java.lang.String,java.lang.String>]",false,10,2,2,1,1,1,2,3,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,false
