file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\javacpp\src\main\java\org\bytedeco\javacpp\tools\ParserException.java,org.bytedeco.javacpp.tools.ParserException,class,0,2,2,0,3,3,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\javacpp\src\test\java\org\bytedeco\javacpp\EnumTest.java,org.bytedeco.javacpp.EnumTest$ShortEnum,enum,0,0,0,0,1,1,0,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,1,1,0,1,0,0,0,0,10,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\javacpp\src\main\java\org\bytedeco\javacpp\tools\Logger.java,org.bytedeco.javacpp.tools.Logger,class,2,31,29,2,12,1,1,4,30,0.6666667,0.0,0.0,9,1,9,0,0,0,10,0,0,0,1,1,0,0,0,1,0,0,2,40,6,0,0,0,0,13,0,4,4,3,1,0,0,0,40,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\javacpp\src\main\java\org\bytedeco\javacpp\indexer\CharIndexer.java,org.bytedeco.javacpp.indexer.CharIndexer,class,12,17,5,12,40,2,3,16,703,1.0,0.0,0.0,38,14,36,0,2,0,38,14,0,0,1,1,1,0,0,0,1,0,4,103,23,0,1,0,0,0,7,3,1,3,1,1,0,0,68,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\javacpp\src\main\java\org\bytedeco\javacpp\indexer\UByteArrayIndexer.java,org.bytedeco.javacpp.indexer.UByteArrayIndexer,class,7,9,2,7,27,3,0,7,0,0.0,0.0,0.0,21,0,21,0,0,0,21,0,0,0,1,0,0,0,1,0,0,0,3,89,16,6,0,0,0,0,13,18,12,7,1,0,0,0,38,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\javacpp\src\main\java\org\bytedeco\javacpp\tools\Builder.java,org.bytedeco.javacpp.tools.Builder,class,11,20,9,11,339,1,0,197,674,0.9011363,0.0,0.0,44,2,37,0,0,7,44,0,0,0,20,0,0,0,0,20,1,0,101,1227,42,57,90,8,6,275,127,329,98,213,7,2,0,0,450,1,18
C:\Projetos\LabExperimentacao\medicao-lab2\repos\javacpp\src\test\java\org\bytedeco\javacpp\PointerTest.java,org.bytedeco.javacpp.PointerTest$TestFunction,innerclass,4,4,0,4,6,3,0,1,15,0.0,0.0,0.0,6,0,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\javacpp\src\main\java\org\bytedeco\javacpp\tools\InfoMap.java,org.bytedeco.javacpp.tools.InfoMap,class,4,10,6,4,63,3,0,36,72,0.84615386,0.0,0.0,13,0,12,0,0,1,13,0,0,0,2,1,0,0,0,2,1,0,3,177,12,10,17,0,2,408,34,55,11,29,4,0,0,0,74,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\javacpp\src\main\java\org\bytedeco\javacpp\indexer\HalfArrayIndexer.java,org.bytedeco.javacpp.indexer.HalfArrayIndexer,class,7,9,2,7,27,3,0,9,0,0.0,0.0,0.0,21,0,21,0,0,0,21,0,0,0,1,0,0,0,1,0,0,0,17,89,16,6,0,0,0,0,6,18,12,7,1,0,0,0,39,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\javacpp\src\main\java\org\bytedeco\javacpp\tools\EncodingFileWriter.java,org.bytedeco.javacpp.tools.EncodingFileWriter,class,0,1,1,0,5,3,0,2,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,18,1,0,2,0,1,4,0,3,0,1,1,0,0,0,17,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\javacpp\src\main\java\org\bytedeco\javacpp\indexer\UByteBufferIndexer.java,org.bytedeco.javacpp.indexer.UByteBufferIndexer,class,6,8,2,6,27,3,0,10,0,0.0,0.0,0.0,21,0,21,0,0,0,21,0,0,0,1,0,0,0,1,0,0,0,3,89,16,6,0,0,0,0,13,11,12,7,1,0,0,0,38,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\javacpp\src\main\java\org\bytedeco\javacpp\BooleanPointer.java,org.bytedeco.javacpp.BooleanPointer,class,8,15,7,8,31,2,0,28,171,1.0,0.0,0.0,19,0,18,1,0,0,19,0,0,0,1,1,0,1,0,0,1,0,6,82,9,1,4,2,0,7,8,4,4,4,2,0,0,0,110,1,1
C:\Projetos\LabExperimentacao\medicao-lab2\repos\javacpp\src\main\java\org\bytedeco\javacpp\tools\Token.java,org.bytedeco.javacpp.tools.Token,class,2,7,5,2,22,1,0,10,23,0.8821431,0.0,0.0,10,0,4,0,0,6,10,0,0,0,6,2,0,0,0,6,2,0,1,71,13,1,15,0,3,53,11,67,2,58,1,0,0,0,62,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\javacpp\src\main\java\org\bytedeco\javacpp\CLongPointer.java,org.bytedeco.javacpp.CLongPointer,class,9,11,2,9,26,2,0,18,136,1.0,0.0,0.0,17,0,16,1,0,0,17,0,0,0,1,1,0,1,0,0,1,0,6,77,10,2,1,2,0,9,6,5,4,4,2,0,0,0,98,1,1
C:\Projetos\LabExperimentacao\medicao-lab2\repos\javacpp\src\main\java\org\bytedeco\javacpp\indexer\ByteBufferIndexer.java,org.bytedeco.javacpp.indexer.ByteBufferIndexer,class,6,8,2,6,41,3,0,22,0,0.0,0.0,0.0,35,0,35,0,0,0,35,0,0,0,1,0,0,0,1,0,0,0,3,138,30,6,0,0,0,0,6,11,12,7,1,0,0,0,43,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\javacpp\src\main\java\org\bytedeco\javacpp\indexer\ShortIndexer.java,org.bytedeco.javacpp.indexer.ShortIndexer,class,12,17,5,12,40,2,3,16,703,1.0,0.0,0.0,38,14,36,0,2,0,38,14,0,0,1,1,1,0,0,0,1,0,4,103,23,0,1,0,0,0,7,3,1,3,1,1,0,0,68,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\javacpp\src\main\java\org\bytedeco\javacpp\tools\DeclarationList.java,org.bytedeco.javacpp.tools.DeclarationList,class,8,10,2,8,87,4,0,27,8,0.76666665,0.0,0.0,5,0,2,0,0,3,5,0,0,0,6,0,0,0,0,6,0,0,0,162,5,11,45,1,5,6,16,52,5,25,5,0,0,0,40,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\javacpp\src\main\java\org\bytedeco\javacpp\indexer\UIntIndexer.java,org.bytedeco.javacpp.indexer.UIntIndexer$Anonymous1,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\javacpp\src\main\java\org\bytedeco\javacpp\tools\Info.java,org.bytedeco.javacpp.tools.Info,class,1,6,5,1,46,1,0,1,643,0.934225,0.0,0.0,39,0,39,0,0,0,39,0,0,0,23,0,0,0,0,23,0,0,0,199,36,0,7,0,0,0,0,83,0,23,0,0,0,0,215,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\javacpp\src\main\java\org\bytedeco\javacpp\tools\ClearMojo.java,org.bytedeco.javacpp.tools.ClearMojo,class,4,4,0,4,2,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,1,0,1,0,0,0,0,1,0,0,0,17,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\javacpp\src\main\java\org\bytedeco\javacpp\indexer\ByteRawIndexer.java,org.bytedeco.javacpp.indexer.ByteRawIndexer,class,9,11,2,9,43,3,0,28,352,0.6148648,0.0,0.0,37,0,37,0,0,0,37,0,0,0,3,1,0,0,2,1,2,0,20,148,32,6,0,0,0,0,20,14,45,10,1,0,0,0,59,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\javacpp\src\main\java\org\bytedeco\javacpp\indexer\BooleanArrayIndexer.java,org.bytedeco.javacpp.indexer.BooleanArrayIndexer,class,6,8,2,6,27,3,0,7,0,0.0,0.0,0.0,21,0,21,0,0,0,21,0,0,0,1,0,0,0,1,0,0,0,3,89,16,6,0,0,0,0,6,18,12,7,1,0,0,0,33,1,0
