file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jetlinks-community\jetlinks-components\dashboard-component\src\main\java\org\jetlinks\community\dashboard\MeasurementParameter.java,org.jetlinks.community.dashboard.MeasurementParameter,class,5,9,4,5,2,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,9,2,0,0,0,0,1,0,1,0,2,0,0,0,1,11,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jetlinks-community\jetlinks-manager\authentication-manager\src\main\java\org\jetlinks\community\auth\configuration\MenuProperties.java,org.jetlinks.community.auth.configuration.MenuProperties,class,4,6,2,4,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,6,1,0,0,0,0,2,0,1,0,1,0,0,0,0,11,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jetlinks-community\jetlinks-components\notify-component\notify-core\src\main\java\org\jetlinks\community\notify\rule\RuleNotifierProperties.java,org.jetlinks.community.notify.rule.RuleNotifierProperties,class,7,8,1,7,8,1,0,15,1,0.5833334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,4,0,0,4,0,0,0,0,4,29,1,1,1,0,0,4,0,2,0,6,3,0,0,0,32,1,1
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jetlinks-community\jetlinks-components\common-component\src\main\java\org\jetlinks\community\config\ConfigScope.java,org.jetlinks.community.config.ConfigScope,class,6,12,6,6,0,1,2,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,3,0,0,0,0,10,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jetlinks-community\jetlinks-components\dashboard-component\src\main\java\org\jetlinks\community\dashboard\measurements\sys\MemoryInfo.java,org.jetlinks.community.dashboard.measurements.sys.MemoryInfo,class,9,13,4,9,5,1,0,1,0,0.48571435,0.0,0.0,5,0,5,0,0,0,5,0,0,0,7,1,0,7,0,0,1,0,3,24,5,0,0,0,6,6,4,1,21,7,0,0,0,0,24,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jetlinks-community\jetlinks-components\network-component\network-core\src\main\java\org\jetlinks\community\network\PubSubType.java,org.jetlinks.community.network.PubSubType,enum,2,2,0,2,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jetlinks-community\jetlinks-components\common-component\src\main\java\org\jetlinks\community\PropertyMetadataConstants.java,org.jetlinks.community.PropertyMetadataConstants$Source,interface,5,5,0,5,3,1,0,7,0,0.5,0.0,0.0,3,3,0,0,0,3,3,0,0,0,4,0,0,0,0,4,0,0,1,15,2,0,0,0,0,3,0,4,0,4,0,0,0,0,16,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jetlinks-community\jetlinks-components\common-component\src\main\java\org\jetlinks\community\utils\ReactorUtils.java,org.jetlinks.community.utils.ReactorUtils$Anonymous1,anonymous,5,5,0,5,3,1,0,7,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,13,2,1,0,0,0,0,0,2,0,3,1,0,0,1,18,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jetlinks-community\jetlinks-manager\logging-manager\src\main\java\org\jetlinks\community\logging\controller\SystemLoggerController.java,org.jetlinks.community.logging.controller.SystemLoggerController,class,16,16,0,16,2,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,2,0,0,0,0,8,0,0,0,2,0,0,0,1,21,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jetlinks-community\jetlinks-components\rule-engine-component\src\main\java\org\jetlinks\community\rule\engine\executor\device\SelectorValue.java,org.jetlinks.community.rule.engine.executor.device.SelectorValue,class,5,6,1,5,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,2,0,0,0,0,8,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jetlinks-community\jetlinks-manager\device-manager\src\main\java\org\jetlinks\community\device\measurements\message\DeviceMessageMeasurementProvider.java,org.jetlinks.community.device.measurements.message.DeviceMessageMeasurementProvider,class,14,15,1,14,4,2,0,11,0,0.33333334,0.0,0.0,3,0,2,1,0,0,2,0,0,0,2,1,0,0,0,2,1,0,2,21,3,0,1,0,0,8,1,2,0,2,1,0,0,1,22,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jetlinks-community\jetlinks-components\configure-component\src\main\java\org\jetlinks\community\configure\trace\LoggingSpanExporter.java,org.jetlinks.community.configure.trace.LoggingSpanExporter,class,9,11,2,9,7,1,0,14,6,0.75,0.0,0.0,4,1,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,2,26,5,1,1,0,1,8,0,2,0,5,2,0,0,1,27,16,1
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jetlinks-community\jetlinks-standalone\src\main\java\org\jetlinks\community\standalone\web\SystemInfoController.java,org.jetlinks.community.standalone.web.SystemInfoController,class,8,8,0,8,2,1,0,2,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,2,9,2,0,0,0,0,3,0,0,0,1,0,0,0,0,11,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jetlinks-community\jetlinks-components\gateway-component\src\main\java\org\jetlinks\community\gateway\AbstractDeviceGateway.java,org.jetlinks.community.gateway.AbstractDeviceGateway,class,10,17,7,10,22,1,6,14,60,0.8307692,0.0,0.0,13,0,10,0,3,0,13,2,9,2,5,1,0,4,1,0,4,0,7,68,11,1,7,1,0,2,0,7,0,8,2,0,0,1,38,1025,1
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jetlinks-community\jetlinks-components\script-component\src\main\java\org\jetlinks\community\script\ScriptFactory.java,org.jetlinks.community.script.ScriptFactory,interface,4,11,7,4,12,1,0,0,66,0.0,0.0,0.0,12,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0
