file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jfinal\src\main\java\com\jfinal\plugin\activerecord\CaseInsensitiveContainerFactory.java,com.jfinal.plugin.activerecord.CaseInsensitiveContainerFactory,convertCase/1[java.lang.String],false,51,0,4,4,0,3,2,8,2,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,10,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jfinal\src\main\java\com\jfinal\plugin\activerecord\CaseInsensitiveContainerFactory.java,com.jfinal.plugin.activerecord.CaseInsensitiveContainerFactory,CaseInsensitiveContainerFactory/0,true,32,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jfinal\src\main\java\com\jfinal\plugin\activerecord\CaseInsensitiveContainerFactory.java,com.jfinal.plugin.activerecord.CaseInsensitiveContainerFactory,getColumnsMap/0,false,43,1,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jfinal\src\main\java\com\jfinal\plugin\activerecord\CaseInsensitiveContainerFactory.java,com.jfinal.plugin.activerecord.CaseInsensitiveContainerFactory,CaseInsensitiveContainerFactory/1[boolean],true,35,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jfinal\src\main\java\com\jfinal\plugin\activerecord\CaseInsensitiveContainerFactory.java,com.jfinal.plugin.activerecord.CaseInsensitiveContainerFactory,getAttrsMap/0,false,39,1,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jfinal\src\main\java\com\jfinal\plugin\activerecord\CaseInsensitiveContainerFactory.java,com.jfinal.plugin.activerecord.CaseInsensitiveContainerFactory,getModifyFlagSet/0,false,47,1,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jfinal\src\main\java\com\jfinal\aop\Invocation.java,com.jfinal.aop.Invocation,getMethod/0,false,150,1,6,5,1,2,1,4,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,15,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jfinal\src\main\java\com\jfinal\aop\Invocation.java,com.jfinal.aop.Invocation,"Invocation/4[java.lang.Object,java.lang.Long,com.jfinal.proxy.Callback,java.lang.Object[]]",true,45,3,3,0,3,1,3,9,0,1,4,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jfinal\src\main\java\com\jfinal\aop\Invocation.java,com.jfinal.aop.Invocation,"setArg/2[int,java.lang.Object]",false,124,0,1,1,0,2,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jfinal\src\main\java\com\jfinal\aop\Invocation.java,com.jfinal.aop.Invocation,"Invocation/5[java.lang.Object,java.lang.reflect.Method,com.jfinal.aop.Interceptor[],com.jfinal.proxy.Callback,java.lang.Object[]]",true,64,2,1,1,0,1,0,8,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jfinal\src\main\java\com\jfinal\aop\Invocation.java,com.jfinal.aop.Invocation,getReturnValue/0,false,168,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
