file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jna\contrib\platform\src\com\sun\jna\platform\win32\OaIdl.java,com.sun.jna.platform.win32.OaIdl$ELEMDESC$_ELEMDESC$ByReference,innerclass,2,2,0,2,0,4,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jna\contrib\platform\src\com\sun\jna\platform\win32\WinCrypt.java,com.sun.jna.platform.win32.WinCrypt$CRYPT_ALGORITHM_IDENTIFIER,innerclass,5,5,0,5,1,4,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,2,0,0,1,0,55,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jna\test\com\sun\jna\AnnotatedLibraryTest.java,com.sun.jna.AnnotatedLibraryTest$TestInvocationHandler,innerclass,0,0,0,0,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,8,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jna\contrib\platform\src\com\sun\jna\platform\win32\OaIdl.java,com.sun.jna.platform.win32.OaIdl$SAFEARRAYByReference,innerclass,5,5,0,5,3,2,0,1,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,12,0,0,0,0,0,1,0,1,0,1,0,0,0,0,14,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jna\contrib\platform\src\com\sun\jna\platform\win32\WinUser.java,com.sun.jna.platform.win32.WinUser$HARDWAREINPUT,innerclass,7,7,0,7,2,4,0,1,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,0,3,0,0,0,0,0,0,18,0,0,0,0,0,3,0,0,0,3,0,0,1,0,35,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jna\contrib\platform\src\com\sun\jna\platform\unix\X11.java,com.sun.jna.platform.unix.X11$XSelectionRequestEvent,innerclass,6,6,0,6,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,12,0,0,0,0,0,10,0,0,0,10,0,0,0,0,21,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jna\test\com\sun\jna\StructureTest.java,com.sun.jna.StructureTest$10TestStructure,innerclass,1,1,0,1,1,2,0,1,0,1.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,6,1,0,0,0,0,1,0,0,0,1,0,0,0,0,6,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jna\contrib\platform\src\com\sun\jna\platform\win32\COM\TypeInfo.java,com.sun.jna.platform.win32.COM.TypeInfo,class,31,37,6,31,21,8,2,3,210,0.0,0.0,0.0,21,0,21,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,66,16,0,0,0,0,0,19,0,0,0,0,0,1,0,140,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jna\contrib\platform\src\com\sun\jna\platform\mac\IOKit.java,com.sun.jna.platform.mac.IOKit$IORegistryEntry,innerclass,18,18,0,18,30,1,0,24,120,0.0,0.0,0.0,16,0,15,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,6,142,16,0,14,0,0,0,11,44,0,38,1,0,0,0,140,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jna\contrib\platform\src\com\sun\jna\platform\win32\NtDllUtil.java,com.sun.jna.platform.win32.NtDllUtil,class,5,6,1,5,4,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,2,0,0,0,2,4,0,3,1,0,0,0,46,1025,0
