file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jsonschema2pojo\jsonschema2pojo-core\src\main\java\org\jsonschema2pojo\util\AnnotationHelper.java,org.jsonschema2pojo.util.AnnotationHelper,class,6,9,3,6,4,1,0,8,1,0.5,NaN,NaN,2,2,1,1,0,0,1,0,0,0,3,3,0,3,0,0,3,0,4,25,2,0,0,1,0,4,0,5,0,5,1,0,0,0,36,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jsonschema2pojo\jsonschema2pojo-core\src\main\java\org\jsonschema2pojo\rules\PropertiesRule.java,org.jsonschema2pojo.rules.PropertiesRule,class,12,14,2,12,13,1,0,36,4,0.5,0.0,0.0,4,0,1,2,1,0,2,0,0,0,1,0,0,1,0,0,1,0,0,40,2,2,4,0,0,2,2,7,0,6,2,0,0,0,67,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jsonschema2pojo\jsonschema2pojo-integration-tests\src\test\java\org\jsonschema2pojo\integration\ConstructorsJavadocIT.java,org.jsonschema2pojo.integration.ConstructorsJavadocIT$IncludeCopyConstructorIT,innerclass,6,6,0,6,1,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,7,10,0,0,0,0,0,4,1,3,0,3,0,0,0,0,32,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jsonschema2pojo\jsonschema2pojo-cli\src\test\java\org\jsonschema2pojo\cli\ClassConverterTest.java,org.jsonschema2pojo.cli.ClassConverterTest,class,4,4,0,4,3,1,0,5,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,13,0,0,0,0,0,3,0,2,0,2,0,0,0,0,24,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jsonschema2pojo\jsonschema2pojo-core\src\main\java\org\jsonschema2pojo\Jsonb2Annotator.java,org.jsonschema2pojo.Jsonb2Annotator,class,11,12,1,11,29,2,0,19,45,0.0,0.0,0.0,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,83,1,1,3,0,0,22,0,20,0,5,1,0,0,0,54,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jsonschema2pojo\jsonschema2pojo-integration-tests\src\test\java\org\jsonschema2pojo\integration\ToStringIT.java,org.jsonschema2pojo.integration.ToStringIT,class,5,6,1,5,7,1,0,19,0,0.5,0.0,0.0,5,1,4,1,0,0,4,0,0,0,2,1,1,1,0,0,1,0,22,55,1,0,2,0,0,45,17,16,1,14,1,0,0,0,47,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jsonschema2pojo\jsonschema2pojo-cli\src\main\java\org\jsonschema2pojo\cli\Jsonschema2PojoCLI.java,org.jsonschema2pojo.cli.Jsonschema2PojoCLI,class,4,4,0,4,4,1,0,8,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,1,1,2,0,2,1,0,0,0,57,17,1
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jsonschema2pojo\jsonschema2pojo-integration-tests\src\test\java\org\jsonschema2pojo\integration\ConstructorsJavadocIT.java,org.jsonschema2pojo.integration.ConstructorsJavadocIT$ConstructorWithAllPropertiesIT,innerclass,6,6,0,6,1,1,0,14,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,13,17,0,0,0,0,0,13,2,3,0,3,0,0,0,0,41,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jsonschema2pojo\jsonschema2pojo-core\src\main\java\org\jsonschema2pojo\Annotator.java,org.jsonschema2pojo.Annotator,interface,5,20,15,5,17,1,0,0,136,0.0,0.0,0.0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\jsonschema2pojo\jsonschema2pojo-ant\src\main\java\org\jsonschema2pojo\ant\Jsonschema2PojoTask.java,org.jsonschema2pojo.ant.Jsonschema2PojoTask,class,18,21,3,18,148,2,0,35,8506,0.98484814,0.0,0.0,132,0,131,1,0,0,131,0,0,0,65,0,0,62,0,3,0,0,13,540,73,1,6,5,1,16,2,120,3,73,2,1,0,2,453,1,0
