file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\config\ini\IniFileReader.java,kafdrop.config.ini.IniFileReader,class,2,4,2,2,45,1,0,24,32,0.84444445,0.0,0.0,9,1,1,6,2,0,3,0,0,0,5,5,0,5,0,0,5,0,3,146,10,5,7,0,1,12,22,47,4,28,5,0,0,0,127,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\service\KafkaHighLevelAdminClient.java,kafdrop.service.KafkaHighLevelAdminClient$ClusterDescription,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,3,3,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,7,16,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\config\HealthCheckConfiguration.java,kafdrop.config.HealthCheckConfiguration$HealthCheck,innerclass,6,6,0,6,6,1,0,14,4,0.5,0.0,0.0,4,0,2,2,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,33,5,0,0,0,0,5,0,7,0,8,1,0,0,1,13,25,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\model\TopicPartitionVO.java,kafdrop.model.TopicPartitionVO$PartitionReplica,innerclass,0,0,0,0,5,1,0,0,2,0.6,0.0,0.0,5,0,2,0,0,3,5,0,0,0,4,0,0,4,0,0,4,0,0,24,4,0,0,0,0,0,0,4,0,4,0,0,0,0,14,25,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\controller\KafkaExceptionHandler.java,kafdrop.controller.KafkaExceptionHandler,class,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\service\KafkaHighLevelAdminClient.java,kafdrop.service.KafkaHighLevelAdminClient,class,21,23,2,21,24,1,0,44,0,0.5,0.0,0.0,10,0,2,1,0,7,9,0,0,0,3,1,0,3,0,0,2,0,8,139,9,2,0,8,0,8,2,20,0,21,2,0,1,1,93,17,7
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\config\SwaggerConfiguration.java,kafdrop.config.SwaggerConfiguration,class,10,10,0,10,2,1,0,8,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,41,2,0,0,0,0,3,0,0,0,0,0,1,2,0,35,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\Kafdrop.java,kafdrop.Kafdrop$EnvironmentSetupListener,innerclass,7,7,0,7,10,1,0,19,1,0.5,0.0,0.0,3,1,2,1,0,0,2,0,0,0,2,2,0,2,0,0,2,0,3,39,3,0,0,1,0,17,1,9,3,11,2,0,0,2,59,26,5
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\config\MessageFormatConfiguration.java,kafdrop.config.MessageFormatConfiguration$MessageFormatProperties,innerclass,4,4,0,4,7,1,0,0,0,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,24,2,0,2,0,0,1,0,4,0,2,1,0,0,0,11,25,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\service\BrokerNotFoundException.java,kafdrop.service.BrokerNotFoundException,class,1,3,2,1,1,4,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\util\DeserializationException.java,kafdrop.util.DeserializationException,class,0,2,2,0,1,4,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,11,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\Kafdrop.java,kafdrop.Kafdrop$LoggingConfigurationListener,innerclass,3,3,0,3,6,1,0,7,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,3,0,3,0,0,3,0,3,24,1,0,1,1,0,10,0,5,0,5,2,0,0,0,37,26,1
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\model\AclVO.java,kafdrop.model.AclVO,class,1,5,4,1,14,1,0,4,23,0.77922076,0.0,0.0,11,0,11,0,0,0,11,0,0,0,7,0,0,7,0,0,7,0,1,51,12,0,3,0,0,0,0,8,0,8,1,0,0,0,32,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\model\ConsumerPartitionVO.java,kafdrop.model.ConsumerPartitionVO,class,1,5,4,1,14,1,0,1,13,0.6969697,0.0,0.0,11,0,11,0,0,0,11,0,0,0,6,0,0,6,0,0,3,0,0,51,9,0,0,0,0,7,3,6,3,6,1,0,0,0,20,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\test\java\kafdrop\model\ConsumerPartitionVOTest.java,kafdrop.model.ConsumerPartitionVOTest,class,3,4,1,3,2,1,0,6,1,0.0,NaN,NaN,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,3,25,1,0,1,0,0,0,0,17,16,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\config\KafkaConfigurationException.java,kafdrop.config.KafkaConfigurationException,class,0,1,1,0,1,4,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\Kafdrop.java,kafdrop.Kafdrop$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\Kafdrop.java,kafdrop.Kafdrop$Anonymous1,anonymous,4,4,0,4,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,2,0,1,0,1,0,0,0,0,7,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\util\ByteUtils.java,kafdrop.util.ByteUtils,class,2,6,4,2,6,1,0,12,10,0.0,0.0,0.0,5,4,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,3,27,4,0,0,0,0,0,2,2,0,2,1,0,0,0,14,16,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\util\ProtobufMessageDeserializer.java,kafdrop.util.ProtobufMessageDeserializer,class,9,11,2,9,10,1,0,32,0,0.125,0.0,0.0,2,0,2,0,0,0,2,0,0,0,4,1,0,4,0,0,4,0,1,59,1,1,0,1,0,7,2,22,4,22,2,0,0,2,58,1,4
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\test\java\kafdrop\protos\Person.java,kafdrop.protos.Person$Builder,innerclass,17,17,0,17,79,1,0,44,1009,0.88000005,0.0,0.0,50,1,45,4,1,0,46,0,4,0,6,0,0,6,0,0,0,0,5,332,52,0,15,1,10,5,16,57,0,21,2,0,0,0,107,25,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\test\java\kafdrop\protos\PersonOrBuilder.java,kafdrop.protos.PersonOrBuilder,interface,3,5,2,3,11,1,0,0,55,0.0,0.0,0.0,11,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0
