file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\config\ini\IniFileReader.java,kafdrop.config.ini.IniFileReader,read/1[java.io.Reader],false,56,2,7,1,6,5,11,29,1,7,1,11,4,4,1,1,0,1,3,5,13,2,4,0,0,0,26,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\config\ini\IniFileReader.java,kafdrop.config.ini.IniFileReader,isSectionLine/1[java.lang.String],false,222,0,1,1,0,2,2,3,1,0,1,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,5,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\config\ini\IniFileReader.java,kafdrop.config.ini.IniFileReader,lineContinues/1[java.lang.String],false,180,0,2,2,0,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\config\ini\IniFileReader.java,kafdrop.config.ini.IniFileReader,isCommentChar/1[char],false,210,0,2,2,0,2,1,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\config\ini\IniFileReader.java,kafdrop.config.ini.IniFileReader,"parseValue/2[java.lang.String,java.io.BufferedReader]",false,111,1,4,1,3,20,13,64,1,12,2,13,3,2,2,4,0,0,2,7,22,1,5,0,0,0,36,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\config\ini\IniFileReader.java,kafdrop.config.ini.IniFileReader,"lineContinues/2[java.lang.String,int]",false,194,1,3,1,2,4,5,14,1,2,2,5,2,1,1,0,0,0,0,0,3,0,2,0,0,0,38,2,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\config\ini\IniFileReader.java,kafdrop.config.ini.IniFileReader,findSeparator/1[java.lang.String],false,103,1,2,1,1,2,2,7,1,1,1,2,1,1,0,0,0,0,0,1,2,0,1,0,0,0,37,2,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\config\ini\IniFileReader.java,kafdrop.config.ini.IniFileReader,isCommentLine/1[java.lang.String],false,214,0,1,1,0,4,3,6,2,0,1,3,0,0,0,1,0,0,0,3,0,0,1,0,0,0,6,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\config\ini\IniFileReader.java,kafdrop.config.ini.IniFileReader,"findSeparatorBeforeQuote/2[java.lang.String,int]",false,43,0,1,1,0,5,3,10,1,1,2,3,0,0,1,0,0,0,0,5,2,1,1,0,0,0,36,10,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\service\KafkaHighLevelAdminClient.java,kafdrop.service.KafkaHighLevelAdminClient$ClusterDescription,"ClusterDescription/3[java.util.Collection<java.util.stream.Node>,java.util.stream.Node,java.lang.String]",true,49,0,1,1,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\config\HealthCheckConfiguration.java,kafdrop.config.HealthCheckConfiguration$HealthCheck,HealthCheck/1[kafdrop.config.HealthEndpoint],true,36,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\config\HealthCheckConfiguration.java,kafdrop.config.HealthCheckConfiguration$HealthCheck,"getDetails/1[java.util.Map<java.lang.String,java.lang.Object>]",false,49,1,1,1,0,1,10,11,2,4,1,10,0,0,0,0,0,0,2,0,3,0,1,0,0,1,8,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\config\HealthCheckConfiguration.java,kafdrop.config.HealthCheckConfiguration$HealthCheck,getStatus/1[kafdrop.config.Health],false,62,1,1,1,0,3,3,9,2,1,1,3,0,0,0,0,0,0,1,0,1,0,1,0,0,0,6,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\config\HealthCheckConfiguration.java,kafdrop.config.HealthCheckConfiguration$HealthCheck,getHealth/0,false,41,3,2,0,2,1,5,7,1,2,0,5,2,1,0,0,0,0,2,0,2,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\model\TopicPartitionVO.java,kafdrop.model.TopicPartitionVO$PartitionReplica,isOffline/0,false,133,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\model\TopicPartitionVO.java,kafdrop.model.TopicPartitionVO$PartitionReplica,isInSync/0,false,125,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\model\TopicPartitionVO.java,kafdrop.model.TopicPartitionVO$PartitionReplica,isLeader/0,false,129,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\model\TopicPartitionVO.java,kafdrop.model.TopicPartitionVO$PartitionReplica,getId/0,false,121,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\model\TopicPartitionVO.java,kafdrop.model.TopicPartitionVO$PartitionReplica,"PartitionReplica/4[java.lang.Integer,boolean,boolean,boolean]",true,114,0,1,1,0,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\controller\KafkaExceptionHandler.java,kafdrop.controller.KafkaExceptionHandler,notInitialized/0,false,27,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\service\KafkaHighLevelAdminClient.java,kafdrop.service.KafkaHighLevelAdminClient,describeTopicConfigs/1[java.util.Set<java.lang.String>],false,96,6,3,1,2,5,16,23,3,5,1,16,1,1,1,0,1,0,0,1,4,0,2,0,0,1,26,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\service\KafkaHighLevelAdminClient.java,kafdrop.service.KafkaHighLevelAdminClient,createTopic/1[kafdrop.service.NewTopic],false,126,2,2,1,1,2,7,11,0,1,1,7,0,0,0,0,1,0,2,0,1,0,1,0,0,0,23,0,2,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\service\KafkaHighLevelAdminClient.java,kafdrop.service.KafkaHighLevelAdminClient,init/0,false,37,2,1,0,1,1,3,6,0,1,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\service\KafkaHighLevelAdminClient.java,kafdrop.service.KafkaHighLevelAdminClient,deleteTopic/1[java.lang.String],false,143,2,2,1,1,2,7,13,0,2,1,7,0,0,0,0,1,0,2,1,2,0,1,0,0,0,26,0,2,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\service\KafkaHighLevelAdminClient.java,kafdrop.service.KafkaHighLevelAdminClient,listConsumerGroupOffsetsIfAuthorized/1[java.lang.String],false,82,4,2,1,1,3,6,15,2,1,1,6,0,0,0,0,1,0,1,0,1,0,2,0,0,0,22,0,1,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\service\KafkaHighLevelAdminClient.java,kafdrop.service.KafkaHighLevelAdminClient,listConsumerGroups/0,false,72,2,2,1,1,2,7,10,1,1,0,7,0,0,0,0,1,0,0,0,1,0,1,0,0,0,12,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\service\KafkaHighLevelAdminClient.java,kafdrop.service.KafkaHighLevelAdminClient,listAcls/0,false,156,4,2,1,1,3,5,15,2,1,0,5,0,0,0,0,1,0,0,0,1,0,2,0,0,0,16,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\service\KafkaHighLevelAdminClient.java,kafdrop.service.KafkaHighLevelAdminClient,KafkaHighLevelAdminClient/1[kafdrop.config.KafkaConfiguration],true,32,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\service\KafkaHighLevelAdminClient.java,kafdrop.service.KafkaHighLevelAdminClient,describeCluster/0,false,56,2,3,1,2,2,5,15,1,4,0,5,0,0,0,0,1,0,0,0,4,0,1,0,0,0,17,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\service\KafkaHighLevelAdminClient.java,kafdrop.service.KafkaHighLevelAdminClient,printAcls/0,false,171,1,1,1,0,3,7,13,0,2,0,7,0,0,1,0,1,0,2,0,2,0,2,0,0,0,17,2,2,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\config\SwaggerConfiguration.java,kafdrop.config.SwaggerConfiguration,springfoxHandlerProviderBeanPostProcessor/0,false,86,3,0,0,0,1,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40,9,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\config\SwaggerConfiguration.java,kafdrop.config.SwaggerConfiguration,swagger/0,false,49,5,2,0,2,1,8,3,1,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\Kafdrop.java,kafdrop.Kafdrop$EnvironmentSetupListener,getOrder/0,false,130,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\Kafdrop.java,kafdrop.Kafdrop$EnvironmentSetupListener,"readProperties/2[kafdrop.Environment,java.lang.String]",false,164,3,4,1,3,4,6,12,2,3,2,6,0,0,0,0,1,0,1,0,3,1,2,0,0,0,33,10,1,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\Kafdrop.java,kafdrop.Kafdrop$EnvironmentSetupListener,onApplicationEvent/1[kafdrop.ApplicationEnvironmentPreparedEvent],false,135,2,1,0,1,5,14,20,0,6,1,14,1,1,0,0,0,0,14,0,4,1,1,0,0,2,41,1,4,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\config\MessageFormatConfiguration.java,kafdrop.config.MessageFormatConfiguration$MessageFormatProperties,init/0,false,20,1,0,0,0,3,0,8,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\config\MessageFormatConfiguration.java,kafdrop.config.MessageFormatConfiguration$MessageFormatProperties,getFormat/0,false,30,1,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\config\MessageFormatConfiguration.java,kafdrop.config.MessageFormatConfiguration$MessageFormatProperties,setKeyFormat/1[kafdrop.util.MessageFormat],false,42,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\config\MessageFormatConfiguration.java,kafdrop.config.MessageFormatConfiguration$MessageFormatProperties,getKeyFormat/0,false,38,1,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\config\MessageFormatConfiguration.java,kafdrop.config.MessageFormatConfiguration$MessageFormatProperties,setFormat/1[kafdrop.util.MessageFormat],false,34,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kafdrop\src\main\java\kafdrop\service\BrokerNotFoundException.java,kafdrop.service.BrokerNotFoundException,BrokerNotFoundException/1[java.lang.String],true,26,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
