file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kkFileView\server\src\main\java\cn\keking\service\FilePreview.java,cn.keking.service.FilePreview,interface,2,25,23,2,1,1,0,0,0,1.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,21,0,0,0,0,21,0,0,0,24,0,0,0,0,0,21,0,21,0,21,0,0,0,0,36,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kkFileView\server\src\main\java\cn\keking\utils\DownloadUtils.java,cn.keking.utils.DownloadUtils,class,9,18,9,9,15,1,0,29,0,0.3,NaN,NaN,2,2,1,1,0,0,1,0,0,0,5,5,0,5,0,0,5,0,12,87,7,0,1,2,0,17,5,20,6,18,3,0,0,0,58,1,3
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kkFileView\server\src\main\java\cn\keking\utils\OfficeUtils.java,cn.keking.utils.OfficeUtils,class,2,3,1,2,14,1,0,13,1,0.5,0.0,0.0,2,2,2,0,0,0,2,0,0,1,1,1,0,1,0,0,1,0,4,59,5,1,2,4,0,1,0,6,0,4,4,0,0,0,36,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kkFileView\server\src\main\java\cn\keking\config\RedissonConfig.java,cn.keking.config.RedissonConfig,class,8,9,1,8,43,1,0,29,777,0.9302328,0.0,0.0,43,0,42,0,0,1,43,0,0,0,21,0,0,21,0,0,0,0,0,159,22,0,0,0,0,3,15,42,0,23,0,0,0,0,61,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kkFileView\server\src\main\java\cn\keking\service\impl\CommonPreviewImpl.java,cn.keking.service.impl.CommonPreviewImpl,class,8,16,8,8,5,1,1,9,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,1,24,2,0,1,0,0,4,0,4,0,4,2,0,0,0,20,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kkFileView\server\src\main\java\cn\keking\service\FilePreviewFactory.java,cn.keking.service.FilePreviewFactory,class,5,8,3,5,2,1,0,4,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,10,1,0,0,0,0,0,0,2,0,2,0,0,0,0,15,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kkFileView\server\src\main\java\cn\keking\service\OfficeToPdfService.java,cn.keking.service.OfficeToPdfService,class,5,7,2,5,12,1,0,21,10,0.8,0.0,0.0,5,3,5,0,0,0,5,0,0,0,1,1,0,1,0,0,1,0,4,47,2,0,2,0,0,8,1,7,2,6,3,0,0,0,29,1,1
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kkFileView\server\src\main\java\cn\keking\ServerMain.java,cn.keking.ServerMain,class,9,10,1,9,2,1,0,13,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,15,0,0,0,0,0,2,0,8,1,8,0,0,0,0,25,1,1
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kkFileView\server\src\main\java\cn\keking\service\OfficePluginManager.java,cn.keking.service.OfficePluginManager,class,11,12,1,11,18,1,0,31,0,0.4166667,0.0,0.0,3,0,2,1,0,0,2,0,0,0,4,0,0,4,0,0,1,0,8,87,1,3,2,2,0,32,8,28,4,27,3,0,0,0,51,1,4
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kkFileView\server\src\main\java\cn\keking\config\WebConfig.java,cn.keking.config.WebConfig,class,13,14,1,13,6,1,0,8,15,0.8333333,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,1,0,1,0,0,1,0,1,59,5,0,0,0,0,20,0,16,1,16,0,0,0,0,42,1,1
