file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ksql\ksqldb-engine\src\main\java\io\confluent\ksql\physicalplanner\PhysicalPlan.java,io.confluent.ksql.physicalplanner.PhysicalPlan,class,1,4,3,1,2,1,0,1,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,1,9,1,0,0,0,0,1,0,1,0,1,0,0,0,0,5,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ksql\ksqldb-common\src\main\java\io\confluent\ksql\util\VertxCompletableFuture.java,io.confluent.ksql.util.VertxCompletableFuture,class,3,3,0,3,3,2,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ksql\ksqldb-streams\src\test\java\io\confluent\ksql\execution\streams\StreamGroupByBuilderTest.java,io.confluent.ksql.execution.streams.StreamGroupByBuilderTest,class,36,37,1,36,16,1,0,47,0,0.7823276,0.0,0.0,16,2,14,2,0,0,14,0,0,0,29,8,1,28,0,0,9,0,9,116,2,0,0,0,0,12,0,17,0,34,0,0,0,0,105,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ksql\ksqldb-rest-app\src\main\java\io\confluent\ksql\api\server\CloseQueryHandler.java,io.confluent.ksql.api.server.CloseQueryHandler,class,7,7,0,7,4,1,0,11,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,19,2,0,0,0,0,2,0,3,1,3,1,0,0,0,23,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ksql\ksqldb-parser\src\main\java\io\confluent\ksql\util\ParserKeywordValidatorUtil.java,io.confluent.ksql.util.ParserKeywordValidatorUtil,class,6,10,4,6,14,1,0,17,4,0.6666667,0.0,0.0,4,3,2,2,0,0,2,0,0,0,3,3,0,3,0,0,3,0,5,41,7,2,2,0,0,55,3,11,0,11,3,0,0,0,68,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ksql\ksqldb-common\src\main\java\io\confluent\ksql\function\GenericsUtil.java,io.confluent.ksql.function.GenericsUtil,class,21,24,3,21,40,1,0,59,36,0.0,0.0,0.0,9,8,6,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,31,136,28,3,4,0,10,8,1,20,4,22,5,0,0,1,130,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ksql\ksqldb-rest-app\src\test\java\io\confluent\ksql\rest\server\execution\RequestHandlerTest.java,io.confluent.ksql.rest.server.execution.RequestHandlerTest$Anonymous1,anonymous,2,2,0,2,5,1,0,5,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,16,3,1,1,0,0,0,1,1,0,1,2,0,0,0,14,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ksql\ksqldb-cli\src\test\java\io\confluent\ksql\cli\console\cmd\RequestPipeliningCommandTest.java,io.confluent.ksql.cli.console.cmd.RequestPipeliningCommandTest,class,6,6,0,6,7,1,0,16,0,0.31428573,0.0,0.0,7,0,7,0,0,0,7,0,0,0,5,0,0,5,0,0,0,0,6,40,0,0,0,0,0,9,0,3,0,5,0,0,0,0,41,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ksql\ksqldb-rest-app\src\test\java\io\confluent\ksql\api\impl\DefaultKsqlSecurityContextProviderTest.java,io.confluent.ksql.api.impl.DefaultKsqlSecurityContextProviderTest,class,18,18,0,18,10,1,0,20,0,0.55714285,0.0,0.0,10,0,10,0,0,0,10,0,0,0,14,0,0,14,0,0,0,0,22,76,0,0,0,0,0,4,0,4,0,20,0,0,0,2,46,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ksql\ksqldb-engine\src\main\java\io\confluent\ksql\function\udf\PluggableUdf.java,io.confluent.ksql.function.udf.PluggableUdf,class,2,4,2,2,2,1,0,4,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,2,17,1,0,0,1,0,2,0,2,0,2,1,0,0,0,37,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ksql\ksqldb-engine\src\main\java\io\confluent\ksql\function\udf\datetime\UnixTimestamp.java,io.confluent.ksql.function.udf.datetime.UnixTimestamp,class,3,4,1,3,3,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,11,3,0,1,0,0,8,0,0,3,0,1,0,0,0,28,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ksql\ksqldb-execution\src\main\java\io\confluent\ksql\execution\util\FunctionArgumentsUtil.java,io.confluent.ksql.execution.util.FunctionArgumentsUtil$FunctionTypeInfo,innerclass,6,6,0,6,5,1,0,1,0,0.4,0.0,0.0,5,1,3,2,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,22,4,0,0,0,0,2,0,3,0,3,0,0,0,0,16,25,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ksql\ksqldb-engine\src\test\java\io\confluent\ksql\security\KsqlAuthorizationValidatorFactoryTest.java,io.confluent.ksql.security.KsqlAuthorizationValidatorFactoryTest,class,24,25,1,24,20,1,0,36,0,0.6083333,0.0,0.0,20,0,13,7,0,0,13,0,0,0,6,1,0,6,0,0,1,0,29,137,4,0,0,0,6,20,5,25,0,29,0,0,0,0,106,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ksql\ksqldb-execution\src\main\java\io\confluent\ksql\execution\expression\tree\ColumnReferenceExp.java,io.confluent.ksql.execution.expression.tree.ColumnReferenceExp,class,4,13,9,4,3,3,2,1,1,0.33333334,0.0,0.0,3,0,2,0,0,1,3,1,0,0,1,0,0,0,0,1,1,0,1,11,1,0,0,0,0,1,0,1,0,1,0,0,0,0,10,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ksql\ksqldb-execution\src\test\java\io\confluent\ksql\execution\interpreter\InterpretedExpressionTest.java,io.confluent.ksql.execution.interpreter.InterpretedExpressionTest$AddUdf,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,2,2,1,2,0,0,0,0,9,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ksql\ksqldb-engine\src\test\java\io\confluent\ksql\analyzer\AggregateAnalyzerTest.java,io.confluent.ksql.analyzer.AggregateAnalyzerTest,class,20,21,1,20,28,1,0,39,0,0.66964287,0.0,0.0,28,0,24,4,0,0,24,0,0,0,12,8,0,12,0,0,9,0,7,161,0,0,0,0,0,27,3,40,0,41,0,0,0,7,126,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ksql\ksqldb-testing-tool\src\main\java\io\confluent\ksql\tools\test\model\Test.java,io.confluent.ksql.tools.test.model.Test,interface,1,3,2,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ksql\ksqldb-common\src\main\java\io\confluent\ksql\schema\ksql\SystemColumns.java,io.confluent.ksql.schema.ksql.SystemColumns,class,6,9,3,6,19,1,0,24,63,0.9490196,0.0,0.0,15,14,13,2,0,0,13,0,0,0,17,17,15,2,0,0,17,0,20,85,13,0,0,0,0,11,2,17,0,26,1,0,1,9,77,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ksql\ksqldb-parser\src\main\java\io\confluent\ksql\parser\tree\JoinOn.java,io.confluent.ksql.parser.tree.JoinOn,class,4,10,6,4,8,2,0,7,0,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,3,25,6,0,3,0,2,1,0,2,0,2,1,0,0,0,22,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ksql\ksqldb-rest-app\src\main\java\io\confluent\ksql\rest\util\KsqlInternalTopicUtils.java,io.confluent.ksql.rest.util.KsqlInternalTopicUtils,class,6,11,5,6,9,1,0,18,1,0.5,NaN,NaN,3,2,1,2,0,0,1,0,0,0,4,4,0,4,0,0,4,0,1,39,1,0,1,0,0,16,5,11,7,11,1,0,0,0,129,17,3
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ksql\ksqldb-streams\src\main\java\io\confluent\ksql\execution\streams\AggregateParamsFactory.java,io.confluent.ksql.execution.streams.AggregateParamsFactory$KudafUndoAggregatorFactory,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ksql\ksqldb-engine\src\test\java\io\confluent\ksql\function\udaf\topk\StringTopkKudafTest.java,io.confluent.ksql.function.udaf.topk.StringTopkKudafTest,class,9,10,1,9,14,1,0,21,58,0.8541667,0.0,0.0,12,0,10,2,0,0,10,0,0,0,4,2,0,4,0,0,4,0,10,80,2,2,0,0,0,146,2,36,0,32,1,0,0,0,49,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ksql\ksqldb-execution\src\main\java\io\confluent\ksql\execution\context\QueryLoggerUtil.java,io.confluent.ksql.execution.context.QueryLoggerUtil,class,4,7,3,4,3,1,0,8,3,0.0,0.0,0.0,3,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,11,2,0,0,0,0,2,0,0,0,0,0,0,1,0,43,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ksql\ksqldb-engine\src\main\java\io\confluent\ksql\statement\ConfiguredStatement.java,io.confluent.ksql.statement.ConfiguredStatement,class,7,23,16,7,17,1,0,10,0,0.25,0.0,0.0,14,1,13,1,0,0,13,0,0,0,2,0,0,2,0,0,2,0,5,56,15,0,3,0,0,6,0,5,2,5,1,0,0,0,76,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ksql\ksqldb-execution\src\main\java\io\confluent\ksql\execution\function\udtf\TableFunctionApplier.java,io.confluent.ksql.execution.function.udtf.TableFunctionApplier,class,8,12,4,8,6,1,0,14,0,0.25,0.0,0.0,3,0,1,1,0,1,2,0,0,0,4,0,0,4,0,0,4,0,4,33,4,1,1,1,0,6,1,8,3,7,2,0,0,1,47,1,2
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ksql\ksqldb-rest-app\src\test\java\io\confluent\ksql\rest\server\execution\TerminateQueryExecutorTest.java,io.confluent.ksql.rest.server.execution.TerminateQueryExecutorTest,class,20,21,1,20,9,1,0,30,16,0.6111111,0.0,0.0,9,4,9,0,0,0,9,0,0,0,2,1,1,1,0,0,2,0,12,59,3,0,0,0,0,9,0,24,0,24,0,0,0,1,60,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ksql\ksqldb-engine\src\main\java\io\confluent\ksql\query\QueryValidator.java,io.confluent.ksql.query.QueryValidator,interface,3,5,2,3,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ksql\ksqldb-engine\src\test\java\io\confluent\ksql\function\InternalFunctionRegistryTest.java,io.confluent.ksql.function.InternalFunctionRegistryTest$Anonymous1,anonymous,3,3,0,3,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,1,0,0,1,0,0,0,1,12,-1,0
