file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kylin\build-engine\src\main\java\org\apache\kylin\engine\mr\IMROutput.java,org.apache.kylin.engine.mr.IMROutput$IMRBatchMergeOutputSide,interface,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kylin\core-metadata\src\main\java\org\apache\kylin\metadata\filter\function\LikeMatchers.java,org.apache.kylin.metadata.filter.function.LikeMatchers$TwoPercentSignLikeMatcher,innerclass,1,1,0,1,3,1,0,3,0,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,10,1,0,1,0,0,0,2,1,0,1,0,0,0,0,10,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kylin\core-metadata\src\main\java\org\apache\kylin\metadata\tuple\SimpleTupleIterator.java,org.apache.kylin.metadata.tuple.SimpleTupleIterator,class,2,2,0,2,5,1,0,2,4,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,17,2,0,0,0,0,0,0,1,0,1,0,0,0,0,13,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kylin\core-metadata\src\main\java\org\apache\kylin\metadata\model\FunctionDesc.java,org.apache.kylin.metadata.model.FunctionDesc,class,13,37,24,13,77,1,1,56,188,0.8939394,0.0,0.0,33,1,32,1,0,0,33,0,0,0,20,12,12,8,0,0,12,0,10,252,46,3,20,0,7,38,8,49,9,33,4,0,0,0,124,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kylin\core-metadata\src\main\java\org\apache\kylin\metadata\model\CsvColumnDesc.java,org.apache.kylin.metadata.model.CsvColumnDesc,class,3,4,1,3,12,1,0,7,0,0.48148146,0.0,0.0,9,0,9,0,0,0,9,0,0,0,3,0,0,3,0,0,0,0,1,34,8,0,3,0,3,8,0,3,1,3,1,0,0,0,25,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kylin\core-metadata\src\main\java\org\apache\kylin\source\adhocquery\IPushDownRunner.java,org.apache.kylin.source.adhocquery.IPushDownRunner,interface,2,3,1,2,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kylin\core-common\src\main\java\org\apache\kylin\common\util\OrderedProperties.java,org.apache.kylin.common.util.OrderedProperties$OrderedPropertiesBuilder,innerclass,2,2,0,2,3,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,11,2,0,1,0,1,0,0,2,0,2,0,0,0,0,22,25,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kylin\core-job\src\main\java\org\apache\kylin\job\impl\threadpool\DefaultFetcherRunner.java,org.apache.kylin.job.impl.threadpool.DefaultFetcherRunner,class,12,15,3,12,16,2,0,30,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,1,1,1,0,1,0,0,1,0,1,76,2,1,3,2,1,16,8,17,3,8,4,0,0,0,72,1,5
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kylin\core-common\src\main\java\org\apache\kylin\common\zookeeper\KylinServerDiscovery.java,org.apache.kylin.common.zookeeper.KylinServerDiscovery$Anonymous1,anonymous,4,4,0,4,3,1,0,20,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,18,0,1,0,0,0,9,0,3,4,4,1,0,0,1,42,-1,3
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kylin\core-metadata\src\main\java\org\apache\kylin\measure\raw\RawSerializer.java,org.apache.kylin.measure.raw.RawSerializer,class,3,5,2,3,17,2,0,17,21,0.85714287,0.0,0.0,7,0,6,1,0,0,6,0,0,0,1,1,1,0,0,0,1,0,0,64,5,3,3,0,0,3,9,14,5,11,3,0,0,0,54,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kylin\kylin-spark-project\kylin-spark-engine\src\main\java\org\apache\kylin\engine\spark\job\NSparkUpdateCubeInfoAfterOptimizeStep.java,org.apache.kylin.engine.spark.job.NSparkUpdateCubeInfoAfterOptimizeStep,class,8,9,1,8,4,3,0,14,1,0.5,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,1,0,1,0,0,1,0,0,24,2,0,1,1,0,2,0,6,0,6,2,0,0,0,39,1,1
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kylin\core-common\src\main\java\org\apache\kylin\common\persistence\ResourceTool.java,org.apache.kylin.common.persistence.ResourceTool$Anonymous1,anonymous,0,0,0,0,4,1,0,7,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,2,6,8,6,9,6,0,0,0,0,30,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kylin\core-metadata\src\main\java\org\apache\kylin\metadata\datatype\BigDecimalSerializer.java,org.apache.kylin.metadata.datatype.BigDecimalSerializer,class,5,9,4,5,12,2,0,14,15,0.75,0.0,0.0,7,0,7,0,0,0,7,0,0,0,4,1,0,1,0,3,3,0,0,57,7,0,2,0,2,7,12,13,9,12,2,0,0,0,49,1,1
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kylin\jdbc\src\test\java\org\apache\kylin\jdbc\KylinConnectionTest.java,org.apache.kylin.jdbc.KylinConnectionTest,class,19,20,1,19,8,1,0,35,18,0.71875,0.0,0.0,8,0,4,4,0,0,4,0,0,0,4,0,0,4,0,0,4,0,1,103,4,0,0,6,0,31,14,25,0,25,2,2,0,0,67,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kylin\source-hive\src\main\java\org\apache\kylin\source\hive\HiveMRInput.java,org.apache.kylin.source.hive.HiveMRInput$GarbageCollectionStep,innerclass,1,1,0,1,0,3,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kylin\core-common\src\main\java\org\apache\kylin\common\persistence\StringEntity.java,org.apache.kylin.common.persistence.StringEntity$Anonymous1,anonymous,1,1,0,1,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,14,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kylin\jdbc\src\main\java\org\apache\kylin\jdbc\KylinConnectionInfo.java,org.apache.kylin.jdbc.KylinConnectionInfo,interface,0,9,9,0,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kylin\source-hive\src\main\java\org\apache\kylin\source\hive\cardinality\HiveColumnCardinalityJob.java,org.apache.kylin.source.hive.cardinality.HiveColumnCardinalityJob,class,17,18,1,17,2,2,0,35,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,3,1,1,1,0,3,0,0,48,1,0,1,1,0,11,1,14,1,13,2,0,0,0,84,1,2
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kylin\source-hive\src\main\java\org\apache\kylin\source\hive\RedistributeFlatHiveTableStep.java,org.apache.kylin.source.hive.RedistributeFlatHiveTableStep,class,10,14,4,10,15,2,2,38,43,0.8,0.0,0.0,10,0,6,3,1,0,7,0,0,0,1,0,0,1,0,0,1,0,5,87,9,0,2,1,1,25,6,19,10,15,3,0,0,0,80,1,2
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kylin\core-job\src\main\java\org\apache\kylin\job\lock\zookeeper\exception\ZkPeekLockInterruptException.java,org.apache.kylin.job.lock.zookeeper.exception.ZkPeekLockInterruptException,class,0,2,2,0,5,4,0,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kylin\query\src\main\java\org\apache\kylin\query\relnode\OLAPContext.java,org.apache.kylin.query.relnode.OLAPContext,class,31,62,31,31,53,1,0,68,144,0.9097225,0.0,0.0,21,6,19,2,0,0,19,0,0,0,48,4,43,0,0,5,6,0,3,222,17,10,12,0,3,3,1,74,0,74,3,0,1,0,183,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kylin\build-engine\src\main\java\org\apache\kylin\engine\mr\exception\HadoopShellException.java,org.apache.kylin.engine.mr.exception.HadoopShellException,class,0,1,1,0,5,3,0,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\kylin\core-cube\src\main\java\org\apache\kylin\gridtable\GTAggregateScanner.java,org.apache.kylin.gridtable.GTAggregateScanner$AggregationCache$Anonymous1,anonymous,2,2,0,2,5,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,22,3,1,1,0,2,0,5,5,1,4,3,0,0,0,10,-1,0
