file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\languagetool\languagetool-core\src\test\java\org\languagetool\ResourceBundleToolsTest.java,org.languagetool.ResourceBundleToolsTest,class,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\languagetool\languagetool-wikipedia\src\main\java\org\languagetool\dev\dumpcheck\WikipediaSentenceSource.java,org.languagetool.dev.dumpcheck.WikipediaSentenceSource$WikipediaSentence,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,3,3,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\languagetool\languagetool-server\src\main\java\org\languagetool\server\Server.java,org.languagetool.server.Server,class,9,19,10,9,21,1,2,21,43,0.78787875,0.0,0.0,11,4,3,0,8,0,11,1,0,0,6,1,0,1,5,0,1,0,10,114,7,0,4,0,2,72,11,13,5,18,1,0,0,1,278,1024,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\languagetool\languagetool-language-modules\pl\src\main\java\org\languagetool\rules\pl\SimpleReplaceRule.java,org.languagetool.rules.pl.SimpleReplaceRule,class,3,5,2,3,8,2,0,8,28,0.875,0.0,0.0,8,0,7,0,1,0,8,0,1,0,3,3,1,2,0,0,3,0,1,33,7,0,0,0,0,13,0,3,1,3,0,0,0,0,83,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\languagetool\languagetool-core\src\test\java\org\languagetool\tools\ToolsTest.java,org.languagetool.tools.ToolsTest$FakeRule,innerclass,3,3,0,3,1,2,0,2,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\languagetool\languagetool-dev\src\main\java\org\languagetool\dev\FuzzerForAnalysis.java,org.languagetool.dev.FuzzerForAnalysis,class,4,5,1,4,5,2,0,11,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,25,0,2,1,0,0,5,4,9,5,9,3,0,0,0,47,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\languagetool\languagetool-core\src\main\java\org\languagetool\languagemodel\bert\grpc\BertLmProto.java,org.languagetool.languagemodel.bert.grpc.BertLmProto$BertLmResponseOrBuilder,interface,3,3,0,3,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\languagetool\languagetool-language-modules\pt\src\test\java\org\languagetool\tokenizers\pt\PortugueseSRXSentenceTokenizerTest.java,org.languagetool.tokenizers.pt.PortugueseSRXSentenceTokenizerTest,class,4,5,1,4,2,1,0,2,1,0.5,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,10,0,0,0,0,0,3,0,1,0,1,0,0,0,0,17,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\languagetool\languagetool-language-modules\ga\src\main\java\org\languagetool\rules\ga\IrishReplaceRule.java,org.languagetool.rules.ga.IrishReplaceRule,class,1,1,0,1,8,2,0,9,28,0.875,0.0,0.0,8,0,7,0,1,0,8,0,1,0,2,2,0,2,0,0,2,0,1,32,7,0,0,0,0,10,0,2,1,2,0,0,0,0,65,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\languagetool\languagetool-core\src\test\java\org\languagetool\languagemodel\BaseLanguageModelTest.java,org.languagetool.languagemodel.BaseLanguageModelTest,class,4,4,0,4,2,1,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,21,0,0,0,2,0,9,7,6,0,6,1,0,0,0,21,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\languagetool\languagetool-language-modules\ca\src\main\java\org\languagetool\rules\ca\SimpleReplaceDNVSecondaryRule.java,org.languagetool.rules.ca.SimpleReplaceDNVSecondaryRule$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\languagetool\languagetool-dev\src\main\java\org\languagetool\dev\eval\SimpleCorpusEvaluator.java,org.languagetool.dev.eval.SimpleCorpusEvaluator$NgramLanguageToolEvaluator,innerclass,10,10,0,10,7,1,0,12,0,0.375,0.0,0.0,4,0,2,1,0,1,3,0,0,0,2,0,0,2,0,0,2,0,0,31,1,2,1,0,0,1,0,4,1,3,1,0,0,0,35,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\languagetool\languagetool-dev\src\main\java\org\languagetool\dev\eval\TatoebaEvaluator.java,org.languagetool.dev.eval.TatoebaEvaluator,class,1,2,1,1,5,1,0,9,1,0.5,NaN,NaN,2,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,16,0,1,1,0,0,5,1,2,1,2,2,0,0,0,52,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\languagetool\languagetool-core\src\main\java\org\languagetool\rules\spelling\CommonFileTypes.java,org.languagetool.rules.spelling.CommonFileTypes,class,0,0,0,0,2,1,0,3,1,0.75,NaN,NaN,2,1,1,1,0,0,1,0,0,0,2,2,0,2,0,0,2,0,3,9,1,0,0,0,0,150,0,2,1,2,0,0,0,0,20,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\languagetool\languagetool-language-modules\de\src\test\java\org\languagetool\rules\de\NonSignificantVerbsRuleTest.java,org.languagetool.rules.de.NonSignificantVerbsRuleTest,class,6,7,1,6,3,1,0,13,0,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,17,0,1,0,0,0,3,2,3,0,3,1,0,0,0,34,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\languagetool\languagetool-language-modules\ru\src\test\java\org\languagetool\rules\ru\DateCheckFilterTest.java,org.languagetool.rules.ru.DateCheckFilterTest,class,2,2,0,2,2,1,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,9,9,2,0,2,0,0,0,0,14,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\languagetool\languagetool-dev\src\main\java\org\languagetool\rules\spelling\suggestions\SuggestionChangesTest.java,org.languagetool.rules.spelling.suggestions.SuggestionChangesTest,class,15,16,1,15,42,2,0,79,3,0.0,0.0,0.0,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,25,325,0,10,9,2,0,69,17,54,3,53,7,0,3,2,143,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\languagetool\languagetool-core\src\main\java\org\languagetool\rules\spelling\morfologik\MorfologikSpellerRule.java,org.languagetool.rules.spelling.morfologik.MorfologikSpellerRule,class,27,31,4,27,171,3,0,153,356,0.9236452,0.0,0.0,29,4,13,8,8,0,21,2,0,0,14,2,0,7,6,1,7,0,56,499,33,12,25,1,7,46,67,129,50,97,6,0,1,5,287,1025,1
C:\Projetos\LabExperimentacao\medicao-lab2\repos\languagetool\languagetool-wikipedia\src\main\java\org\languagetool\dev\dumpcheck\WikipediaSentenceExtractor.java,org.languagetool.dev.dumpcheck.WikipediaSentenceExtractor,class,5,7,2,5,10,1,0,17,3,0.0,NaN,NaN,3,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,41,1,1,3,1,0,7,10,9,4,8,3,0,0,0,47,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\languagetool\languagetool-wikipedia\src\main\java\org\languagetool\dev\index\Searcher.java,org.languagetool.dev.index.Searcher$MatchingSentencesResult,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,8,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\languagetool\languagetool-http-client\src\test\java\org\languagetool\remote\RemoteRuleMatchTest.java,org.languagetool.remote.RemoteRuleMatchTest,class,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,3,0,0,0,0,0,0,0,8,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\languagetool\languagetool-language-modules\sr\src\main\java\org\languagetool\language\JekavianSerbian.java,org.languagetool.language.JekavianSerbian,class,11,15,4,11,5,3,3,2,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,23,3,0,2,0,0,0,0,3,0,3,1,0,0,0,32,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\languagetool\languagetool-language-modules\de\src\main\java\org\languagetool\rules\de\GermanRepeatedWordsRule.java,org.languagetool.rules.de.GermanRepeatedWordsRule,class,4,5,1,4,11,2,0,2,19,0.71428573,0.0,0.0,7,0,2,0,5,0,7,0,0,0,1,1,0,1,0,0,1,0,0,30,8,0,0,0,2,5,0,1,0,1,1,0,0,0,48,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\languagetool\languagetool-wikipedia\src\main\java\org\languagetool\dev\dumpcheck\CSVHandler.java,org.languagetool.dev.dumpcheck.CSVHandler,class,5,7,2,5,6,2,0,14,6,0.0,0.0,0.0,4,0,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,24,1,1,0,0,0,7,2,2,3,1,2,0,0,0,39,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\languagetool\languagetool-language-modules\pt\src\test\java\org\languagetool\rules\pt\PortugueseClicheRuleTest.java,org.languagetool.rules.pt.PortugueseClicheRuleTest,class,7,8,1,7,3,1,0,8,0,0.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,19,0,0,0,0,0,9,6,3,3,3,0,0,0,0,51,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\languagetool\languagetool-office-extension\src\main\java\org\languagetool\openoffice\LORemoteLanguageTool.java,org.languagetool.openoffice.LORemoteLanguageTool$RemoteTextLevelRule,innerclass,5,5,0,5,15,2,0,9,37,0.8181819,0.0,0.0,11,0,10,0,0,1,11,0,0,0,9,0,0,9,0,0,9,0,4,72,10,0,0,0,0,16,3,14,0,9,1,0,0,0,49,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\languagetool\languagetool-dev\src\main\java\org\languagetool\dev\httpchecker\CheckCallable.java,org.languagetool.dev.httpchecker.CheckCallable$CheckResult,innerclass,0,0,0,0,1,1,0,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,5,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\languagetool\languagetool-language-modules\en\src\main\java\org\languagetool\rules\en\ConsistentApostrophesRule.java,org.languagetool.rules.en.ConsistentApostrophesRule,class,5,8,3,5,26,2,0,18,15,1.0,0.0,0.0,6,0,5,1,0,0,5,0,0,0,1,1,0,1,0,0,1,0,0,67,7,4,5,0,0,15,2,18,3,11,3,0,0,0,90,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\languagetool\languagetool-office-extension\src\main\java\org\languagetool\openoffice\DocumentCache.java,org.languagetool.openoffice.DocumentCache$SerialLocale,innerclass,2,2,0,2,16,1,0,5,0,0.25,0.0,0.0,5,0,1,0,0,4,5,0,0,0,4,1,0,1,0,3,1,0,0,26,5,0,8,0,6,4,1,4,3,4,1,0,0,0,35,2,0
