file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\libstreaming\src\net\majorkernelpanic\streaming\rtsp\RtspClient.java,net.majorkernelpanic.streaming.rtsp.RtspClient$Anonymous2,run/0,false,228,3,31,0,31,6,9,33,3,0,0,9,0,0,0,2,3,0,1,0,5,0,2,0,0,0,27,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\libstreaming\src\net\majorkernelpanic\streaming\rtsp\RtspClient.java,net.majorkernelpanic.streaming.rtsp.RtspClient$Anonymous3,run/0,false,275,2,31,0,31,4,2,9,0,0,0,2,0,0,0,3,0,0,0,0,1,0,1,0,0,0,17,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\libstreaming\src\net\majorkernelpanic\streaming\mp4\MP4Parser.java,net.majorkernelpanic.streaming.mp4.MP4Parser,close/0,false,59,0,1,1,0,2,1,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\libstreaming\src\net\majorkernelpanic\streaming\mp4\MP4Parser.java,net.majorkernelpanic.streaming.mp4.MP4Parser,getBoxPos/1[java.lang.String],false,65,0,1,1,0,2,1,5,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,11,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\libstreaming\src\net\majorkernelpanic\streaming\mp4\MP4Parser.java,net.majorkernelpanic.streaming.mp4.MP4Parser,"toHexString/3[byte[],int,int]",false,140,1,3,3,0,3,4,9,1,3,3,4,0,0,1,0,0,0,1,2,3,2,1,0,0,0,11,8,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\libstreaming\src\net\majorkernelpanic\streaming\mp4\MP4Parser.java,net.majorkernelpanic.streaming.mp4.MP4Parser,validBoxName/1[byte[]],false,132,1,1,1,0,6,0,6,2,1,1,0,0,0,1,0,0,2,0,6,1,4,2,0,0,0,7,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\libstreaming\src\net\majorkernelpanic\streaming\mp4\MP4Parser.java,net.majorkernelpanic.streaming.mp4.MP4Parser,"parse/2[java.lang.String,long]",false,80,2,4,2,2,9,12,44,0,6,2,12,2,1,1,2,0,3,5,31,18,12,4,0,0,0,19,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\libstreaming\src\net\majorkernelpanic\streaming\mp4\MP4Parser.java,net.majorkernelpanic.streaming.mp4.MP4Parser,parse/1[java.lang.String],false,45,1,2,1,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\libstreaming\src\net\majorkernelpanic\streaming\mp4\MP4Parser.java,net.majorkernelpanic.streaming.mp4.MP4Parser,MP4Parser/1[java.lang.String],true,49,1,2,1,1,2,3,10,0,0,1,3,1,2,0,0,1,0,3,0,1,0,1,0,0,0,17,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\libstreaming\src\net\majorkernelpanic\streaming\mp4\MP4Parser.java,net.majorkernelpanic.streaming.mp4.MP4Parser,getStsdBox/0,false,72,2,3,1,2,2,1,8,1,0,0,1,1,1,0,0,1,0,2,0,0,0,1,0,0,0,16,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\libstreaming\src\net\majorkernelpanic\streaming\rtsp\RtspClient.java,net.majorkernelpanic.streaming.rtsp.RtspClient$Anonymous4,run/0,false,485,2,31,0,31,3,6,14,0,0,0,6,0,0,0,1,1,0,1,1,0,0,2,0,0,0,27,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\libstreaming\src\net\majorkernelpanic\streaming\rtsp\RtspClient.java,net.majorkernelpanic.streaming.rtsp.RtspClient$Anonymous5,run/0,false,505,2,31,0,31,4,7,19,0,0,0,7,0,0,0,1,2,0,1,1,0,0,3,0,0,0,26,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\libstreaming\src\net\majorkernelpanic\streaming\rtsp\RtspClient.java,net.majorkernelpanic.streaming.rtsp.RtspClient$Anonymous6,run/0,false,551,1,31,0,31,2,1,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\libstreaming\src\net\majorkernelpanic\streaming\rtsp\RtspServer.java,net.majorkernelpanic.streaming.rtsp.RtspServer$Response,Response/1[net.majorkernelpanic.streaming.rtsp.RtspServer.Request],true,673,1,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\libstreaming\src\net\majorkernelpanic\streaming\rtsp\RtspServer.java,net.majorkernelpanic.streaming.rtsp.RtspServer$Response,send/1[java.io.OutputStream],false,682,0,1,1,0,4,9,12,0,2,1,9,0,0,0,1,1,3,17,2,3,3,1,0,0,0,23,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\libstreaming\src\net\majorkernelpanic\streaming\rtsp\RtspServer.java,net.majorkernelpanic.streaming.rtsp.RtspServer$Response,Response/0,true,677,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\libstreaming\src\net\majorkernelpanic\streaming\gl\TextureManager.java,net.majorkernelpanic.streaming.gl.TextureManager,TextureManager/0,true,88,0,1,1,0,1,7,5,0,0,0,7,0,0,0,0,0,0,0,2,1,1,0,0,0,0,18,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\libstreaming\src\net\majorkernelpanic\streaming\gl\TextureManager.java,net.majorkernelpanic.streaming.gl.TextureManager,createTexture/0,false,149,3,3,1,2,6,8,38,1,1,0,8,2,3,0,5,0,0,15,9,8,0,1,0,0,0,41,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\libstreaming\src\net\majorkernelpanic\streaming\gl\TextureManager.java,net.majorkernelpanic.streaming.gl.TextureManager,updateFrame/0,false,105,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\libstreaming\src\net\majorkernelpanic\streaming\gl\TextureManager.java,net.majorkernelpanic.streaming.gl.TextureManager,getTextureId/0,false,97,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\libstreaming\src\net\majorkernelpanic\streaming\gl\TextureManager.java,net.majorkernelpanic.streaming.gl.TextureManager,changeFragmentShader/1[java.lang.String],false,205,1,1,0,1,3,2,10,0,0,1,2,1,3,0,2,0,0,1,1,2,0,1,0,0,0,29,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\libstreaming\src\net\majorkernelpanic\streaming\gl\TextureManager.java,net.majorkernelpanic.streaming.gl.TextureManager,"createProgram/2[java.lang.String,java.lang.String]",false,232,2,4,2,2,5,9,29,3,4,2,9,2,2,0,4,0,0,5,9,5,0,1,0,0,0,15,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\libstreaming\src\net\majorkernelpanic\streaming\gl\TextureManager.java,net.majorkernelpanic.streaming.gl.TextureManager,getSurfaceTexture/0,false,101,1,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\libstreaming\src\net\majorkernelpanic\streaming\gl\TextureManager.java,net.majorkernelpanic.streaming.gl.TextureManager,drawFrame/0,false,109,1,2,1,1,1,12,25,0,0,0,12,1,1,0,0,0,0,7,10,0,0,0,0,0,0,29,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\libstreaming\src\net\majorkernelpanic\streaming\gl\TextureManager.java,net.majorkernelpanic.streaming.gl.TextureManager,checkGlError/1[java.lang.String],false,263,0,4,4,0,2,2,7,0,1,1,2,0,0,1,1,0,1,2,0,1,2,1,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\libstreaming\src\net\majorkernelpanic\streaming\gl\TextureManager.java,net.majorkernelpanic.streaming.gl.TextureManager,release/0,false,198,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\libstreaming\src\net\majorkernelpanic\streaming\gl\TextureManager.java,net.majorkernelpanic.streaming.gl.TextureManager,"loadShader/2[int,java.lang.String]",false,216,2,2,1,1,2,8,15,1,2,2,8,1,1,0,1,0,0,4,5,3,3,1,0,0,0,12,2,0,false
