file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\linkis\linkis-public-enhancements\linkis-error-code\linkis-error-code-server\src\test\java\org\apache\linkis\errorcode\server\dao\ErrorCodeMapperTest.java,org.apache.linkis.errorcode.server.dao.ErrorCodeMapperTest,getAllErrorCodesTest/0,false,36,4,1,0,1,2,3,4,0,1,0,3,0,0,0,1,0,0,1,1,1,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\linkis\linkis-computation-governance\linkis-client\linkis-cli\linkis-cli-application\src\main\java\org\apache\linkis\cli\application\interactor\job\desc\LinkisOnceDesc.java,org.apache.linkis.cli.application.interactor.job.desc.LinkisOnceDesc,getStdVarAccess/0,false,41,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\linkis\linkis-computation-governance\linkis-client\linkis-cli\linkis-cli-application\src\main\java\org\apache\linkis\cli\application\interactor\job\desc\LinkisOnceDesc.java,org.apache.linkis.cli.application.interactor.job.desc.LinkisOnceDesc,"setSourceMap/1[java.util.Map<java.lang.String,java.lang.Object>]",false,117,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\linkis\linkis-computation-governance\linkis-client\linkis-cli\linkis-cli-application\src\main\java\org\apache\linkis\cli\application\interactor\job\desc\LinkisOnceDesc.java,org.apache.linkis.cli.application.interactor.job.desc.LinkisOnceDesc,"setJobContentMap/1[java.util.Map<java.lang.String,java.lang.Object>]",false,133,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\linkis\linkis-computation-governance\linkis-client\linkis-cli\linkis-cli-application\src\main\java\org\apache\linkis\cli\application\interactor\job\desc\LinkisOnceDesc.java,org.apache.linkis.cli.application.interactor.job.desc.LinkisOnceDesc,getLabelMap/0,false,121,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\linkis\linkis-computation-governance\linkis-client\linkis-cli\linkis-cli-application\src\main\java\org\apache\linkis\cli\application\interactor\job\desc\LinkisOnceDesc.java,org.apache.linkis.cli.application.interactor.job.desc.LinkisOnceDesc,getCreator/0,false,73,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\linkis\linkis-computation-governance\linkis-client\linkis-cli\linkis-cli-application\src\main\java\org\apache\linkis\cli\application\interactor\job\desc\LinkisOnceDesc.java,org.apache.linkis.cli.application.interactor.job.desc.LinkisOnceDesc,setProxyUser/1[java.lang.String],false,69,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\linkis\linkis-computation-governance\linkis-client\linkis-cli\linkis-cli-application\src\main\java\org\apache\linkis\cli\application\interactor\job\desc\LinkisOnceDesc.java,org.apache.linkis.cli.application.interactor.job.desc.LinkisOnceDesc,"setParamVarsMap/1[java.util.Map<java.lang.String,java.lang.Object>]",false,109,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\linkis\linkis-computation-governance\linkis-client\linkis-cli\linkis-cli-application\src\main\java\org\apache\linkis\cli\application\interactor\job\desc\LinkisOnceDesc.java,org.apache.linkis.cli.application.interactor.job.desc.LinkisOnceDesc,getSubmitUser/0,false,57,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\linkis\linkis-computation-governance\linkis-client\linkis-cli\linkis-cli-application\src\main\java\org\apache\linkis\cli\application\interactor\job\desc\LinkisOnceDesc.java,org.apache.linkis.cli.application.interactor.job.desc.LinkisOnceDesc,"setParamRunTimeMap/1[java.util.Map<java.lang.String,java.lang.Object>]",false,93,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
