file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\linuxdeploy\app\src\main\java\ru\meefik\linuxdeploy\adapter\RepositoryProfileAdapter.java,ru.meefik.linuxdeploy.adapter.RepositoryProfileAdapter,class,8,9,1,8,6,2,0,7,4,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,76,2,0,1,0,0,0,1,3,0,3,0,0,2,0,27,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\linuxdeploy\app\src\main\java\ru\meefik\linuxdeploy\adapter\MountAdapter.java,ru.meefik.linuxdeploy.adapter.MountAdapter,class,9,10,1,9,15,2,0,15,3,0.7,0.0,0.0,10,0,10,0,0,0,10,0,0,0,3,0,0,3,0,0,0,0,0,90,3,2,1,0,0,3,6,6,1,6,2,0,3,0,32,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\linuxdeploy\app\src\main\java\ru\meefik\linuxdeploy\App.java,ru.meefik.linuxdeploy.App,class,4,5,1,4,3,2,0,6,1,0.5,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,18,0,0,0,0,0,1,0,6,0,6,1,0,0,0,32,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\linuxdeploy\app\src\main\java\ru\meefik\linuxdeploy\activity\PropertiesActivity.java,ru.meefik.linuxdeploy.activity.PropertiesActivity,class,5,7,2,5,5,2,0,18,6,0.0,0.0,0.0,4,0,1,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,5,23,0,0,0,0,0,2,0,1,1,1,1,0,0,0,27,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\linuxdeploy\app\src\main\java\ru\meefik\linuxdeploy\adapter\RepositoryProfileAdapter.java,ru.meefik.linuxdeploy.adapter.RepositoryProfileAdapter$ViewHolder,innerclass,6,6,0,6,14,2,0,11,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,4,0,0,4,0,0,0,0,0,52,0,0,3,0,0,8,0,13,0,6,2,0,0,1,18,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\linuxdeploy\app\src\main\java\ru\meefik\linuxdeploy\activity\RepositoryActivity.java,ru.meefik.linuxdeploy.activity.RepositoryActivity$Anonymous2,anonymous,5,5,0,5,5,1,0,12,3,0.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,29,0,0,0,1,0,2,0,2,1,2,2,0,0,1,21,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\linuxdeploy\app\src\main\java\ru\meefik\linuxdeploy\ExecService.java,ru.meefik.linuxdeploy.ExecService,class,7,9,2,7,4,2,0,9,1,0.5,0.0,0.0,2,1,1,0,1,0,2,0,0,0,1,1,1,0,0,0,1,0,5,25,0,0,0,0,0,4,1,4,0,4,2,0,0,1,24,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\linuxdeploy\app\src\main\java\ru\meefik\linuxdeploy\activity\FullscreenActivity.java,ru.meefik.linuxdeploy.activity.FullscreenActivity,class,3,3,0,3,7,2,0,13,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0,0,0,0,1,0,1,1,0,0,0,23,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\linuxdeploy\app\src\main\java\ru\meefik\linuxdeploy\activity\RepositoryActivity.java,ru.meefik.linuxdeploy.activity.RepositoryActivity$Anonymous1,anonymous,5,5,0,5,10,1,0,17,3,0.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,48,0,1,1,1,1,8,4,5,0,4,4,0,0,2,27,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\linuxdeploy\app\src\main\java\ru\meefik\linuxdeploy\UpdateEnvTask.java,ru.meefik.linuxdeploy.UpdateEnvTask,class,4,5,1,4,9,2,0,8,0,0.25,0.0,0.0,4,0,1,0,3,0,4,0,0,0,2,0,0,2,0,0,0,0,1,28,1,0,3,0,0,0,0,5,0,5,2,0,0,0,22,1,0
