file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\lucida\lucida\questionanswering\OpenEphyra\src\info\ephyra\nlp\semantics\ontologies\DomainOntology.java,info.ephyra.nlp.semantics.ontologies.DomainOntology,expandEntity/1[java.lang.String],false,82,1,1,0,1,1,3,7,1,1,1,3,0,0,0,0,0,0,1,1,2,0,0,0,0,0,17,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\lucida\lucida\questionanswering\OpenEphyra\src\info\ephyra\nlp\semantics\ontologies\DomainOntology.java,info.ephyra.nlp.semantics.ontologies.DomainOntology,"DomainOntology/3[java.lang.String,java.lang.String,java.lang.String]",true,33,1,2,0,2,4,5,11,0,1,3,5,0,0,3,0,0,0,0,0,2,0,3,0,0,0,30,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\lucida\lucida\questionanswering\OpenEphyra\src\info\ephyra\nlp\semantics\ontologies\DomainOntology.java,info.ephyra.nlp.semantics.ontologies.DomainOntology,expandEvent/1[java.lang.String],false,64,1,1,0,1,1,3,9,1,1,1,3,0,0,0,0,0,0,3,1,4,0,0,0,0,0,16,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\lucida\lucida\questionanswering\OpenEphyra\src\info\ephyra\nlp\semantics\ontologies\DomainOntology.java,info.ephyra.nlp.semantics.ontologies.DomainOntology,contains/1[java.lang.String],false,54,1,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\lucida\lucida\questionanswering\OpenEphyra\src\info\ephyra\nlp\semantics\ontologies\DomainOntology.java,info.ephyra.nlp.semantics.ontologies.DomainOntology,"expandModifier/2[java.lang.String,net.didion.jwnl.data.POS]",false,100,1,0,0,0,1,0,4,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\lucida\lucida\questionanswering\OpenEphyra\src\info\ephyra\answerselection\filters\DuplicateFilter.java,info.ephyra.answerselection.filters.DuplicateFilter,apply/1[info.ephyra.search.Result[]],false,42,3,6,0,6,18,8,23,1,4,1,8,0,0,5,10,0,1,0,4,7,2,3,0,0,0,29,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\lucida\lucida\questionanswering\OpenEphyra\src\info\ephyra\answerselection\filters\DuplicateFilter.java,info.ephyra.answerselection.filters.DuplicateFilter,addForbiddenAnswers/1[java.lang.String[]],false,31,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\lucida\lucida\questionanswering\OpenEphyra\src\info\ephyra\answerselection\filters\WebDocumentFetcherFilter.java,info.ephyra.answerselection.filters.WebDocumentFetcherFilter,incPending/0,false,73,0,1,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\lucida\lucida\questionanswering\OpenEphyra\src\info\ephyra\answerselection\filters\WebDocumentFetcherFilter.java,info.ephyra.answerselection.filters.WebDocumentFetcherFilter,waitForPending/0,false,61,0,1,1,0,3,1,9,0,0,0,1,0,0,1,0,1,0,0,0,0,0,3,0,0,0,26,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\lucida\lucida\questionanswering\OpenEphyra\src\info\ephyra\answerselection\filters\WebDocumentFetcherFilter.java,info.ephyra.answerselection.filters.WebDocumentFetcherFilter,apply/1[info.ephyra.search.Result[]],false,112,7,15,0,15,16,22,49,1,15,1,22,1,1,4,2,1,3,3,5,18,3,4,0,0,0,71,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\lucida\lucida\questionanswering\OpenEphyra\src\info\ephyra\answerselection\filters\WebDocumentFetcherFilter.java,info.ephyra.answerselection.filters.WebDocumentFetcherFilter,waitForDocs/0,false,49,0,1,1,0,3,1,9,0,0,0,1,0,0,1,0,1,0,0,1,0,0,3,0,0,0,17,2,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\lucida\lucida\questionanswering\OpenEphyra\src\info\ephyra\answerselection\filters\WebDocumentFetcherFilter.java,info.ephyra.answerselection.filters.WebDocumentFetcherFilter,"addDoc/2[info.ephyra.search.Result,boolean]",false,87,2,5,1,4,4,5,13,0,1,2,5,0,0,0,1,0,0,0,0,1,0,3,0,0,0,39,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\lucida\lucida\asyncthrift\fake\fakeqa\src\lucida\thrift\LucidaService.java,lucida.thrift.LucidaService$Client,recv_create/0,false,94,2,4,2,2,1,1,5,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,1,0,false
