file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\megabasterd\src\main\java\com\tonikelope\megabasterd\BoundedExecutor.java,com.tonikelope.megabasterd.BoundedExecutor,"BoundedExecutor/2[java.util.concurrent.ExecutorService,int]",true,25,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\megabasterd\src\main\java\com\tonikelope\megabasterd\BoundedExecutor.java,com.tonikelope.megabasterd.BoundedExecutor,submitTask/1[java.lang.Runnable],false,31,0,2,1,1,2,3,19,0,0,1,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\megabasterd\src\main\java\com\tonikelope\megabasterd\DBTools.java,com.tonikelope.megabasterd.DBTools,insertDownloadsQueue/1[java.util.ArrayList<java.lang.String>],false,54,1,4,2,2,3,7,11,0,2,1,7,0,0,1,0,1,0,1,1,2,0,3,0,0,0,26,41,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\megabasterd\src\main\java\com\tonikelope\megabasterd\DBTools.java,com.tonikelope.megabasterd.DBTools,deleteMegaAccount/1[java.lang.String],false,581,1,3,1,2,1,5,6,0,2,1,5,0,0,0,0,1,0,1,1,2,0,1,0,0,0,20,41,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\megabasterd\src\main\java\com\tonikelope\megabasterd\DBTools.java,com.tonikelope.megabasterd.DBTools,truncateDownloadsQueue/0,false,91,1,4,2,2,1,4,5,0,2,0,4,0,0,0,0,1,0,1,0,2,0,1,0,0,0,15,41,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\megabasterd\src\main\java\com\tonikelope\megabasterd\DBTools.java,com.tonikelope.megabasterd.DBTools,deleteDownload/1[java.lang.String],false,209,1,5,3,2,1,5,6,0,2,1,5,0,0,0,0,1,0,1,1,2,0,1,0,0,0,20,41,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\megabasterd\src\main\java\com\tonikelope\megabasterd\DBTools.java,com.tonikelope.megabasterd.DBTools,"insertELCAccount/3[java.lang.String,java.lang.String,java.lang.String]",false,566,1,4,2,2,1,5,8,0,2,3,5,0,0,0,0,1,0,1,3,2,0,1,0,0,0,25,41,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\megabasterd\src\main\java\com\tonikelope\megabasterd\DBTools.java,com.tonikelope.megabasterd.DBTools,truncateMegaSessions/0,false,156,1,4,2,2,1,4,5,0,2,0,4,0,0,0,0,1,0,1,0,2,0,1,0,0,0,15,41,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\megabasterd\src\main\java\com\tonikelope\megabasterd\DBTools.java,com.tonikelope.megabasterd.DBTools,"insertUpload/7[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",false,235,1,3,1,2,1,6,14,0,2,7,6,0,0,0,0,1,0,1,10,2,0,1,0,0,0,24,41,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\megabasterd\src\main\java\com\tonikelope\megabasterd\DBTools.java,com.tonikelope.megabasterd.DBTools,"insertDownload/9[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.Long,java.lang.String,java.lang.String,java.lang.String]",false,191,1,3,1,2,1,6,14,0,2,9,6,0,0,0,0,1,0,1,9,2,0,1,0,0,0,23,41,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\megabasterd\src\main\java\com\tonikelope\megabasterd\DBTools.java,com.tonikelope.megabasterd.DBTools,"deleteUpload/2[java.lang.String,java.lang.String]",false,298,1,5,3,2,1,5,7,0,2,2,5,0,0,0,0,1,0,1,2,2,0,1,0,0,0,24,41,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\megabasterd\src\main\java\com\tonikelope\megabasterd\DBTools.java,com.tonikelope.megabasterd.DBTools,setupSqliteTables/0,false,31,1,3,1,2,1,4,12,0,2,0,4,0,0,0,0,1,0,8,0,2,0,1,0,0,0,71,41,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\megabasterd\src\main\java\com\tonikelope\megabasterd\DBTools.java,com.tonikelope.megabasterd.DBTools,"insertMegaSession/3[java.lang.String,byte[],boolean]",false,144,2,4,2,2,2,7,8,0,2,3,7,0,0,0,0,1,0,1,5,2,0,1,0,0,0,26,41,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\megabasterd\src\main\java\com\tonikelope\megabasterd\DBTools.java,com.tonikelope.megabasterd.DBTools,vaccum/0,false,46,1,4,2,2,1,4,5,0,2,0,4,0,0,0,0,1,0,1,0,2,0,1,0,0,0,9,41,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\megabasterd\src\main\java\com\tonikelope\megabasterd\DBTools.java,com.tonikelope.megabasterd.DBTools,truncateELCAccounts/0,false,609,1,3,1,2,1,4,5,0,2,0,4,0,0,0,0,1,0,1,0,2,0,1,0,0,0,16,41,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\megabasterd\src\main\java\com\tonikelope\megabasterd\DBTools.java,com.tonikelope.megabasterd.DBTools,"insertSettingValue/2[java.lang.String,java.lang.String]",false,345,1,6,4,2,1,5,7,0,2,2,5,0,0,0,0,1,0,1,2,2,0,1,0,0,0,25,41,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\megabasterd\src\main\java\com\tonikelope\megabasterd\DBTools.java,com.tonikelope.megabasterd.DBTools,selectELCAccounts/0,false,524,1,4,2,2,2,7,14,1,5,0,7,0,0,1,0,1,0,6,0,5,0,2,0,0,0,22,41,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\megabasterd\src\main\java\com\tonikelope\megabasterd\DBTools.java,com.tonikelope.megabasterd.DBTools,selectMegaAccounts/0,false,452,1,4,2,2,2,7,15,1,5,0,7,0,0,1,0,1,0,8,0,5,0,2,0,0,0,21,41,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\megabasterd\src\main\java\com\tonikelope\megabasterd\DBTools.java,com.tonikelope.megabasterd.DBTools,selectSettingValue/1[java.lang.String],false,325,2,14,12,2,3,11,14,1,4,1,11,0,0,0,0,1,0,1,2,5,0,2,0,0,0,25,41,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\megabasterd\src\main\java\com\tonikelope\megabasterd\DBTools.java,com.tonikelope.megabasterd.DBTools,insertUploadsQueue/1[java.util.ArrayList<java.lang.String>],false,99,1,4,2,2,3,7,11,0,2,1,7,0,0,1,0,1,0,1,1,2,0,3,0,0,0,26,41,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\megabasterd\src\main\java\com\tonikelope\megabasterd\DBTools.java,com.tonikelope.megabasterd.DBTools,truncateUploadsQueue/0,false,136,1,4,2,2,1,4,5,0,2,0,4,0,0,0,0,1,0,1,0,2,0,1,0,0,0,15,41,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\megabasterd\src\main\java\com\tonikelope\megabasterd\DBTools.java,com.tonikelope.megabasterd.DBTools,truncateMegaAccounts/0,false,601,1,3,1,2,1,4,5,0,2,0,4,0,0,0,0,1,0,1,0,2,0,1,0,0,0,15,41,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\megabasterd\src\main\java\com\tonikelope\megabasterd\DBTools.java,com.tonikelope.megabasterd.DBTools,selectMegaSession/1[java.lang.String],false,164,2,3,1,2,3,13,18,2,4,1,13,0,0,0,1,1,1,4,4,5,0,2,0,0,0,26,41,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\megabasterd\src\main\java\com\tonikelope\megabasterd\DBTools.java,com.tonikelope.megabasterd.DBTools,selectSettingsValues/0,false,357,1,3,1,2,2,7,11,1,4,0,7,0,0,1,0,1,0,3,0,4,0,2,0,0,0,19,41,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\megabasterd\src\main\java\com\tonikelope\megabasterd\DBTools.java,com.tonikelope.megabasterd.DBTools,selectDownloadsQueue/0,false,72,1,3,1,2,2,7,11,1,4,0,7,0,0,1,0,1,0,2,0,4,0,2,0,0,0,24,41,0,false
