file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\microservices-platform\zlt-commons\zlt-loadbalancer-spring-boot-starter\src\main\java\com\central\common\lb\chooser\RoundRuleChooser.java,com.central.common.lb.chooser.RoundRuleChooser,class,3,4,1,3,3,1,0,8,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,14,2,0,0,0,0,1,1,2,1,2,1,0,0,0,16,1,1
C:\Projetos\LabExperimentacao\medicao-lab2\repos\microservices-platform\zlt-commons\zlt-auth-client-spring-boot-starter\src\main\java\com\central\oauth2\common\service\impl\CustomBearerTokenExtractor.java,com.central.oauth2.common.service.impl.CustomBearerTokenExtractor,class,8,8,0,8,3,2,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,1,0,0,12,2,1,0,0,0,0,0,1,0,2,2,0,0,0,21,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\microservices-platform\zlt-demo\txlcn-demo\txlcn-demo-common\src\main\java\org\txlcn\demo\common\db\mapper\BaseDemoMapper.java,org.txlcn.demo.common.db.mapper.BaseDemoMapper,interface,4,10,6,4,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,23,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\microservices-platform\zlt-uaa\src\main\java\com\central\oauth\config\RedisListenerConfig.java,com.central.oauth.config.RedisListenerConfig,class,5,5,0,5,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,1,0,0,0,0,11,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\microservices-platform\zlt-business\code-generator\src\main\java\com\central\generator\mapper\SysGeneratorMapper.java,com.central.generator.mapper.SysGeneratorMapper,interface,5,6,1,5,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\microservices-platform\zlt-business\user-center\src\main\java\com\central\user\service\impl\SysMenuServiceImpl.java,com.central.user.service.impl.SysMenuServiceImpl,class,11,11,0,11,7,3,0,11,3,0.33333334,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,26,5,0,0,0,0,3,1,1,0,3,1,0,0,1,26,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\microservices-platform\zlt-demo\rocketmq-demo\rocketmq-transactional\src\main\java\com\rocketmq\demo\controller\OrderController.java,com.rocketmq.demo.controller.OrderController,class,7,7,0,7,4,1,0,10,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,3,30,3,0,0,0,0,13,3,7,0,7,0,0,0,0,12,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\microservices-platform\zlt-demo\sso-demo\ss-sso\src\main\java\com\sso\demo\SSOApplication.java,com.sso.demo.SSOApplication,class,2,3,1,2,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\microservices-platform\zlt-business\user-center\src\main\java\com\central\user\config\WebMvcConfig.java,com.central.user.config.WebMvcConfig,class,2,2,0,2,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\microservices-platform\zlt-monitor\log-center\src\main\java\com\central\log\controller\AuditLogController.java,com.central.log.controller.AuditLogController,class,9,9,0,9,2,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,11,1,0,0,0,0,13,0,1,0,1,0,0,0,0,18,1,0
