file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass-sample\src\main\java\com\facebook\network\connectionclass\sample\MainActivity.java,com.facebook.network.connectionclass.sample.MainActivity$ConnectionChangedListener$Anonymous1,run/0,false,79,0,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\test\java\com\facebook\network\connectionclass\ConnectionClassTest.java,com.facebook.network.connectionclass.ConnectionClassTest$TestBandwidthStateChangeListener,getLastBandwidthState/0,false,186,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\test\java\com\facebook\network\connectionclass\ConnectionClassTest.java,com.facebook.network.connectionclass.ConnectionClassTest$TestBandwidthStateChangeListener,getNumberOfStateChanges/0,false,182,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\test\java\com\facebook\network\connectionclass\ConnectionClassTest.java,com.facebook.network.connectionclass.ConnectionClassTest$TestBandwidthStateChangeListener,onBandwidthStateChange/1[com.facebook.network.connectionclass.ConnectionQuality],false,177,1,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,12,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\test\java\com\facebook\network\connectionclass\ConnectionClassTest.java,com.facebook.network.connectionclass.ConnectionClassTest$TestBandwidthStateChangeListener,TestBandwidthStateChangeListener/0,true,172,1,2,1,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass-sample\src\main\java\com\facebook\network\connectionclass\sample\MainActivity.java,com.facebook.network.connectionclass.sample.MainActivity,onCreate/1[com.facebook.network.connectionclass.sample.Bundle],false,43,5,4,0,4,1,10,12,0,0,1,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,27,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass-sample\src\main\java\com\facebook\network\connectionclass\sample\MainActivity.java,com.facebook.network.connectionclass.sample.MainActivity,onPause/0,false,57,1,1,0,1,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass-sample\src\main\java\com\facebook\network\connectionclass\sample\MainActivity.java,com.facebook.network.connectionclass.sample.MainActivity,onResume/0,false,63,1,1,0,1,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\main\java\com\facebook\network\connectionclass\ConnectionClassManager.java,com.facebook.network.connectionclass.ConnectionClassManager$ConnectionClassStateChangeListener,onBandwidthStateChange/1[com.facebook.network.connectionclass.ConnectionQuality],false,213,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\main\java\com\facebook\network\connectionclass\DeviceBandwidthSampler.java,com.facebook.network.connectionclass.DeviceBandwidthSampler,getInstance/0,false,53,2,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\main\java\com\facebook\network\connectionclass\DeviceBandwidthSampler.java,com.facebook.network.connectionclass.DeviceBandwidthSampler,stopSampling/0,false,80,2,3,1,2,2,3,6,0,0,0,3,1,2,0,1,0,0,0,1,0,0,1,0,0,0,19,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\main\java\com\facebook\network\connectionclass\DeviceBandwidthSampler.java,com.facebook.network.connectionclass.DeviceBandwidthSampler,isSampling/0,false,117,0,1,1,0,2,1,3,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,9,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\main\java\com\facebook\network\connectionclass\DeviceBandwidthSampler.java,com.facebook.network.connectionclass.DeviceBandwidthSampler,DeviceBandwidthSampler/1[com.facebook.network.connectionclass.ConnectionClassManager],true,58,3,1,0,1,1,2,7,0,0,1,2,0,0,0,0,0,0,1,0,4,0,0,0,0,0,14,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\main\java\com\facebook\network\connectionclass\DeviceBandwidthSampler.java,com.facebook.network.connectionclass.DeviceBandwidthSampler,startSampling/0,false,69,1,2,1,1,2,3,6,0,0,0,3,0,0,0,1,0,0,0,1,1,0,1,0,0,0,11,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\main\java\com\facebook\network\connectionclass\DeviceBandwidthSampler.java,com.facebook.network.connectionclass.DeviceBandwidthSampler,addSample/0,false,91,1,3,2,1,2,3,12,0,3,0,3,0,0,0,0,0,0,0,1,5,2,2,0,0,0,27,4,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\main\java\com\facebook\network\connectionclass\DeviceBandwidthSampler.java,com.facebook.network.connectionclass.DeviceBandwidthSampler,addFinalSample/0,false,109,1,2,1,1,1,1,4,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,21,4,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\main\java\com\facebook\network\connectionclass\ExponentialGeometricAverage.java,com.facebook.network.connectionclass.ExponentialGeometricAverage,addMeasurement/1[double],false,35,0,1,1,0,3,2,15,0,3,1,2,0,0,0,0,0,1,0,4,6,11,1,0,0,0,21,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\main\java\com\facebook\network\connectionclass\ExponentialGeometricAverage.java,com.facebook.network.connectionclass.ExponentialGeometricAverage,reset/0,false,56,0,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,7,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\main\java\com\facebook\network\connectionclass\ExponentialGeometricAverage.java,com.facebook.network.connectionclass.ExponentialGeometricAverage,getAverage/0,false,49,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\main\java\com\facebook\network\connectionclass\ExponentialGeometricAverage.java,com.facebook.network.connectionclass.ExponentialGeometricAverage,ExponentialGeometricAverage/1[double],true,24,0,0,0,0,2,1,4,0,0,1,1,0,0,0,1,0,0,0,2,2,1,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\test\java\com\facebook\network\connectionclass\ConnectionClassTest.java,com.facebook.network.connectionclass.ConnectionClassTest,testStateChangeHysteresisRejectsHigh/0,false,105,2,1,0,1,1,1,3,0,0,0,1,1,2,0,0,0,1,0,4,0,3,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\test\java\com\facebook\network\connectionclass\ConnectionClassTest.java,com.facebook.network.connectionclass.ConnectionClassTest,testStateChangeHysteresisAcceptsLow/0,false,115,2,1,0,1,1,1,3,0,0,0,1,1,2,0,0,0,1,0,4,0,3,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\test\java\com\facebook\network\connectionclass\ConnectionClassTest.java,com.facebook.network.connectionclass.ConnectionClassTest,testStateChangeHysteresisAcceptsHigh/0,false,125,2,1,0,1,1,1,3,0,0,0,1,1,2,0,0,0,1,0,4,0,3,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\test\java\com\facebook\network\connectionclass\ConnectionClassTest.java,com.facebook.network.connectionclass.ConnectionClassTest,setUp/0,false,31,3,3,0,3,1,2,5,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\test\java\com\facebook\network\connectionclass\ConnectionClassTest.java,com.facebook.network.connectionclass.ConnectionClassTest,testStateChangeBroadcastDoesNotRepeatItself/0,false,86,3,3,0,3,2,4,7,0,1,0,4,0,0,1,0,0,0,0,6,1,2,1,0,0,0,11,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\test\java\com\facebook\network\connectionclass\ConnectionClassTest.java,com.facebook.network.connectionclass.ConnectionClassTest,testStateChangeBroadcastWithBroadcast/0,false,76,3,4,0,4,2,5,8,0,1,0,5,0,0,1,0,0,0,0,5,1,1,1,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\test\java\com\facebook\network\connectionclass\ConnectionClassTest.java,com.facebook.network.connectionclass.ConnectionClassTest,"bytesPerUpdate/3[double,double,long]",false,160,0,1,1,0,2,2,5,1,1,3,2,0,0,0,0,0,0,0,1,2,2,0,0,0,0,15,10,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\test\java\com\facebook\network\connectionclass\ConnectionClassTest.java,com.facebook.network.connectionclass.ConnectionClassTest,testStateChangeBroadcastNoBroadcast/0,false,68,3,2,0,2,2,3,6,0,1,0,3,0,0,1,0,0,0,0,5,1,1,1,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\test\java\com\facebook\network\connectionclass\ConnectionClassTest.java,com.facebook.network.connectionclass.ConnectionClassTest,testStateChangeHysteresisRejectsLow/0,false,95,2,1,0,1,1,1,3,0,0,0,1,1,2,0,0,0,1,0,4,0,3,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\test\java\com\facebook\network\connectionclass\ConnectionClassTest.java,com.facebook.network.connectionclass.ConnectionClassTest,TestMovingAverage/0,false,39,2,2,0,2,1,3,9,0,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\test\java\com\facebook\network\connectionclass\ConnectionClassTest.java,com.facebook.network.connectionclass.ConnectionClassTest,TestGarbageValues/0,false,51,2,2,0,2,1,3,15,0,0,0,3,0,0,0,0,0,0,0,24,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\test\java\com\facebook\network\connectionclass\ConnectionClassTest.java,com.facebook.network.connectionclass.ConnectionClassTest,"runHysteresisTest/5[double,double,com.facebook.network.connectionclass.ConnectionQuality,double,com.facebook.network.connectionclass.ConnectionQuality]",false,139,4,7,4,3,3,4,14,0,5,5,4,1,1,2,0,0,0,0,5,5,2,1,0,0,0,17,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\main\java\com\facebook\network\connectionclass\DeviceBandwidthSampler.java,com.facebook.network.connectionclass.DeviceBandwidthSampler$SamplingHandler,stopSamplingThread/0,false,150,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\main\java\com\facebook\network\connectionclass\DeviceBandwidthSampler.java,com.facebook.network.connectionclass.DeviceBandwidthSampler$SamplingHandler,SamplingHandler/1[com.facebook.network.connectionclass.Looper],true,129,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\main\java\com\facebook\network\connectionclass\DeviceBandwidthSampler.java,com.facebook.network.connectionclass.DeviceBandwidthSampler$SamplingHandler,startSamplingThread/0,false,146,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\main\java\com\facebook\network\connectionclass\DeviceBandwidthSampler.java,com.facebook.network.connectionclass.DeviceBandwidthSampler$SamplingHandler,handleMessage/1[com.facebook.network.connectionclass.Message],false,134,2,1,0,1,2,2,10,0,0,1,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,12,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass-sample\src\main\java\com\facebook\network\connectionclass\sample\MainActivity.java,com.facebook.network.connectionclass.sample.MainActivity$DownloadImage,doInBackground/1[java.lang.String[]],false,105,1,0,0,0,3,7,21,1,4,1,7,0,0,1,1,2,0,1,3,4,0,3,0,0,0,22,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass-sample\src\main\java\com\facebook\network\connectionclass\sample\MainActivity.java,com.facebook.network.connectionclass.sample.MainActivity$DownloadImage,onPreExecute/0,false,99,1,1,0,1,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass-sample\src\main\java\com\facebook\network\connectionclass\sample\MainActivity.java,com.facebook.network.connectionclass.sample.MainActivity$DownloadImage,onPostExecute/1[java.lang.Void],false,129,2,3,0,3,4,4,10,0,0,1,4,0,0,0,1,0,0,0,1,0,0,1,0,0,0,14,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass-sample\src\main\java\com\facebook\network\connectionclass\sample\MainActivity.java,com.facebook.network.connectionclass.sample.MainActivity$ConnectionChangedListener,onBandwidthStateChange/1[com.facebook.network.connectionclass.ConnectionQuality],false,75,1,1,0,1,1,1,9,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,14,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\main\java\com\facebook\network\connectionclass\ConnectionClassManager.java,com.facebook.network.connectionclass.ConnectionClassManager,register/1[com.facebook.network.connectionclass.ConnectionClassManager.ConnectionClassStateChangeListener],false,225,2,2,2,0,2,2,6,1,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,16,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\main\java\com\facebook\network\connectionclass\ConnectionClassManager.java,com.facebook.network.connectionclass.ConnectionClassManager,notifyListeners/0,false,242,1,2,1,1,2,4,6,0,2,0,4,0,0,1,0,0,0,0,1,2,0,1,0,0,0,4,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\network-connection-class\connectionclass\src\main\java\com\facebook\network\connectionclass\ConnectionClassManager.java,com.facebook.network.connectionclass.ConnectionClassManager,ConnectionClassManager/0,true,82,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
