file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\callback\BitmapCallback.java,com.zhy.http.okhttp.callback.BitmapCallback,class,3,4,1,3,1,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\utils\Platform.java,com.zhy.http.okhttp.utils.Platform,class,3,6,3,3,6,2,2,8,6,0.75,0.0,0.0,4,2,3,1,0,0,3,0,0,0,1,1,0,1,0,0,1,0,4,35,4,0,1,1,0,1,1,1,0,1,2,0,1,0,23,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\builder\HasParamsable.java,com.zhy.http.okhttp.builder.HasParamsable,interface,1,3,2,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\sample-okhttp\src\main\java\com\zhy\sample_okhttp\MyApplication.java,com.zhy.sample_okhttp.MyApplication,class,10,10,0,10,1,2,0,11,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,15,0,0,0,0,0,15,2,4,1,4,0,1,0,0,73,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\okhttputils\src\androidTest\java\com\zhy\http\okhttp\ApplicationTest.java,com.zhy.http.okhttp.ApplicationTest,class,2,2,0,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\sample-okhttp\src\main\java\com\zhy\sample_okhttp\ListUserCallback.java,com.zhy.sample_okhttp.ListUserCallback,class,4,5,1,4,1,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,2,0,2,0,0,0,0,17,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\callback\Callback.java,com.zhy.http.okhttp.callback.Callback$Anonymous1,anonymous,2,2,0,2,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\cookie\store\MemoryCookieStore.java,com.zhy.http.okhttp.cookie.store.MemoryCookieStore,class,3,3,0,3,14,1,0,12,0,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,0,50,5,3,5,0,0,0,0,11,0,10,4,0,0,0,30,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\cookie\CookieJarImpl.java,com.zhy.http.okhttp.cookie.CookieJarImpl,class,5,6,1,5,5,1,0,3,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,2,1,0,0,1,0,0,0,0,1,16,2,0,1,0,0,1,0,1,0,1,1,0,0,0,24,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\OkHttpUtils.java,com.zhy.http.okhttp.OkHttpUtils$Anonymous3,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\OkHttpUtils.java,com.zhy.http.okhttp.OkHttpUtils$Anonymous2,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\OkHttpUtils.java,com.zhy.http.okhttp.OkHttpUtils$Anonymous1,anonymous,4,4,0,4,6,1,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,1,1,0,2,0,1,1,1,2,0,0,0,20,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\request\PostFormRequest.java,com.zhy.http.okhttp.request.PostFormRequest$Anonymous1$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\builder\OkHttpRequestBuilder.java,com.zhy.http.okhttp.builder.OkHttpRequestBuilder,class,2,9,7,2,7,1,0,1,13,0.8333333,0.0,0.0,6,0,6,0,0,0,6,1,0,0,5,0,0,0,5,0,0,0,0,31,5,0,1,0,0,0,0,5,0,5,1,0,0,0,21,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\https\HttpsUtils.java,com.zhy.http.okhttp.https.HttpsUtils,class,4,7,3,4,27,1,0,25,6,0.0,NaN,NaN,4,4,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,144,9,2,5,4,0,3,2,18,0,13,4,0,4,0,51,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\https\HttpsUtils.java,com.zhy.http.okhttp.https.HttpsUtils$UnSafeHostnameVerifier,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\sample-okhttp\src\main\java\com\zhy\sample_okhttp\MyApplication.java,com.zhy.sample_okhttp.MyApplication$Anonymous1,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\builder\PostFormBuilder.java,com.zhy.http.okhttp.builder.PostFormBuilder,class,7,10,3,7,7,2,0,5,4,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,40,5,1,1,0,0,0,0,3,0,1,1,0,1,0,22,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\builder\GetBuilder.java,com.zhy.http.okhttp.builder.GetBuilder,class,7,11,4,7,10,2,1,14,6,0.0,0.0,0.0,4,0,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,32,5,1,4,0,0,0,0,7,0,4,1,0,0,0,22,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\https\HttpsUtils.java,com.zhy.http.okhttp.https.HttpsUtils$UnSafeTrustManager,innerclass,0,0,0,0,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\callback\Callback.java,com.zhy.http.okhttp.callback.Callback,class,5,23,18,5,7,1,0,1,21,0.85714287,0.0,0.0,7,0,7,0,0,0,7,3,0,0,1,1,1,0,0,0,0,0,0,24,1,0,0,0,0,0,0,1,0,1,0,1,0,0,39,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\request\RequestCall.java,com.zhy.http.okhttp.request.RequestCall,class,8,19,11,8,20,1,0,17,30,0.78571427,0.0,0.0,12,0,11,1,0,0,11,0,0,0,7,0,0,7,0,0,0,0,3,66,9,0,2,0,0,0,6,11,0,7,1,0,0,0,30,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\utils\Platform.java,com.zhy.http.okhttp.utils.Platform$Android$MainThreadExecutor,innerclass,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\sample-okhttp\src\main\java\com\zhy\sample_okhttp\MainActivity.java,com.zhy.sample_okhttp.MainActivity$MyStringCallback,innerclass,3,3,0,3,7,3,0,8,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,1,8,3,0,4,0,1,0,0,0,18,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\request\PostFileRequest.java,com.zhy.http.okhttp.request.PostFileRequest,class,8,9,1,8,7,2,0,5,4,0.5833333,0.0,0.0,4,0,1,0,3,0,4,0,0,0,3,1,0,3,0,0,0,0,1,37,4,0,3,0,0,2,0,5,0,4,1,1,0,0,39,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\cookie\store\CookieStore.java,com.zhy.http.okhttp.cookie.store.CookieStore,interface,2,7,5,2,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\cookie\store\PersistentCookieStore.java,com.zhy.http.okhttp.cookie.store.PersistentCookieStore,class,8,9,1,8,39,1,0,49,34,0.7384616,0.0,0.0,13,1,6,1,6,0,12,0,0,0,5,3,0,5,0,0,5,0,5,150,14,7,4,2,5,9,12,31,11,28,6,0,0,0,156,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\sample-okhttp\src\androidTest\java\com\zhy\sample_okhttp\ApplicationTest.java,com.zhy.sample_okhttp.ApplicationTest,class,2,2,0,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\request\PostFileRequest.java,com.zhy.http.okhttp.request.PostFileRequest$Anonymous1$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\sample-okhttp\src\main\java\com\zhy\sample_okhttp\MainActivity.java,com.zhy.sample_okhttp.MainActivity,class,25,25,0,25,18,4,0,46,59,0.8571428,0.0,0.0,14,0,12,0,2,0,14,0,0,0,5,1,0,5,0,0,1,0,12,163,3,0,0,0,1,49,6,25,6,24,1,4,1,0,95,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\callback\StringCallback.java,com.zhy.http.okhttp.callback.StringCallback,class,2,4,2,2,1,2,2,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\OkHttpUtils.java,com.zhy.http.okhttp.OkHttpUtils,class,14,22,8,14,27,1,0,15,118,0.88235295,0.0,0.0,17,10,17,0,0,0,17,0,0,0,4,2,1,3,0,0,1,0,2,127,14,2,6,0,0,0,1,8,0,6,3,3,1,0,64,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\builder\OtherRequestBuilder.java,com.zhy.http.okhttp.builder.OtherRequestBuilder,class,6,8,2,6,4,2,0,1,0,0.41666666,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,19,3,0,0,0,0,0,0,3,0,3,0,0,0,0,9,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\request\CountingRequestBody.java,com.zhy.http.okhttp.request.CountingRequestBody$CountingSink,innerclass,5,5,0,5,2,2,0,3,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,1,2,0,1,0,0,0,0,13,20,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\builder\HeadBuilder.java,com.zhy.http.okhttp.builder.HeadBuilder,class,4,5,1,4,1,3,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\log\LoggerInterceptor.java,com.zhy.http.okhttp.log.LoggerInterceptor,class,10,12,2,10,28,1,0,27,9,0.6666667,0.0,0.0,7,0,3,4,0,0,3,0,0,0,3,1,1,2,0,0,1,0,0,102,8,0,7,3,0,26,1,18,13,16,5,0,0,0,53,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\callback\FileCallBack.java,com.zhy.http.okhttp.callback.FileCallBack$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,2,0,0,0,0,0,5,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\okhttputils\okhttputils\src\main\java\com\zhy\http\okhttp\request\PostFormRequest.java,com.zhy.http.okhttp.request.PostFormRequest,class,12,14,2,12,18,2,0,21,19,0.71428573,0.0,0.0,7,0,1,3,3,0,4,0,0,0,1,0,0,1,0,0,0,0,2,71,6,3,5,1,0,5,1,12,1,10,2,1,0,0,46,1,0
