file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\openhab1-addons\bundles\binding\org.openhab.binding.modbus.test\src\test\java\org\openhab\binding\modbus\internal\ReadRegistersExtendedItemConfigurationTestCase.java,org.openhab.binding.modbus.internal.ReadRegistersExtendedItemConfigurationTestCase$Anonymous5,anonymous,3,3,0,3,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,2,0,0,0,0,1,1,0,0,9,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\openhab1-addons\bundles\binding\org.openhab.binding.digitalstrom\src\main\java\org\openhab\binding\digitalstrom\internal\client\entity\Device.java,org.openhab.binding.digitalstrom.internal.client.entity.Device,interface,4,14,10,4,38,1,0,0,703,0.0,0.0,0.0,38,0,38,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\openhab1-addons\bundles\binding\org.openhab.binding.insteonhub\src\main\java\org\openhab\binding\insteonhub\internal\hardware\api\serial\InsteonHubStdMsgFlags.java,org.openhab.binding.insteonhub.internal.hardware.api.serial.InsteonHubStdMsgFlags,class,1,3,2,1,6,1,0,1,0,0.5,0.0,0.0,6,0,6,0,0,0,6,0,0,0,4,0,0,4,0,0,4,0,4,27,5,0,0,0,0,5,0,4,1,4,0,0,0,0,26,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\openhab1-addons\bundles\binding\org.openhab.binding.modbus.test\src\test\java\org\openhab\binding\modbus\internal\ReadRegistersExtendedItemConfigurationTestCase.java,org.openhab.binding.modbus.internal.ReadRegistersExtendedItemConfigurationTestCase$Anonymous3,anonymous,3,3,0,3,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,2,0,0,0,0,1,1,0,0,9,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\openhab1-addons\bundles\binding\org.openhab.binding.denon\src\main\java\org\openhab\binding\denon\internal\communication\entities\commands\Text.java,org.openhab.binding.denon.internal.communication.entities.commands.Text,class,4,5,1,4,5,1,0,0,6,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,18,2,0,0,0,0,2,0,2,0,2,0,0,0,0,16,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\openhab1-addons\bundles\binding\org.openhab.binding.modbus.test\src\test\java\org\openhab\binding\modbus\internal\ReadRegistersExtendedItemConfigurationTestCase.java,org.openhab.binding.modbus.internal.ReadRegistersExtendedItemConfigurationTestCase$Anonymous1,anonymous,3,3,0,3,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,2,0,0,0,0,1,1,0,0,9,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\openhab1-addons\bundles\binding\org.openhab.binding.milight\src\main\java\org\openhab\binding\milight\internal\MilightGenericBindingProvider.java,org.openhab.binding.milight.internal.MilightGenericBindingProvider,class,12,13,1,12,13,2,0,10,6,0.75,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,0,0,1,1,0,1,39,2,0,1,1,1,10,9,4,3,4,3,0,0,0,93,1,2
C:\Projetos\LabExperimentacao\medicao-lab2\repos\openhab1-addons\bundles\binding\org.openhab.binding.insteonhub\src\main\java\org\openhab\binding\insteonhub\internal\InsteonHubBindingConfig.java,org.openhab.binding.insteonhub.internal.InsteonHubBindingConfig,class,4,11,7,4,20,1,0,9,15,0.79999983,0.0,0.0,10,2,9,1,0,0,9,0,0,0,14,7,7,7,0,0,14,0,6,104,9,1,8,0,0,18,2,37,3,33,2,0,1,0,74,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\openhab1-addons\bundles\binding\org.openhab.binding.modbus.test\src\test\java\org\openhab\binding\modbus\internal\ReadRegistersExtendedItemConfigurationTestCase.java,org.openhab.binding.modbus.internal.ReadRegistersExtendedItemConfigurationTestCase$Anonymous7,anonymous,3,3,0,3,3,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,0,0,3,0,0,0,0,1,2,0,0,9,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\openhab1-addons\bundles\api\org.openhab.core1\src\main\java\org\openhab\model\item\binding\AbstractGenericBindingProvider.java,org.openhab.model.item.binding.AbstractGenericBindingProvider,class,9,25,16,9,18,1,15,18,17,0.72499996,0.0,0.0,10,0,8,1,1,0,9,0,0,0,4,1,0,2,2,0,1,0,1,66,3,2,5,1,0,2,0,8,1,6,2,0,0,0,87,1025,1
