file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\orientdb\core\src\main\java\com\orientechnologies\orient\core\serialization\serializer\stream\OStreamSerializerAnyStreamable.java,com.orientechnologies.orient.core.serialization.serializer.stream.OStreamSerializerAnyStreamable,class,10,11,1,10,16,1,0,17,3,0.8333333,0.0,0.0,3,0,3,0,0,0,3,0,0,0,8,8,2,6,0,0,8,0,7,54,5,0,4,1,0,12,12,24,5,16,6,0,0,0,66,1,2
C:\Projetos\LabExperimentacao\medicao-lab2\repos\orientdb\lucene\src\main\java\com\orientechnologies\lucene\exception\OLuceneIndexException.java,com.orientechnologies.lucene.exception.OLuceneIndexException,class,1,9,8,1,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\orientdb\security\src\main\java\com\orientechnologies\security\kerberos\OKrb5LoginModuleConfig.java,com.orientechnologies.security.kerberos.OKrb5LoginModuleConfig,class,0,1,1,0,3,2,0,1,0,0.25,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,1,0,1,2,0,0,19,1,0,1,0,0,11,2,4,0,3,1,0,0,0,23,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\orientdb\core\src\main\java\com\orientechnologies\orient\core\config\OGlobalConfiguration.java,com.orientechnologies.orient.core.config.OGlobalConfiguration,enum,10,37,27,10,74,1,0,43,116,0.7916666,0.0,0.0,24,5,18,1,0,5,24,0,0,0,10,0,0,10,0,0,8,0,16,258,17,7,25,1,4,646,169,42,53,23,9,2,4,0,838,1,1
C:\Projetos\LabExperimentacao\medicao-lab2\repos\orientdb\server\src\test\java\com\orientechnologies\orient\server\query\RemoteGraphLiveQueryTest.java,com.orientechnologies.orient.server.query.RemoteGraphLiveQueryTest$Anonymous1,anonymous,3,3,0,3,5,1,0,1,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\orientdb\core\src\main\java\com\orientechnologies\orient\core\storage\index\sbtree\multivalue\v2\CellBTreeMultiValueV2Bucket.java,com.orientechnologies.orient.core.storage.index.sbtree.multivalue.v2.CellBTreeMultiValueV2Bucket$LeafEntry,innerclass,3,3,0,3,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,3,0,0,0,3,0,0,11,0,0,0,0,0,0,0,3,0,3,0,0,0,0,8,25,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\orientdb\distributed\src\main\java\com\orientechnologies\orient\server\distributed\impl\ODistributedOutput.java,com.orientechnologies.orient.server.distributed.impl.ODistributedOutput,class,13,17,4,13,101,1,0,72,55,0.0,0.0,0.0,11,11,9,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,29,433,10,25,39,0,3,145,21,108,13,97,5,7,0,1,152,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\orientdb\core\src\main\java\com\orientechnologies\orient\core\security\OSecurityComponent.java,com.orientechnologies.orient.core.security.OSecurityComponent,interface,2,6,4,2,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\orientdb\lucene\src\main\java\com\orientechnologies\lucene\collections\OLuceneResultSetEmpty.java,com.orientechnologies.lucene.collections.OLuceneResultSetEmpty,class,2,4,2,2,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\orientdb\core\src\main\java\com\orientechnologies\orient\core\sql\executor\FetchFromStorageMetadataStep.java,com.orientechnologies.orient.core.sql.executor.FetchFromStorageMetadataStep,class,10,13,3,10,14,2,0,28,21,0.92857146,0.0,0.0,7,0,4,3,0,0,4,0,0,0,2,0,0,2,0,0,0,0,2,116,6,2,3,1,0,23,1,10,2,10,3,1,0,1,70,1,1
