file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\pmd\pmd-jsp\src\test\java\net\sourceforge\pmd\lang\jsp\rule\security\NoUnsanitizedJSPExpressionTest.java,net.sourceforge.pmd.lang.jsp.rule.security.NoUnsanitizedJSPExpressionTest,class,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\pmd\pmd-java\src\test\java\net\sourceforge\pmd\lang\java\rule\performance\ConsecutiveLiteralAppendsTest.java,net.sourceforge.pmd.lang.java.rule.performance.ConsecutiveLiteralAppendsTest,class,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\pmd\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\types\internal\infer\TypeInferenceLogger.java,net.sourceforge.pmd.lang.java.types.internal.infer.TypeInferenceLogger$SimpleLogger$Anonymous1,anonymous,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\pmd\pmd-visualforce\src\test\java\net\sourceforge\pmd\lang\vf\rule\security\VfHtmlStyleTagXssTest.java,net.sourceforge.pmd.lang.vf.rule.security.VfHtmlStyleTagXssTest,class,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\pmd\pmd-scala-modules\pmd-scala-common\src\main\java\net\sourceforge\pmd\lang\scala\ast\ASTDefnTrait.java,net.sourceforge.pmd.lang.scala.ast.ASTDefnTrait,class,6,8,2,6,2,3,0,1,1,0.0,0.0,0.0,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\pmd\pmd-core\src\main\java\net\sourceforge\pmd\renderers\internal\sarif\SarifLog.java,net.sourceforge.pmd.renderers.internal.sarif.SarifLog$ArtifactLocation$ArtifactLocationBuilder,innerclass,2,2,0,2,6,1,0,0,1,0.5,0.0,0.0,6,0,5,0,0,1,6,0,0,0,3,0,0,3,0,0,0,0,0,25,5,0,0,0,0,14,0,3,1,3,0,0,0,0,40,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\pmd\pmd-java\src\test\java\net\sourceforge\pmd\lang\java\types\internal\infer\BaseTypeInferenceUnitTest.java,net.sourceforge.pmd.lang.java.types.internal.infer.BaseTypeInferenceUnitTest,class,19,22,3,19,18,1,1,27,49,0.71428573,0.0,0.0,14,4,0,0,6,8,14,0,0,0,2,0,0,0,2,0,2,0,2,146,12,3,0,0,0,0,0,7,0,7,2,2,1,0,91,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\pmd\pmd-core\src\main\java\net\sourceforge\pmd\PmdAnalysis.java,net.sourceforge.pmd.PmdAnalysis,class,40,48,8,40,63,1,0,113,191,0.8395062,0.0,0.0,27,4,16,5,0,6,22,0,0,0,9,1,0,9,0,0,8,0,31,259,17,11,4,10,1,26,2,43,5,42,5,0,0,0,264,17,4
C:\Projetos\LabExperimentacao\medicao-lab2\repos\pmd\pmd-html\src\main\java\net\sourceforge\pmd\lang\html\ast\ASTHtmlXmlDeclaration.java,net.sourceforge.pmd.lang.html.ast.ASTHtmlXmlDeclaration,class,6,9,3,6,3,3,0,2,3,0.0,0.0,0.0,3,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\pmd\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\types\Substitution.java,net.sourceforge.pmd.lang.java.types.Substitution,class,5,47,42,5,12,2,0,15,15,0.5714286,0.0,0.0,7,3,6,0,0,1,7,0,0,0,1,1,1,0,0,0,1,0,1,41,9,1,1,0,1,3,0,3,0,3,1,0,0,0,113,17,0
