file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\powermock\tests\mockito\junit4\src\test\java\samples\powermockito\junit4\whennew\VerifyNewWithoutWhenNewTest.java,samples.powermockito.junit4.whennew.VerifyNewWithoutWhenNewTest,class,6,6,0,6,4,1,0,7,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,2,0,10,0,2,2,2,1,0,0,0,42,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\powermock\tests\easymock\junit4\src\test\java\samples\junit4\servletmocking\SampleServletTest.java,samples.junit4.servletmocking.SampleServletTest,class,6,6,0,6,1,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,3,0,3,0,0,0,0,18,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\powermock\powermock-core\src\main\java\org\powermock\core\transformers\javassist\support\PowerMockExpressionEditor.java,org.powermock.core.transformers.javassist.support.PowerMockExpressionEditor,class,15,17,2,15,22,2,0,34,9,0.61111116,0.0,0.0,6,0,5,1,0,0,5,0,0,0,3,0,0,3,0,0,3,0,5,114,1,0,2,7,0,53,2,17,4,17,4,0,0,0,101,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\powermock\powermock-core\src\test\java\org\powermock\core\transformers\StaticMethodsMockTransformerTest.java,org.powermock.core.transformers.StaticMethodsMockTransformerTest,class,14,14,0,14,4,2,0,18,6,0.0,0.0,0.0,4,1,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,25,1,0,0,0,0,16,2,4,0,4,0,0,0,0,50,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\powermock\powermock-api\powermock-api-mockito2\src\main\java\org\powermock\api\mockito\internal\mockcreation\AbstractMockCreator.java,org.powermock.api.mockito.internal.mockcreation.AbstractMockCreator,class,6,8,2,6,2,1,1,3,1,0.5,NaN,NaN,2,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,14,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\powermock\tests\mockito\junit4\src\test\java\samples\powermockito\junit4\whennew\DoesntSupportCreatingMocksInFieldsWhenNewDefect.java,samples.powermockito.junit4.whennew.DoesntSupportCreatingMocksInFieldsWhenNewDefect,class,6,6,0,6,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,29,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\powermock\powermock-classloading\powermock-classloading-base\src\main\java\org\powermock\classloading\SingleClassloaderExecutor.java,org.powermock.classloading.SingleClassloaderExecutor,class,2,5,3,2,2,2,0,1,0,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,12,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\powermock\tests\easymock\junit4\src\test\java\samples\junit4\annotationbased\FinalDemoWithAnnotationInjectionTest.java,samples.junit4.annotationbased.FinalDemoWithAnnotationInjectionTest,class,6,6,0,6,4,1,0,9,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,33,0,0,0,2,0,16,0,4,0,5,1,0,0,0,35,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\powermock\tests\utils\src\main\java\samples\servletmocking\SampleServlet.java,samples.servletmocking.SampleServlet,class,3,3,0,3,1,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\powermock\tests\utils\src\main\java\samples\suppressconstructor\SuppressConstructorHeirarchyEvilGrandParent.java,samples.suppressconstructor.SuppressConstructorHeirarchyEvilGrandParent,class,0,1,1,0,1,1,1,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,1,0
