file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\react-native-image-picker\example\android\app\src\main\java\com\example\MainApplication.java,com.example.MainApplication$Anonymous1,anonymous,2,2,0,2,5,1,0,1,10,0.0,0.0,0.0,5,0,1,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,18,5,0,0,0,0,2,0,1,0,1,0,0,0,0,19,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\react-native-image-picker\example\android\app\src\debug\java\com\example\ReactNativeFlipper.java,com.example.ReactNativeFlipper,class,10,11,1,10,3,1,0,8,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,1,0,0,0,0,3,0,3,2,2,0,0,39,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\react-native-image-picker\example\android\app\src\main\java\com\example\MainApplication.java,com.example.MainApplication,class,6,7,1,6,3,2,0,6,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,32,1,0,0,0,0,0,0,1,0,1,1,1,0,0,10,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\react-native-image-picker\android\src\main\java\com\imagepicker\Metadata.java,com.imagepicker.Metadata,class,1,3,2,1,6,1,2,4,6,0.9166667,0.0,0.0,4,0,3,0,1,0,4,3,0,0,3,0,0,0,3,0,0,0,0,22,3,0,1,1,0,3,0,2,1,5,2,0,0,0,31,1024,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\react-native-image-picker\android\src\main\java\com\imagepicker\ImagePickerPackage.java,com.imagepicker.ImagePickerPackage,class,9,9,0,9,3,2,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0,0,0,0,0,0,2,0,2,1,0,0,1,17,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\react-native-image-picker\android\src\main\java\com\imagepicker\VideoMetadata.java,com.imagepicker.VideoMetadata,class,7,9,2,7,13,2,0,20,17,0.71428573,0.0,0.0,7,0,6,1,0,0,6,0,0,0,2,0,0,2,0,0,0,0,3,55,7,0,4,2,0,9,2,13,2,10,1,0,0,0,49,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\react-native-image-picker\android\src\main\java\com\imagepicker\ImagePickerProvider.java,com.imagepicker.ImagePickerProvider,class,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\react-native-image-picker\android\src\oldarch\java\com\imagepicker\ImagePickerModule.java,ImagePickerModule,class,5,5,0,5,4,1,0,2,0,0.25,0.0,0.0,4,0,3,0,0,1,4,0,0,0,1,0,0,0,0,1,1,0,0,16,1,0,0,0,0,0,0,1,0,1,0,0,0,0,20,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\react-native-image-picker\android\src\main\java\com\imagepicker\Utils.java,com.imagepicker.Utils,class,22,24,2,22,85,1,0,94,496,0.99553573,0.0,0.0,32,32,10,0,0,22,32,0,0,0,7,7,7,0,0,0,0,0,39,356,51,4,16,8,7,53,26,71,6,61,3,0,0,0,164,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\react-native-image-picker\example\android\app\src\debug\java\com\example\ReactNativeFlipper.java,com.example.ReactNativeFlipper$Anonymous2,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\react-native-image-picker\example\android\app\src\release\java\com\example\ReactNativeFlipper.java,ReactNativeFlipper,class,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\react-native-image-picker\android\src\main\java\com\imagepicker\ImageMetadata.java,com.imagepicker.ImageMetadata,class,4,5,1,4,6,2,0,6,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,22,3,0,1,1,0,3,2,4,1,3,2,0,0,0,29,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\react-native-image-picker\example\android\app\src\debug\java\com\example\ReactNativeFlipper.java,com.example.ReactNativeFlipper$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\react-native-image-picker\example\android\app\src\main\java\com\example\MainActivity.java,com.example.MainActivity,class,4,5,1,4,2,2,0,3,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,40,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\react-native-image-picker\android\src\newarch\java\com\imagepicker\ImagePickerModule.java,com.imagepicker.ImagePickerModule,class,6,7,1,6,4,2,0,2,0,0.25,0.0,0.0,4,0,3,0,0,1,4,0,0,0,1,0,0,0,0,1,1,0,0,16,1,0,0,0,0,0,0,1,0,1,0,0,0,0,20,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\react-native-image-picker\android\src\main\java\com\imagepicker\ImagePickerModuleImpl.java,com.imagepicker.ImagePickerModuleImpl,class,10,12,2,10,41,1,0,28,0,0.57407403,0.0,0.0,6,0,5,0,0,1,6,0,0,0,9,4,3,2,0,4,4,0,26,175,7,0,8,4,2,12,7,34,0,21,4,0,0,0,99,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\react-native-image-picker\android\src\main\java\com\imagepicker\Options.java,com.imagepicker.Options,class,1,3,2,1,4,1,0,8,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,11,0,0,0,0,11,0,0,0,31,0,0,0,0,1,13,3,14,1,12,1,0,0,0,28,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\react-native-image-picker\example\android\app\src\debug\java\com\example\ReactNativeFlipper.java,com.example.ReactNativeFlipper$Anonymous2$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
