file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\react-native-svg\android\src\paper\java\com\facebook\react\viewmanagers\RNSVGLineManagerDelegate.java,com.facebook.react.viewmanagers.RNSVGLineManagerDelegate,"setProperty/3[T,java.lang.String,java.lang.Object]",false,24,4,0,0,0,59,32,133,0,0,3,32,0,0,0,19,0,10,30,10,0,0,2,0,0,0,15,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\react-native-svg\android\src\paper\java\com\facebook\react\viewmanagers\RNSVGLineManagerDelegate.java,com.facebook.react.viewmanagers.RNSVGLineManagerDelegate,RNSVGLineManagerDelegate/1[U],true,20,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\react-native-svg\android\src\main\java\com\horcrux\svg\RenderableViewManager.java,com.horcrux.svg.RenderableViewManager$GroupViewManagerAbstract,"setFontSize/2[U,com.horcrux.svg.Dynamic]",false,679,5,1,0,1,3,6,14,1,1,2,6,0,0,0,0,0,0,3,0,1,0,1,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\react-native-svg\android\src\main\java\com\horcrux\svg\RenderableViewManager.java,com.horcrux.svg.RenderableViewManager$GroupViewManagerAbstract,"setFont/2[U,com.horcrux.svg.ReadableMap]",false,674,5,1,0,1,1,1,3,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\react-native-svg\android\src\main\java\com\horcrux\svg\RenderableViewManager.java,com.horcrux.svg.RenderableViewManager$GroupViewManagerAbstract,"setFontWeight/2[U,java.lang.String]",false,722,4,1,0,1,1,2,5,0,1,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\react-native-svg\android\src\main\java\com\horcrux\svg\RenderableViewManager.java,com.horcrux.svg.RenderableViewManager$GroupViewManagerAbstract,"setFontWeight/2[U,java.lang.Double]",false,728,4,1,0,1,1,2,5,0,1,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\react-native-svg\android\src\main\java\com\horcrux\svg\RenderableViewManager.java,com.horcrux.svg.RenderableViewManager$GroupViewManagerAbstract,"setFontSize/2[U,java.lang.String]",false,694,4,1,0,1,1,2,5,0,1,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\react-native-svg\android\src\main\java\com\horcrux\svg\RenderableViewManager.java,com.horcrux.svg.RenderableViewManager$GroupViewManagerAbstract,GroupViewManagerAbstract/1[com.horcrux.svg.VirtualViewManager.SVGClass],true,669,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\react-native-svg\android\src\main\java\com\horcrux\svg\RenderableViewManager.java,com.horcrux.svg.RenderableViewManager$GroupViewManagerAbstract,"setFontSize/2[U,java.lang.Double]",false,700,4,1,0,1,1,2,5,0,1,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\react-native-svg\android\src\main\java\com\horcrux\svg\RenderableViewManager.java,com.horcrux.svg.RenderableViewManager$GroupViewManagerAbstract,"setFontWeight/2[U,com.horcrux.svg.Dynamic]",false,707,5,1,0,1,3,6,14,1,1,2,6,0,0,0,0,0,0,3,0,1,0,1,0,0,0,10,1,0,false
