file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\reactive-streams-jvm\tck\src\test\java\org\reactivestreams\tck\SubscriberWhiteboxVerificationTest.java,org.reactivestreams.tck.SubscriberWhiteboxVerificationTest$Anonymous69,publisherExecutorService/0,false,659,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\reactive-streams-jvm\tck\src\test\java\org\reactivestreams\tck\SubscriberWhiteboxVerificationTest.java,org.reactivestreams.tck.SubscriberWhiteboxVerificationTest$Anonymous69,createElement/1[int],false,657,0,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\reactive-streams-jvm\tck\src\test\java\org\reactivestreams\tck\SubscriberWhiteboxVerificationTest.java,org.reactivestreams.tck.SubscriberWhiteboxVerificationTest$Anonymous69,createSubscriber/1[org.reactivestreams.tck.SubscriberWhiteboxVerification.WhiteboxSubscriberProbe<java.lang.Integer>],false,649,3,2,0,2,2,1,8,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\reactive-streams-jvm\tck\src\test\java\org\reactivestreams\tck\SubscriberWhiteboxVerificationTest.java,org.reactivestreams.tck.SubscriberWhiteboxVerificationTest$Anonymous66,createSubscriber/1[org.reactivestreams.tck.SubscriberWhiteboxVerification.WhiteboxSubscriberProbe<java.lang.Integer>],false,609,3,2,0,2,1,0,25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\reactive-streams-jvm\tck\src\test\java\org\reactivestreams\tck\SubscriberWhiteboxVerificationTest.java,org.reactivestreams.tck.SubscriberWhiteboxVerificationTest$Anonymous66,publisherExecutorService/0,false,639,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\reactive-streams-jvm\tck\src\test\java\org\reactivestreams\tck\SubscriberWhiteboxVerificationTest.java,org.reactivestreams.tck.SubscriberWhiteboxVerificationTest$Anonymous66,createElement/1[int],false,637,0,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\reactive-streams-jvm\api\src\main\java9\org\reactivestreams\FlowAdapters.java,org.reactivestreams.FlowAdapters$FlowPublisherFromReactive,subscribe/1[java.util.concurrent.Flow.Subscriber<? super T>],false,365,3,2,0,2,2,1,3,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\reactive-streams-jvm\api\src\main\java9\org\reactivestreams\FlowAdapters.java,org.reactivestreams.FlowAdapters$FlowPublisherFromReactive,FlowPublisherFromReactive/1[org.reactivestreams.Publisher<? extends T>],true,360,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\reactive-streams-jvm\examples\src\test\java\org\reactivestreams\example\unicast\SyncSubscriberWhiteboxTest.java,org.reactivestreams.example.unicast.SyncSubscriberWhiteboxTest$Anonymous1,onNext/1[java.lang.Integer],false,51,1,4,0,4,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\reactive-streams-jvm\examples\src\test\java\org\reactivestreams\example\unicast\SyncSubscriberWhiteboxTest.java,org.reactivestreams.example.unicast.SyncSubscriberWhiteboxTest$Anonymous1,onSubscribe/1[org.reactivestreams.Subscription],false,34,3,16,0,16,1,2,12,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,1,0,false
