file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\requery\requery\src\main\java\io\requery\meta\BaseAttribute.java,io.requery.meta.BaseAttribute,class,21,24,3,21,48,2,0,43,805,0.94817257,0.0,0.0,43,0,41,0,0,2,43,0,0,0,35,0,0,0,0,35,0,0,5,202,41,0,4,0,0,1,0,36,1,36,1,0,0,0,85,1024,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\requery\requery\src\main\java\io\requery\sql\type\BinaryType.java,io.requery.sql.type.BinaryType,class,3,4,1,3,4,3,0,1,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\requery\requery\src\main\java\io\requery\sql\platform\PostgresSQL.java,io.requery.sql.platform.PostgresSQL$UUIDType,innerclass,1,1,0,1,3,2,0,1,3,0.0,0.0,0.0,3,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,14,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\requery\requery\src\main\java\io\requery\meta\NumericAttribute.java,io.requery.meta.NumericAttribute,interface,4,6,2,4,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\requery\requery\src\main\java\io\requery\query\JoinAndOr.java,io.requery.query.JoinAndOr,interface,4,8,4,4,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\requery\requery\src\main\java\io\requery\sql\GeneratedResultReader.java,io.requery.sql.GeneratedResultReader,interface,0,6,6,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\requery\requery\src\main\java\io\requery\sql\PreparedStatementCache.java,io.requery.sql.PreparedStatementCache,class,3,8,5,3,15,3,0,8,0,0.3,0.0,0.0,5,0,3,1,0,1,4,0,0,0,2,0,0,2,0,0,1,0,0,85,6,1,1,1,1,0,1,5,0,4,3,1,1,0,39,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\requery\requery-test\src\test\java\io\requery\test\DatabaseType.java,io.requery.test.DatabaseType$Anonymous5,anonymous,1,1,0,1,1,1,0,5,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,5,0,1,0,1,0,0,0,0,5,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\requery\requery-test\src\test\java\io\requery\test\DatabaseType.java,io.requery.test.DatabaseType$Anonymous4,anonymous,2,2,0,2,1,1,0,4,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,2,0,2,0,2,0,0,0,0,11,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\requery\requery-test\src\test\java\io\requery\test\DatabaseType.java,io.requery.test.DatabaseType$Anonymous3,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,3,0,1,0,1,0,0,0,0,8,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\requery\requery-test\src\test\java\io\requery\test\DatabaseType.java,io.requery.test.DatabaseType$Anonymous2,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,3,0,1,0,1,0,0,0,0,5,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\requery\requery-test\src\test\java\io\requery\test\DatabaseType.java,io.requery.test.DatabaseType$Anonymous1,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,2,0,1,0,1,0,0,0,0,7,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\requery\requery\src\main\java\io\requery\sql\QueryBuilder.java,io.requery.sql.QueryBuilder$Options,innerclass,1,1,0,1,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,6,0,0,6,0,0,6,0,0,19,0,0,0,0,0,2,0,7,0,6,1,0,0,0,12,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\requery\requery\example-springboot\src\main\java\io\requery\example\springboot\DatabaseConfiguration.java,io.requery.example.springboot.DatabaseConfiguration,class,11,11,0,11,2,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,17,2,0,0,0,0,0,0,3,0,3,0,1,0,0,20,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\requery\requery\src\main\java\io\requery\query\function\Function.java,io.requery.query.function.Function$ArgumentExpression,innerclass,3,3,0,3,5,1,0,0,8,0.6,0.0,0.0,5,0,4,0,0,1,5,0,0,0,1,0,0,1,0,0,1,0,0,18,4,0,0,0,0,1,0,1,0,1,0,0,0,0,9,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\requery\requery\src\main\java\io\requery\sql\EntityContext.java,io.requery.sql.EntityContext,interface,7,12,5,7,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\requery\requery\src\main\java\io\requery\sql\platform\PostgresSQL.java,io.requery.sql.platform.PostgresSQL,class,15,16,1,15,8,5,0,5,24,0.75,0.0,0.0,8,0,8,0,0,0,8,0,0,0,2,0,0,2,0,0,2,0,0,116,6,0,0,0,0,0,0,2,0,2,0,0,6,0,47,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\requery\requery\src\main\java\io\requery\util\ObservableList.java,io.requery.util.ObservableList,class,8,10,2,8,44,1,0,27,0,0.39999998,0.0,0.0,25,0,25,0,0,0,25,0,0,0,2,0,0,2,0,0,2,0,2,130,22,4,8,0,0,2,0,14,0,12,2,0,0,0,38,1,0
