file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\rest-assured\modules\spring-web-test-client\src\main\java\io\restassured\module\webtestclient\internal\WebTestClientRequestSenderImpl.java,io.restassured.module.webtestclient.internal.WebTestClientRequestSenderImpl,setContentTypeToApplicationFormUrlEncoded/0,false,586,3,6,2,4,1,5,6,0,2,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,15,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\rest-assured\modules\spring-web-test-client\src\main\java\io\restassured\module\webtestclient\internal\WebTestClientRequestSenderImpl.java,io.restassured.module.webtestclient.internal.WebTestClientRequestSenderImpl,post/0,false,324,2,1,0,1,1,1,3,1,0,0,1,1,10,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\rest-assured\modules\spring-web-test-client\src\main\java\io\restassured\module\webtestclient\internal\WebTestClientRequestSenderImpl.java,io.restassured.module.webtestclient.internal.WebTestClientRequestSenderImpl,"addRequestElements/3[io.restassured.module.webtestclient.internal.HttpMethod,java.lang.String,WebTestClient.RequestBodySpec]",false,409,6,11,2,9,2,16,11,0,2,3,16,4,2,0,0,0,0,0,0,0,0,1,0,0,2,24,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\rest-assured\modules\spring-web-test-client\src\main\java\io\restassured\module\webtestclient\internal\WebTestClientRequestSenderImpl.java,io.restassured.module.webtestclient.internal.WebTestClientRequestSenderImpl,"put/2[java.lang.String,java.util.Map<java.lang.String,?>]",false,204,3,2,0,2,1,2,3,1,0,2,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\rest-assured\modules\spring-web-test-client\src\main\java\io\restassured\module\webtestclient\internal\WebTestClientRequestSenderImpl.java,io.restassured.module.webtestclient.internal.WebTestClientRequestSenderImpl,getRpr/0,false,625,3,2,1,1,2,1,6,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\rest-assured\modules\spring-web-test-client\src\main\java\io\restassured\module\webtestclient\internal\WebTestClientRequestSenderImpl.java,io.restassured.module.webtestclient.internal.WebTestClientRequestSenderImpl,get/1[java.net.URL],false,284,2,1,0,1,1,2,3,1,0,1,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\rest-assured\modules\spring-web-test-client\src\main\java\io\restassured\module\webtestclient\internal\WebTestClientRequestSenderImpl.java,io.restassured.module.webtestclient.internal.WebTestClientRequestSenderImpl,consumeWith/1[java.util.function.Consumer<io.restassured.module.webtestclient.internal.EntityExchangeResult<byte[]>>],false,178,3,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\rest-assured\modules\spring-web-test-client\src\main\java\io\restassured\module\webtestclient\internal\WebTestClientRequestSenderImpl.java,io.restassured.module.webtestclient.internal.WebTestClientRequestSenderImpl,options/0,false,349,2,1,0,1,1,1,3,1,0,0,1,1,10,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\rest-assured\modules\spring-web-test-client\src\main\java\io\restassured\module\webtestclient\internal\WebTestClientRequestSenderImpl.java,io.restassured.module.webtestclient.internal.WebTestClientRequestSenderImpl,"buildFromUriFunction/2[io.restassured.module.webtestclient.internal.HttpMethod,java.util.function.Function<io.restassured.module.webtestclient.internal.UriBuilder,java.net.URI>]",false,602,3,1,1,0,1,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\rest-assured\modules\spring-web-test-client\src\main\java\io\restassured\module\webtestclient\internal\WebTestClientRequestSenderImpl.java,io.restassured.module.webtestclient.internal.WebTestClientRequestSenderImpl,head/0,false,339,2,1,0,1,1,1,3,1,0,0,1,1,10,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\rest-assured\modules\spring-web-test-client\src\main\java\io\restassured\module\webtestclient\internal\WebTestClientRequestSenderImpl.java,io.restassured.module.webtestclient.internal.WebTestClientRequestSenderImpl,"addMultipartToReqSpec/2[io.restassured.module.webtestclient.internal.RequestSpecification,io.restassured.module.webtestclient.internal.MultiPartInternal]",false,525,3,2,0,2,1,9,3,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\rest-assured\modules\spring-web-test-client\src\main\java\io\restassured\module\webtestclient\internal\WebTestClientRequestSenderImpl.java,io.restassured.module.webtestclient.internal.WebTestClientRequestSenderImpl,isMultipartRequest/0,false,582,0,2,2,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\rest-assured\modules\spring-web-test-client\src\main\java\io\restassured\module\webtestclient\internal\WebTestClientRequestSenderImpl.java,io.restassured.module.webtestclient.internal.WebTestClientRequestSenderImpl,"request/2[io.restassured.http.Method,java.net.URL]",false,379,3,1,0,1,1,3,3,1,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\rest-assured\modules\spring-web-test-client\src\main\java\io\restassured\module\webtestclient\internal\WebTestClientRequestSenderImpl.java,io.restassured.module.webtestclient.internal.WebTestClientRequestSenderImpl,applyAttributes/1[WebTestClient.RequestBodySpec],false,514,2,3,1,2,2,2,10,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\rest-assured\modules\spring-web-test-client\src\main\java\io\restassured\module\webtestclient\internal\WebTestClientRequestSenderImpl.java,io.restassured.module.webtestclient.internal.WebTestClientRequestSenderImpl,put/0,false,329,2,1,0,1,1,1,3,1,0,0,1,1,10,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\rest-assured\modules\spring-web-test-client\src\main\java\io\restassured\module\webtestclient\internal\WebTestClientRequestSenderImpl.java,io.restassured.module.webtestclient.internal.WebTestClientRequestSenderImpl,"request/2[java.lang.String,java.util.function.Function<io.restassured.module.webtestclient.internal.UriBuilder,java.net.URI>]",false,136,3,4,2,2,1,2,3,1,0,2,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,false
