file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\end-to-end-tests\src\test\java\net\orfjackal\retrolambda\test\DefaultMethodsTest.java,net.orfjackal.retrolambda.test.DefaultMethodsTest$5C,callSuper/0,false,364,0,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\end-to-end-tests\src\test\java\net\orfjackal\retrolambda\test\DefaultMethodsTest.java,net.orfjackal.retrolambda.test.DefaultMethodsTest$5C,siblingCallingSuper/0,false,368,0,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\retrolambda\src\main\java\net\orfjackal\retrolambda\files\OutputDirectory.java,net.orfjackal.retrolambda.files.OutputDirectory,"writeClass/2[byte[],boolean]",false,21,4,4,2,2,2,5,8,1,2,2,5,1,1,0,1,0,0,1,0,2,1,1,0,0,0,16,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\retrolambda\src\main\java\net\orfjackal\retrolambda\files\OutputDirectory.java,net.orfjackal.retrolambda.files.OutputDirectory,OutputDirectory/1[java.nio.file.Path],true,17,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\retrolambda\src\main\java\net\orfjackal\retrolambda\files\OutputDirectory.java,net.orfjackal.retrolambda.files.OutputDirectory,"writeFile/2[java.nio.file.Path,byte[]]",false,30,1,2,2,0,1,4,5,0,1,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\retrolambda\src\test\java\net\orfjackal\retrolambda\ClassAnalyzerTest.java,net.orfjackal.retrolambda.ClassAnalyzerTest$SuperOriginal,foo/0,false,279,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65536,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\end-to-end-tests\src\test\java\net\orfjackal\retrolambda\test\DefaultMethodsTest.java,net.orfjackal.retrolambda.test.DefaultMethodsTest$Voids,run/0,false,331,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,65536,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\retrolambda\src\main\java\net\orfjackal\retrolambda\fs\FakeFileSystemProvider.java,net.orfjackal.retrolambda.fs.FakeFileSystemProvider,"isSameFile/2[java.nio.file.Path,java.nio.file.Path]",false,68,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\retrolambda\src\main\java\net\orfjackal\retrolambda\fs\FakeFileSystemProvider.java,net.orfjackal.retrolambda.fs.FakeFileSystemProvider,"checkAccess/2[java.nio.file.Path,java.nio.file.AccessMode[]]",false,83,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\retrolambda\src\main\java\net\orfjackal\retrolambda\fs\FakeFileSystemProvider.java,net.orfjackal.retrolambda.fs.FakeFileSystemProvider,"getFileAttributeView/3[java.nio.file.Path,java.lang.Class<V>,java.nio.file.LinkOption[]]",false,88,1,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\retrolambda\src\main\java\net\orfjackal\retrolambda\fs\FakeFileSystemProvider.java,net.orfjackal.retrolambda.fs.FakeFileSystemProvider,"createDirectory/2[java.nio.file.Path,java.nio.file.attribute.FileAttribute<?>[]]",false,48,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\retrolambda\src\main\java\net\orfjackal\retrolambda\fs\FakeFileSystemProvider.java,net.orfjackal.retrolambda.fs.FakeFileSystemProvider,"move/3[java.nio.file.Path,java.nio.file.Path,java.nio.file.CopyOption[]]",false,63,0,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\retrolambda\src\main\java\net\orfjackal\retrolambda\fs\FakeFileSystemProvider.java,net.orfjackal.retrolambda.fs.FakeFileSystemProvider,getPath/1[java.net.URI],false,33,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\retrolambda\src\main\java\net\orfjackal\retrolambda\fs\FakeFileSystemProvider.java,net.orfjackal.retrolambda.fs.FakeFileSystemProvider,getFileSystem/1[java.net.URI],false,28,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\retrolambda\src\main\java\net\orfjackal\retrolambda\fs\FakeFileSystemProvider.java,net.orfjackal.retrolambda.fs.FakeFileSystemProvider,"copy/3[java.nio.file.Path,java.nio.file.Path,java.nio.file.CopyOption[]]",false,58,0,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\retrolambda\src\main\java\net\orfjackal\retrolambda\fs\FakeFileSystemProvider.java,net.orfjackal.retrolambda.fs.FakeFileSystemProvider,"setAttribute/4[java.nio.file.Path,java.lang.String,java.lang.Object,java.nio.file.LinkOption[]]",false,103,0,0,0,0,1,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\retrolambda\src\main\java\net\orfjackal\retrolambda\fs\FakeFileSystemProvider.java,net.orfjackal.retrolambda.fs.FakeFileSystemProvider,delete/1[java.nio.file.Path],false,53,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\retrolambda\src\main\java\net\orfjackal\retrolambda\fs\FakeFileSystemProvider.java,net.orfjackal.retrolambda.fs.FakeFileSystemProvider,"readAttributes/3[java.nio.file.Path,java.lang.String,java.nio.file.LinkOption[]]",false,98,0,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\retrolambda\src\main\java\net\orfjackal\retrolambda\fs\FakeFileSystemProvider.java,net.orfjackal.retrolambda.fs.FakeFileSystemProvider,"newDirectoryStream/2[java.nio.file.Path,java.nio.file.DirectoryStream.Filter<? super java.nio.file.Path>]",false,43,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\retrolambda\src\main\java\net\orfjackal\retrolambda\fs\FakeFileSystemProvider.java,net.orfjackal.retrolambda.fs.FakeFileSystemProvider,"newByteChannel/3[java.nio.file.Path,java.util.Set<? extends java.nio.file.OpenOption>,java.nio.file.attribute.FileAttribute<?>[]]",false,38,0,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\retrolambda\src\main\java\net\orfjackal\retrolambda\fs\FakeFileSystemProvider.java,net.orfjackal.retrolambda.fs.FakeFileSystemProvider,getFileStore/1[java.nio.file.Path],false,78,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\retrolambda\src\main\java\net\orfjackal\retrolambda\fs\FakeFileSystemProvider.java,net.orfjackal.retrolambda.fs.FakeFileSystemProvider,"newFileSystem/2[java.net.URI,java.util.Map<java.lang.String,?>]",false,23,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\retrolambda\src\main\java\net\orfjackal\retrolambda\fs\FakeFileSystemProvider.java,net.orfjackal.retrolambda.fs.FakeFileSystemProvider,getScheme/0,false,18,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\retrolambda\src\main\java\net\orfjackal\retrolambda\fs\FakeFileSystemProvider.java,net.orfjackal.retrolambda.fs.FakeFileSystemProvider,"readAttributes/3[java.nio.file.Path,java.lang.Class<A>,java.nio.file.LinkOption[]]",false,93,1,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\retrolambda\src\main\java\net\orfjackal\retrolambda\fs\FakeFileSystemProvider.java,net.orfjackal.retrolambda.fs.FakeFileSystemProvider,isHidden/1[java.nio.file.Path],false,73,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\retrolambda\src\main\java\net\orfjackal\retrolambda\lambdas\BackportLambdaInvocations.java,net.orfjackal.retrolambda.lambdas.BackportLambdaInvocations,"BackportLambdaInvocations/2[net.orfjackal.retrolambda.interfaces.ClassVisitor,net.orfjackal.retrolambda.ClassAnalyzer]",true,28,2,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\retrolambda\src\main\java\net\orfjackal\retrolambda\lambdas\BackportLambdaInvocations.java,net.orfjackal.retrolambda.lambdas.BackportLambdaInvocations,"visitSource/2[java.lang.String,java.lang.String]",false,42,0,0,0,0,1,1,4,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\retrolambda\src\main\java\net\orfjackal\retrolambda\lambdas\BackportLambdaInvocations.java,net.orfjackal.retrolambda.lambdas.BackportLambdaInvocations,isNonOwnedMethodVisible/1[net.orfjackal.retrolambda.interfaces.Handle],false,126,5,5,1,4,4,8,13,3,2,1,8,1,1,1,1,0,1,0,1,2,0,2,0,0,0,25,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\retrolambda\src\main\java\net\orfjackal\retrolambda\lambdas\BackportLambdaInvocations.java,net.orfjackal.retrolambda.lambdas.BackportLambdaInvocations,visitEnd/0,false,164,2,1,0,1,2,5,8,0,2,0,5,0,0,1,0,0,0,0,0,2,0,1,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\retrolambda\src\main\java\net\orfjackal\retrolambda\lambdas\BackportLambdaInvocations.java,net.orfjackal.retrolambda.lambdas.BackportLambdaInvocations,"visitMethod/5[int,java.lang.String,java.lang.String,java.lang.String,java.lang.String[]]",false,60,5,6,0,6,5,7,15,2,0,5,7,0,0,0,0,0,0,0,0,3,0,3,0,0,0,19,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\retrolambda\src\main\java\net\orfjackal\retrolambda\lambdas\BackportLambdaInvocations.java,net.orfjackal.retrolambda.lambdas.BackportLambdaInvocations,getPackage/1[java.lang.String],false,143,0,1,1,0,2,2,4,1,1,1,2,0,0,0,1,0,0,1,2,1,0,0,0,0,0,6,10,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\retrolambda\src\main\java\net\orfjackal\retrolambda\lambdas\BackportLambdaInvocations.java,net.orfjackal.retrolambda.lambdas.BackportLambdaInvocations,getLambdaAccessMethod/1[net.orfjackal.retrolambda.interfaces.Handle],false,82,6,7,1,6,7,14,27,6,4,1,14,3,2,0,1,0,0,1,0,4,1,3,0,0,0,30,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\retrolambda\src\main\java\net\orfjackal\retrolambda\lambdas\BackportLambdaInvocations.java,net.orfjackal.retrolambda.lambdas.BackportLambdaInvocations,resetLambdaClassSequenceNumber/0,false,47,0,1,1,0,2,6,11,0,2,0,6,0,0,0,0,1,0,4,1,2,1,1,0,0,0,30,10,1,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\retrolambda\src\main\java\net\orfjackal\retrolambda\lambdas\BackportLambdaInvocations.java,net.orfjackal.retrolambda.lambdas.BackportLambdaInvocations,getLambdaAccessMethodDesc/1[net.orfjackal.retrolambda.interfaces.Handle],false,148,2,3,1,2,3,6,11,3,0,1,6,0,0,0,2,0,0,0,0,0,0,1,0,0,0,24,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\retrolambda\retrolambda\src\main\java\net\orfjackal\retrolambda\lambdas\BackportLambdaInvocations.java,net.orfjackal.retrolambda.lambdas.BackportLambdaInvocations,"visit/6[int,int,java.lang.String,java.lang.String,java.lang.String,java.lang.String[]]",false,34,1,1,0,1,1,2,6,0,0,6,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,9,1,0,false
