file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ribbon\ribbon-archaius\src\main\java\com\netflix\utils\ScheduledThreadPoolExectuorWithDynamicSize.java,com.netflix.utils.ScheduledThreadPoolExectuorWithDynamicSize$Anonymous2,run/0,false,47,0,5,0,5,3,3,10,0,0,0,3,0,0,0,1,1,0,0,0,0,0,2,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ribbon\ribbon-archaius\src\main\java\com\netflix\utils\ScheduledThreadPoolExectuorWithDynamicSize.java,com.netflix.utils.ScheduledThreadPoolExectuorWithDynamicSize$Anonymous1,run/0,false,42,0,5,0,5,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ribbon\ribbon-loadbalancer\src\main\java\com\netflix\loadbalancer\AbstractLoadBalancerRule.java,com.netflix.loadbalancer.AbstractLoadBalancerRule,getLoadBalancer/0,false,37,1,10,10,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ribbon\ribbon-loadbalancer\src\main\java\com\netflix\loadbalancer\AbstractLoadBalancerRule.java,com.netflix.loadbalancer.AbstractLoadBalancerRule,setLoadBalancer/1[com.netflix.loadbalancer.ILoadBalancer],false,32,1,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ribbon\ribbon-loadbalancer\src\main\java\com\netflix\loadbalancer\WeightedResponseTimeRule.java,com.netflix.loadbalancer.WeightedResponseTimeRule,WeightedResponseTimeRule/1[com.netflix.loadbalancer.ILoadBalancer],true,112,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ribbon\ribbon-loadbalancer\src\main\java\com\netflix\loadbalancer\WeightedResponseTimeRule.java,com.netflix.loadbalancer.WeightedResponseTimeRule,initWithNiwsConfig/1[com.netflix.client.config.IClientConfig],false,289,1,1,0,1,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ribbon\ribbon-loadbalancer\src\main\java\com\netflix\loadbalancer\WeightedResponseTimeRule.java,com.netflix.loadbalancer.WeightedResponseTimeRule,initialize/1[com.netflix.loadbalancer.ILoadBalancer],false,125,3,5,1,4,2,5,16,0,1,1,5,0,0,0,1,0,0,1,1,2,1,1,1,0,0,19,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ribbon\ribbon-loadbalancer\src\main\java\com\netflix\loadbalancer\WeightedResponseTimeRule.java,com.netflix.loadbalancer.WeightedResponseTimeRule,shutdown/0,false,147,0,1,1,0,2,2,6,0,0,0,2,0,0,0,1,0,0,1,0,0,1,1,0,0,0,10,1,1,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ribbon\ribbon-loadbalancer\src\main\java\com\netflix\loadbalancer\WeightedResponseTimeRule.java,com.netflix.loadbalancer.WeightedResponseTimeRule,getAccumulatedWeights/0,false,154,0,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ribbon\ribbon-loadbalancer\src\main\java\com\netflix\loadbalancer\WeightedResponseTimeRule.java,com.netflix.loadbalancer.WeightedResponseTimeRule,"choose/2[com.netflix.loadbalancer.ILoadBalancer,java.lang.Object]",false,160,4,4,1,3,13,11,48,6,8,2,11,0,0,2,7,0,1,1,7,12,2,4,0,0,0,25,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ribbon\ribbon-loadbalancer\src\main\java\com\netflix\loadbalancer\WeightedResponseTimeRule.java,com.netflix.loadbalancer.WeightedResponseTimeRule,WeightedResponseTimeRule/0,true,108,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ribbon\ribbon-loadbalancer\src\main\java\com\netflix\loadbalancer\WeightedResponseTimeRule.java,com.netflix.loadbalancer.WeightedResponseTimeRule,setWeights/1[java.util.List<java.lang.Double>],false,284,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ribbon\ribbon-loadbalancer\src\main\java\com\netflix\loadbalancer\WeightedResponseTimeRule.java,com.netflix.loadbalancer.WeightedResponseTimeRule,setLoadBalancer/1[com.netflix.loadbalancer.ILoadBalancer],false,117,3,3,1,2,2,3,7,0,0,1,3,1,1,0,0,0,1,0,0,1,0,1,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ribbon\ribbon-loadbalancer\src\test\java\com\netflix\client\testutil\MockHttpServer.java,com.netflix.client.testutil.MockHttpServer$TestHttpHandler$Anonymous7,query/1[java.lang.String],false,332,0,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
