file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\robospice\extensions\robospice-ormlite-parent\robospice-ormlite-test\src\main\java\com\octo\android\robospice\ormlite\test\model\Wind.java,Wind,class,4,9,5,4,31,1,0,3,0,0.6181818,0.0,0.0,11,0,11,0,0,0,11,0,0,0,5,0,0,5,0,0,0,0,0,92,19,0,16,0,4,4,6,12,11,8,2,0,0,0,27,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\robospice\robospice-core-parent\robospice\src\main\java\com\octo\android\robospice\request\notifier\RequestListenerNotifier.java,com.octo.android.robospice.request.notifier.RequestListenerNotifier,interface,5,8,3,5,8,1,0,0,28,0.0,0.0,0.0,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\robospice\robospice-cache-parent\robospice-cache-test\src\main\java\com\octo\android\robospice\persistence\CacheManagerTest.java,com.octo.android.robospice.persistence.CacheManagerTest$MockIntegerPersistenceManager,innerclass,1,1,0,1,10,2,0,2,45,0.0,0.0,0.0,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,33,8,0,0,0,0,0,1,1,0,1,0,0,0,0,49,2,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\robospice\robospice-core-parent\robospice\src\main\java\com\octo\android\robospice\request\simple\BigBinaryRequest.java,com.octo.android.robospice.request.simple.BigBinaryRequest,class,3,4,1,3,4,3,0,6,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,2,25,2,0,0,1,0,1,0,4,0,3,2,0,0,0,92,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\robospice\robospice-cache-parent\robospice-cache\src\main\java\com\octo\android\robospice\persistence\CacheCleaner.java,com.octo.android.robospice.persistence.CacheCleaner,interface,0,3,3,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\robospice\robospice-cache-parent\robospice-cache\src\main\java\com\octo\android\robospice\persistence\ICacheManager.java,com.octo.android.robospice.persistence.ICacheManager,interface,2,3,1,2,11,1,0,0,55,0.0,0.0,0.0,11,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\robospice\extensions\robospice-okhttp-parent\robospice-okhttp-test\src\main\java\com\octo\android\robospice\okhttp\test\stub\RequestListenerStub.java,com.octo.android.robospice.okhttp.test.stub.RequestListenerStub,class,4,6,2,4,9,1,0,8,7,0.6285714,0.0,0.0,7,0,6,0,1,0,7,0,0,0,5,0,0,0,5,0,0,0,0,53,3,0,2,3,0,0,0,8,0,5,1,0,0,0,34,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\robospice\extensions\robospice-ui-spicelist-parent\robospice-ui-spicelist\src\main\java\com\octo\android\robospice\spicelist\okhttp\OkHttpBitmapSpiceManager.java,com.octo.android.robospice.spicelist.okhttp.OkHttpBitmapSpiceManager,class,2,3,1,2,2,2,0,0,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\robospice\extensions\robospice-ormlite-parent\robospice-ormlite-test\src\main\java\com\octo\android\robospice\ormlite\test\model\CurrenWeather.java,CurrenWeather,class,7,9,2,7,49,1,0,3,32,0.75817,0.0,0.0,17,0,17,0,0,0,17,0,0,0,9,0,0,9,0,0,0,0,0,141,28,0,25,0,7,10,9,18,17,12,2,0,0,0,36,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\robospice\robospice-core-parent\robospice\src\main\java\com\octo\android\robospice\notification\SpiceServiceListenerNotificationService.java,com.octo.android.robospice.notification.SpiceServiceListenerNotificationService$SpiceNotification,innerclass,1,1,0,1,3,1,0,0,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,6,9,0
