file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\rocketmq-externals\rocketmq-jms\spring\src\test\java\org\apache\rocketmq\jms\spring\JmsProduceIT.java,org.apache.rocketmq.jms.spring.JmsProduceIT$Anonymous1,"doInJms/2[org.apache.rocketmq.jms.spring.Session,org.apache.rocketmq.jms.spring.MessageProducer]",false,45,4,2,0,2,1,4,6,1,1,2,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,13,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\rocketmq-externals\rocketmq-cloudevents-binding\src\main\java\org\apache\rocketmq\cloudevent\impl\RocketMQBinaryMessageReader.java,org.apache.rocketmq.cloudevent.impl.RocketMQBinaryMessageReader,toCloudEventsKey/1[java.lang.String],false,50,0,0,0,0,1,3,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\rocketmq-externals\rocketmq-cloudevents-binding\src\main\java\org\apache\rocketmq\cloudevent\impl\RocketMQBinaryMessageReader.java,org.apache.rocketmq.cloudevent.impl.RocketMQBinaryMessageReader,"forEachHeader/1[java.util.function.BiConsumer<java.lang.String,java.lang.String>]",false,55,0,0,0,0,1,2,3,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\rocketmq-externals\rocketmq-cloudevents-binding\src\main\java\org\apache\rocketmq\cloudevent\impl\RocketMQBinaryMessageReader.java,org.apache.rocketmq.cloudevent.impl.RocketMQBinaryMessageReader,toCloudEventsValue/1[java.lang.String],false,60,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\rocketmq-externals\rocketmq-cloudevents-binding\src\main\java\org\apache\rocketmq\cloudevent\impl\RocketMQBinaryMessageReader.java,org.apache.rocketmq.cloudevent.impl.RocketMQBinaryMessageReader,"RocketMQBinaryMessageReader/3[org.apache.rocketmq.cloudevent.impl.SpecVersion,java.util.Map<java.lang.String,java.lang.String>,byte[]]",true,32,2,0,0,0,3,2,5,0,0,3,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,11,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\rocketmq-externals\rocketmq-cloudevents-binding\src\main\java\org\apache\rocketmq\cloudevent\impl\RocketMQBinaryMessageReader.java,org.apache.rocketmq.cloudevent.impl.RocketMQBinaryMessageReader,isCloudEventsHeader/1[java.lang.String],false,45,0,0,0,0,2,3,3,1,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\rocketmq-externals\rocketmq-cloudevents-binding\src\main\java\org\apache\rocketmq\cloudevent\impl\RocketMQBinaryMessageReader.java,org.apache.rocketmq.cloudevent.impl.RocketMQBinaryMessageReader,isContentTypeHeader/1[java.lang.String],false,40,0,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\rocketmq-externals\rocketmq-jms\spring\src\test\java\org\apache\rocketmq\jms\spring\JmsProduceIT.java,org.apache.rocketmq.jms.spring.JmsProduceIT$Anonymous2,"doInJms/2[org.apache.rocketmq.jms.spring.Session,org.apache.rocketmq.jms.spring.MessageProducer]",false,56,4,2,0,2,1,5,6,1,1,2,5,0,0,0,0,0,0,0,3,1,0,0,0,0,0,12,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\rocketmq-externals\rocketmq-jms\spring\src\test\java\org\apache\rocketmq\jms\spring\JmsProduceIT.java,org.apache.rocketmq.jms.spring.JmsProduceIT$Anonymous3,"doInJms/2[org.apache.rocketmq.jms.spring.Session,org.apache.rocketmq.jms.spring.MessageProducer]",false,67,5,2,0,2,1,6,8,1,2,2,6,0,0,0,0,0,0,1,0,2,0,0,0,0,0,14,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\rocketmq-externals\rocketmq-jms\spring\src\test\java\org\apache\rocketmq\jms\spring\JmsProduceIT.java,org.apache.rocketmq.jms.spring.JmsProduceIT$Anonymous4,"doInJms/2[org.apache.rocketmq.jms.spring.Session,org.apache.rocketmq.jms.spring.MessageProducer]",false,83,5,2,0,2,1,6,8,1,2,2,6,0,0,0,0,0,0,1,0,2,0,0,0,0,0,16,1,0,false
