file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\screw\screw-core\src\main\java\cn\smallbun\screw\core\process\Process.java,cn.smallbun.screw.core.process.Process,process/1[cn.smallbun.screw.core.query.DatabaseQuery],false,39,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\screw\screw-core\src\main\java\cn\smallbun\screw\core\process\Process.java,cn.smallbun.screw.core.process.Process,process/0,false,31,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\screw\screw-core\src\main\java\cn\smallbun\screw\core\execute\DocumentationExecute.java,cn.smallbun.screw.core.execute.DocumentationExecute,execute/1[cn.smallbun.screw.core.query.DatabaseQuery],false,46,8,7,0,7,2,9,12,0,3,1,9,0,0,0,0,1,0,1,0,3,1,1,0,0,0,21,1,1,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\screw\screw-core\src\main\java\cn\smallbun\screw\core\execute\DocumentationExecute.java,cn.smallbun.screw.core.execute.DocumentationExecute,execute/0,false,62,7,9,2,7,2,9,12,0,3,0,9,0,0,0,0,1,0,1,0,3,1,1,0,0,0,18,1,1,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\screw\screw-core\src\main\java\cn\smallbun\screw\core\execute\DocumentationExecute.java,cn.smallbun.screw.core.execute.DocumentationExecute,DocumentationExecute/1[cn.smallbun.screw.core.Configuration],true,36,1,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\screw\screw-core\src\test\java\cn\smallbun\screw\core\produce\CacheDBDocumentationBuilderTest.java,cn.smallbun.screw.core.produce.CacheDBDocumentationBuilderTest,build/0,false,44,8,12,0,12,1,24,14,0,4,0,24,0,0,0,0,0,0,2,2,4,0,0,0,0,0,25,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\screw\screw-core\src\test\java\cn\smallbun\screw\core\produce\CacheDBDocumentationBuilderTest.java,cn.smallbun.screw.core.produce.CacheDBDocumentationBuilderTest,getConfigProperties/0,false,82,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,7,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\screw\screw-core\src\main\java\cn\smallbun\screw\core\exception\ScrewException.java,cn.smallbun.screw.core.exception.ScrewException,"ScrewException/4[java.lang.String,java.lang.Throwable,boolean,boolean]",true,98,0,0,0,0,1,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,4,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\screw\screw-core\src\main\java\cn\smallbun\screw\core\exception\ScrewException.java,cn.smallbun.screw.core.exception.ScrewException,ScrewException/0,true,32,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\screw\screw-core\src\main\java\cn\smallbun\screw\core\exception\ScrewException.java,cn.smallbun.screw.core.exception.ScrewException,ScrewException/1[java.lang.Throwable],true,79,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1,0,true
