file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\selenium\java\src\org\openqa\selenium\lift\WebDriverTestContext.java,org.openqa.selenium.lift.WebDriverTestContext$Anonymous1,"timeoutException/2[java.lang.String,java.lang.Throwable]",false,150,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,11,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\selenium\java\src\org\openqa\selenium\virtualauthenticator\HasVirtualAuthenticator.java,org.openqa.selenium.virtualauthenticator.HasVirtualAuthenticator,addVirtualAuthenticator/1[org.openqa.selenium.virtualauthenticator.VirtualAuthenticatorOptions],false,24,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\selenium\java\src\org\openqa\selenium\virtualauthenticator\HasVirtualAuthenticator.java,org.openqa.selenium.virtualauthenticator.HasVirtualAuthenticator,removeVirtualAuthenticator/1[org.openqa.selenium.virtualauthenticator.VirtualAuthenticator],false,30,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\selenium\java\src\org\openqa\selenium\interactions\CompositeAction.java,org.openqa.selenium.interactions.CompositeAction,perform/0,false,33,1,1,0,1,2,1,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\selenium\java\src\org\openqa\selenium\interactions\CompositeAction.java,org.openqa.selenium.interactions.CompositeAction,addAction/1[org.openqa.selenium.interactions.Action],false,39,3,1,0,1,1,2,4,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\selenium\java\test\org\openqa\selenium\json\JsonTest.java,org.openqa.selenium.json.JsonTest$NoDefaultConstructor,setValue/1[java.lang.String],false,547,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\selenium\java\test\org\openqa\selenium\json\JsonTest.java,org.openqa.selenium.json.JsonTest$NoDefaultConstructor,NoDefaultConstructor/1[java.lang.String],true,539,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\selenium\java\test\org\openqa\selenium\json\JsonTest.java,org.openqa.selenium.json.JsonTest$NoDefaultConstructor,getValue/0,false,543,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\selenium\java\src\org\openqa\selenium\WebElement.java,org.openqa.selenium.WebElement,getAriaRole/0,false,179,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,65536,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\selenium\java\src\org\openqa\selenium\WebElement.java,org.openqa.selenium.WebElement,clear/0,false,76,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\selenium\java\src\org\openqa\selenium\WebElement.java,org.openqa.selenium.WebElement,isSelected/0,false,195,0,4,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\selenium\java\src\org\openqa\selenium\WebElement.java,org.openqa.selenium.WebElement,getDomProperty/1[java.lang.String],false,106,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,36,65536,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\selenium\java\src\org\openqa\selenium\WebElement.java,org.openqa.selenium.WebElement,getShadowRoot/0,false,275,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,65536,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\selenium\java\src\org\openqa\selenium\WebElement.java,org.openqa.selenium.WebElement,getAttribute/1[java.lang.String],false,134,0,5,5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,true
