file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shardingsphere\features\readwrite-splitting\distsql\parser\src\main\java\org\apache\shardingsphere\readwritesplitting\distsql\parser\facade\ReadwriteSplittingDistSQLStatementParserFacade.java,org.apache.shardingsphere.readwritesplitting.distsql.parser.facade.ReadwriteSplittingDistSQLStatementParserFacade,class,4,4,0,4,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,1,0,0,0,0,0,0,0,0,19,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shardingsphere\test\it\parser\src\main\java\org\apache\shardingsphere\test\it\sql\parser\internal\cases\parser\jaxb\statement\ddl\CreateConversionStatementTestCase.java,org.apache.shardingsphere.test.it.sql.parser.internal.cases.parser.jaxb.statement.ddl.CreateConversionStatementTestCase,class,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shardingsphere\test\it\parser\src\main\java\org\apache\shardingsphere\test\it\sql\parser\internal\cases\parser\jaxb\statement\rql\rule\mask\CountMaskRuleStatementTestCase.java,org.apache.shardingsphere.test.it.sql.parser.internal.cases.parser.jaxb.statement.rql.rule.mask.CountMaskRuleStatementTestCase,class,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shardingsphere\test\it\parser\src\main\java\org\apache\shardingsphere\test\it\sql\parser\internal\asserts\statement\dal\impl\ExplainStatementAssert.java,org.apache.shardingsphere.test.it.sql.parser.internal.asserts.statement.dal.impl.ExplainStatementAssert,class,9,11,2,9,11,1,0,18,1,0.0,NaN,NaN,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,44,0,0,6,0,0,8,0,0,0,0,2,0,0,0,32,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shardingsphere\kernel\data-pipeline\scenario\consistencycheck\src\main\java\org\apache\shardingsphere\data\pipeline\scenario\consistencycheck\ConsistencyCheckJobId.java,org.apache.shardingsphere.data.pipeline.scenario.consistencycheck.ConsistencyCheckJobId,class,6,8,2,6,5,2,0,5,0,0.5833333,0.0,0.0,4,1,4,0,0,0,4,0,0,0,3,1,1,2,0,0,3,0,3,19,1,0,0,0,0,1,1,3,1,3,0,0,0,0,31,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shardingsphere\mode\type\cluster\repository\provider\zookeeper\src\main\java\org\apache\shardingsphere\mode\repository\cluster\zookeeper\ZookeeperRepository.java,org.apache.shardingsphere.mode.repository.cluster.zookeeper.ZookeeperRepository,class,24,27,3,24,43,1,0,57,0,0.75,0.0,0.0,18,0,13,5,0,0,13,0,0,0,4,0,0,4,0,0,2,0,14,189,12,0,5,11,0,1,4,17,3,18,2,1,0,1,91,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shardingsphere\sql-parser\statement\src\main\java\org\apache\shardingsphere\sql\parser\sql\common\segment\dml\expr\XmlQueryAndExistsFunctionSegment.java,org.apache.shardingsphere.sql.parser.sql.common.segment.dml.expr.XmlQueryAndExistsFunctionSegment,class,5,5,0,5,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,6,0,0,8,0,0,0,0,0,0,0,1,0,6,0,0,0,0,17,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shardingsphere\proxy\frontend\type\postgresql\src\main\java\org\apache\shardingsphere\proxy\frontend\postgresql\authentication\authenticator\PostgreSQLAuthenticatorType.java,org.apache.shardingsphere.proxy.frontend.postgresql.authentication.authenticator.PostgreSQLAuthenticatorType,enum,4,6,2,4,1,1,0,0,0,0.5,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,2,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,24,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shardingsphere\kernel\data-pipeline\core\src\main\java\org\apache\shardingsphere\data\pipeline\api\datasource\PipelineDataSourceWrapper.java,org.apache.shardingsphere.data.pipeline.api.datasource.PipelineDataSourceWrapper,class,5,19,14,5,14,1,0,11,0,0.5,0.0,0.0,10,0,10,0,0,0,10,0,0,0,2,0,0,2,0,0,2,0,0,50,8,0,1,1,1,2,0,0,0,2,2,0,0,0,49,17,1
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shardingsphere\kernel\sql-federation\optimizer\src\main\java\org\apache\shardingsphere\sqlfederation\optimizer\converter\segment\expression\ExpressionConverter.java,org.apache.shardingsphere.sqlfederation.optimizer.converter.segment.expression.ExpressionConverter,class,31,43,12,31,16,1,0,15,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,50,14,0,1,0,0,2,0,0,1,0,1,0,0,0,31,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shardingsphere\sql-parser\dialect\oracle\src\test\java\org\apache\shardingsphere\test\it\sql\parser\it\oracle\internal\InternalUnsupportedOracleParserIT.java,org.apache.shardingsphere.test.it.sql.parser.it.oracle.internal.InternalUnsupportedOracleParserIT,class,2,2,0,2,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shardingsphere\sql-parser\statement\src\main\java\org\apache\shardingsphere\sql\parser\sql\dialect\statement\mysql\dal\MySQLShowCreateTriggerStatement.java,org.apache.shardingsphere.sql.parser.sql.dialect.statement.mysql.dal.MySQLShowCreateTriggerStatement,class,5,5,0,5,0,2,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shardingsphere\test\it\parser\src\main\java\org\apache\shardingsphere\test\it\sql\parser\internal\asserts\statement\ddl\impl\RenameTableStatementAssert.java,org.apache.shardingsphere.test.it.sql.parser.internal.asserts.statement.ddl.impl.RenameTableStatementAssert,class,6,7,1,6,3,1,0,10,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,17,0,1,1,0,0,2,1,1,0,1,2,0,0,0,33,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shardingsphere\sql-parser\statement\src\main\java\org\apache\shardingsphere\sql\parser\sql\common\segment\generic\WindowSegment.java,org.apache.shardingsphere.sql.parser.sql.common.segment.generic.WindowSegment,class,3,4,1,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shardingsphere\test\it\parser\src\main\java\org\apache\shardingsphere\test\it\sql\parser\internal\asserts\statement\rul\impl\SQLRULStatementAssert.java,org.apache.shardingsphere.test.it.sql.parser.internal.asserts.statement.rul.impl.SQLRULStatementAssert,class,13,14,1,13,4,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shardingsphere\infra\binder\src\main\java\org\apache\shardingsphere\infra\binder\type\TableAvailable.java,org.apache.shardingsphere.infra.binder.type.TableAvailable,interface,2,39,37,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shardingsphere\sql-parser\statement\src\main\java\org\apache\shardingsphere\sql\parser\sql\dialect\statement\postgresql\tcl\PostgreSQLPrepareTransactionStatement.java,org.apache.shardingsphere.sql.parser.sql.dialect.statement.postgresql.tcl.PostgreSQLPrepareTransactionStatement,class,2,2,0,2,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shardingsphere\sql-parser\statement\src\main\java\org\apache\shardingsphere\sql\parser\sql\common\statement\dml\CheckpointStatement.java,org.apache.shardingsphere.sql.parser.sql.common.statement.dml.CheckpointStatement,class,2,2,0,2,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shardingsphere\infra\common\src\main\java\org\apache\shardingsphere\infra\database\type\dialect\MariaDBDatabaseType.java,org.apache.shardingsphere.infra.database.type.dialect.MariaDBDatabaseType,class,5,8,3,5,7,1,0,7,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,23,7,0,0,0,0,3,0,0,0,0,0,0,0,0,24,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shardingsphere\features\sharding\distsql\statement\src\main\java\org\apache\shardingsphere\sharding\distsql\parser\statement\DropShardingTableReferenceRuleStatement.java,org.apache.shardingsphere.sharding.distsql.parser.statement.DropShardingTableReferenceRuleStatement,class,2,5,3,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,13,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shardingsphere\infra\executor\src\main\java\org\apache\shardingsphere\infra\executor\sql\process\model\yaml\BatchYamlExecuteProcessContext.java,org.apache.shardingsphere.infra.executor.sql.process.model.yaml.BatchYamlExecuteProcessContext,class,6,7,1,6,3,1,0,2,1,0.5,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,13,1,1,0,0,0,0,0,2,0,2,1,0,0,0,13,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shardingsphere\sql-parser\statement\src\main\java\org\apache\shardingsphere\sql\parser\sql\common\value\literal\impl\NumberLiteralValue.java,org.apache.shardingsphere.sql.parser.sql.common.value.literal.impl.NumberLiteralValue,class,3,5,2,3,8,1,0,7,0,0.0,NaN,NaN,3,1,1,2,0,0,1,0,0,0,1,0,0,1,0,0,1,0,5,24,5,0,0,1,0,0,4,2,0,2,1,0,0,0,13,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shardingsphere\sql-parser\statement\src\main\java\org\apache\shardingsphere\sql\parser\sql\dialect\statement\postgresql\dml\PostgreSQLInsertStatement.java,org.apache.shardingsphere.sql.parser.sql.dialect.statement.postgresql.dml.PostgreSQLInsertStatement,class,6,7,1,6,3,2,0,1,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,14,3,0,0,0,0,0,0,0,0,3,0,0,0,0,23,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shardingsphere\proxy\frontend\type\postgresql\src\main\java\org\apache\shardingsphere\proxy\frontend\postgresql\command\PortalContext.java,org.apache.shardingsphere.proxy.frontend.postgresql.command.PortalContext,class,1,22,21,1,7,1,0,10,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,26,1,1,2,0,0,1,0,4,0,4,1,0,0,0,28,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shardingsphere\features\db-discovery\core\src\main\java\org\apache\shardingsphere\dbdiscovery\datanode\DatabaseDiscoveryDataNodeBuilder.java,org.apache.shardingsphere.dbdiscovery.datanode.DatabaseDiscoveryDataNodeBuilder,class,3,3,0,3,4,1,0,3,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,3,1,0,0,0,0,0,1,0,1,1,0,0,0,18,17,0
