file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shenyu\shenyu-examples\shenyu-examples-http\src\main\java\org\apache\shenyu\examples\http\controller\RequestController.java,org.apache.shenyu.examples.http.controller.RequestController,class,12,13,1,12,4,1,0,7,0,0.25,0.0,0.0,4,0,3,1,0,0,3,0,0,0,1,1,0,1,0,0,1,0,0,18,4,0,0,0,0,12,0,1,1,1,0,0,0,0,38,1,3
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shenyu\shenyu-admin\src\main\java\org\apache\shenyu\admin\utils\UploadUtils.java,org.apache.shenyu.admin.utils.UploadUtils,class,4,5,1,4,3,1,0,13,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,11,1,0,1,0,0,1,0,4,0,5,1,0,0,2,20,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shenyu\shenyu-common\src\main\java\org\apache\shenyu\common\dto\convert\plugin\SofaRegisterConfig.java,org.apache.shenyu.common.dto.convert.plugin.SofaRegisterConfig,class,1,2,1,1,20,1,0,3,32,0.7426471,0.0,0.0,17,0,17,0,0,0,17,0,0,0,8,1,0,8,0,0,1,0,8,68,12,0,3,0,0,8,1,9,2,9,1,0,0,0,42,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shenyu\shenyu-admin\src\test\java\org\apache\shenyu\admin\service\register\ShenyuClientRegisterSofaServiceImplTest.java,org.apache.shenyu.admin.service.register.ShenyuClientRegisterSofaServiceImplTest,class,12,12,0,12,5,1,0,17,0,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,27,0,0,0,0,0,1,0,5,0,7,0,0,0,0,32,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shenyu\shenyu-admin\src\main\java\org\apache\shenyu\admin\model\entity\RuleConditionDO.java,org.apache.shenyu.admin.model.entity.RuleConditionDO,class,4,11,7,4,21,2,0,30,18,0.6875,0.0,0.0,16,2,16,0,0,0,16,0,0,0,6,1,0,6,0,0,1,0,9,132,13,0,3,0,0,1,1,14,0,10,2,0,1,1,46,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shenyu\shenyu-integrated-test\shenyu-integrated-test-sdk-apache-dubbo\src\main\java\org\apache\shenyu\integrated\test\apache\dubbo\SdkApacheDubboIntegratedBootstrap.java,org.apache.shenyu.integrated.test.apache.dubbo.SdkApacheDubboIntegratedBootstrap,class,2,3,1,2,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shenyu\shenyu-admin\src\main\java\org\apache\shenyu\admin\model\entity\DashboardUserDO.java,org.apache.shenyu.admin.model.entity.DashboardUserDO,class,5,15,10,5,21,2,0,32,26,0.7058825,0.0,0.0,17,3,17,0,0,0,17,0,0,0,6,1,0,6,0,0,1,0,12,146,15,0,1,0,1,0,1,15,0,12,2,0,1,2,49,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shenyu\shenyu-register-center\shenyu-register-client-server\shenyu-register-client-server-zookeeper\src\main\java\org\apache\shenyu\register\client\server\zookeeper\ZookeeperConfig.java,org.apache.shenyu.register.client.server.zookeeper.ZookeeperConfig,class,1,5,4,1,16,1,0,0,104,0.875,0.0,0.0,16,0,16,0,0,0,16,0,0,0,8,0,0,8,0,0,1,0,0,65,15,0,0,0,0,1,6,14,2,8,0,0,0,0,47,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shenyu\shenyu-common\src\test\java\org\apache\shenyu\common\concurrent\MemorySafeLinkedBlockingQueueTest.java,org.apache.shenyu.common.concurrent.MemorySafeLinkedBlockingQueueTest,class,4,4,0,4,2,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,2,0,2,1,0,0,4,16,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\shenyu\shenyu-common\src\main\java\org\apache\shenyu\common\dto\MetaData.java,org.apache.shenyu.common.dto.MetaData$Builder,innerclass,2,2,0,2,12,1,0,0,66,0.9166667,0.0,0.0,12,0,11,1,0,0,11,0,0,0,10,0,0,10,0,0,0,0,0,57,11,0,0,0,0,0,0,10,0,10,0,0,0,0,21,25,0
