file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\smali\dexlib2\src\main\java\org\jf\util\CollectionUtils.java,org.jf.util.CollectionUtils,"compareAsIterable/2[java.lang.Iterable<? extends T>,java.lang.Iterable<? extends T>]",false,95,2,0,0,0,5,4,16,4,3,2,4,0,0,1,1,0,0,0,4,3,0,2,0,0,0,10,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\smali\dexlib2\src\main\java\org\jf\util\CollectionUtils.java,org.jf.util.CollectionUtils,"isSortedSet/2[java.util.Comparator<? extends T>,java.lang.Iterable<? extends T>]",false,146,1,0,0,0,3,3,11,3,2,2,3,0,0,0,1,0,0,0,0,2,0,2,0,0,0,9,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\smali\dexlib2\src\main\java\org\jf\util\CollectionUtils.java,org.jf.util.CollectionUtils,toNaturalSortedSet/1[java.util.Collection<? extends T>],false,159,2,1,0,1,2,2,6,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,10,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\smali\dexlib2\src\main\java\org\jf\util\CollectionUtils.java,org.jf.util.CollectionUtils,"compareAsList/2[java.util.Collection<? extends T>,java.util.Collection<? extends T>]",false,64,1,0,0,0,4,5,10,3,2,2,5,0,0,1,2,0,0,0,3,3,0,2,0,0,0,9,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\smali\dexlib2\src\main\java\org\jf\util\CollectionUtils.java,org.jf.util.CollectionUtils,isNaturalSortedSet/1[java.lang.Iterable<? extends T>],false,136,1,0,0,0,2,3,8,2,2,1,3,0,0,0,1,0,1,0,0,2,0,1,0,0,0,10,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\smali\dexlib2\src\main\java\org\jf\util\CollectionUtils.java,org.jf.util.CollectionUtils,"compareAsIterable/3[java.util.Comparator<? super T>,java.lang.Iterable<? extends T>,java.lang.Iterable<? extends T>]",false,77,2,0,0,0,5,4,16,4,3,3,4,0,0,1,1,0,0,0,4,3,0,2,0,0,0,10,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\smali\dexlib2\src\main\java\org\jf\util\CollectionUtils.java,org.jf.util.CollectionUtils,setComparator/1[java.util.Comparator<? super T>],false,181,2,1,0,1,1,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\smali\dexlib2\src\main\java\org\jf\util\CollectionUtils.java,org.jf.util.CollectionUtils,listHashCode/1[java.lang.Iterable<T>],false,43,2,0,0,0,2,1,7,1,1,1,1,0,0,1,0,0,0,0,2,2,2,1,0,0,0,7,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\smali\dexlib2\src\main\java\org\jf\util\CollectionUtils.java,org.jf.util.CollectionUtils,"compareAsList/3[java.util.Comparator<? super T>,java.util.Collection<? extends T>,java.util.Collection<? extends T>]",false,114,1,1,1,0,4,5,10,3,2,3,5,0,0,1,2,0,0,0,3,3,0,2,0,0,0,9,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\smali\dexlib2\src\main\java\org\jf\util\CollectionUtils.java,org.jf.util.CollectionUtils,"compareAsSet/2[java.util.Collection<? extends T>,java.util.Collection<? extends T>]",false,191,3,1,0,1,4,6,12,3,4,2,6,0,0,1,2,0,0,0,3,5,0,2,0,0,0,15,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\smali\dexlib2\src\main\java\org\jf\util\CollectionUtils.java,org.jf.util.CollectionUtils,"compareAsSet/3[java.util.Comparator<? super T>,java.util.Collection<? extends T>,java.util.Collection<? extends T>]",false,208,2,2,1,1,4,6,12,3,4,3,6,0,0,1,2,0,0,0,3,5,0,2,0,0,0,12,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\smali\dexlib2\src\main\java\org\jf\util\CollectionUtils.java,org.jf.util.CollectionUtils,"lastIndexOf/2[java.lang.Iterable<T>,org.jf.util.Predicate<? super T>]",false,51,3,0,0,0,3,1,11,1,2,2,1,0,0,1,0,0,0,0,2,3,0,2,0,0,0,9,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\smali\dexlib2\src\main\java\org\jf\util\CollectionUtils.java,org.jf.util.CollectionUtils,"toSortedSet/2[java.util.Comparator<? super T>,java.util.Collection<? extends T>]",false,168,1,0,0,0,4,3,10,2,2,2,3,0,0,0,1,0,0,0,0,2,0,2,0,0,0,10,10,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\smali\dexlib2\src\main\java\org\jf\util\CollectionUtils.java,org.jf.util.CollectionUtils,listComparator/1[java.util.Comparator<? super T>],false,127,2,1,0,1,1,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\smali\baksmali\src\main\java\org\jf\baksmali\Adaptors\SyntheticAccessCommentMethodItem.java,org.jf.baksmali.Adaptors.SyntheticAccessCommentMethodItem,writeTo/1[org.jf.baksmali.formatter.BaksmaliWriter],false,53,3,2,0,2,19,2,63,1,0,1,2,0,0,0,0,0,0,20,0,0,0,1,0,0,0,13,1,0,false
