file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\small-spring\small-spring-step-19\src\main\java\cn\bugstack\springframework\context\ApplicationContextAware.java,ApplicationContextAware,interface,1,3,2,1,1,1,1,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\small-spring\small-spring-step-19\src\main\java\cn\bugstack\springframework\tx\transaction\support\TransactionSynchronizationUtils.java,cn.bugstack.springframework.tx.transaction.support.TransactionSynchronizationUtils,class,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,1,0,1,0,0,0,0,15,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\small-spring\small-spring-step-19\src\main\java\cn\bugstack\springframework\core\ResolvableType.java,cn.bugstack.springframework.core.ResolvableType,class,15,23,8,15,206,1,0,81,863,0.84946233,0.0,0.0,62,19,45,12,0,5,50,0,0,0,12,3,1,11,0,0,8,0,46,759,113,16,87,0,35,19,34,140,8,89,4,1,6,0,367,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\small-spring\small-spring-step-19\src\main\java\cn\bugstack\springframework\aop\framework\ProxyFactory.java,ProxyFactory,class,5,7,2,5,4,1,0,3,1,0.33333334,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,15,3,0,0,0,0,0,0,1,0,1,1,0,0,0,40,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\small-spring\small-spring-step-17\src\main\java\cn\bugstack\springframework\core\convert\converter\GenericConverter.java,cn.bugstack.springframework.core.convert.converter.GenericConverter$ConvertiblePair,innerclass,1,1,0,1,8,1,0,4,0,0.2,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,2,0,0,29,6,0,3,0,0,2,1,3,2,3,1,0,0,0,24,16,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\small-spring\small-spring-step-19\src\main\java\cn\bugstack\springframework\context\event\ApplicationContextEvent.java,ApplicationContextEvent,class,2,4,2,2,2,1,14,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\small-spring\small-spring-step-19\src\main\java\cn\bugstack\springframework\context\event\ContextRefreshedEvent.java,ContextRefreshedEvent,class,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\small-spring\small-spring-step-19\src\main\java\cn\bugstack\springframework\context\annotation\ClassPathBeanDefinitionScanner.java,ClassPathBeanDefinitionScanner,class,9,10,1,9,9,1,0,12,4,0.5,0.0,0.0,4,0,2,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,34,3,2,1,0,0,1,0,9,0,8,3,0,0,0,54,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\small-spring\small-spring-step-17\src\main\java\cn\bugstack\springframework\core\convert\converter\ConverterFactory.java,cn.bugstack.springframework.core.convert.converter.ConverterFactory,interface,3,8,5,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\small-spring\small-spring-step-19\src\main\java\cn\bugstack\springframework\beans\factory\BeanClassLoaderAware.java,BeanClassLoaderAware,interface,1,3,2,1,1,1,1,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\small-spring\small-spring-step-12\src\test\java\cn\bugstack\springframework\test\bean\UserServiceBeforeAdvice.java,cn.bugstack.springframework.test.bean.UserServiceBeforeAdvice,class,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\small-spring\small-spring-step-19\src\main\java\cn\bugstack\springframework\core\convert\converter\ConverterRegistry.java,ConverterRegistry,interface,2,3,1,2,3,1,2,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\small-spring\small-spring-step-19\src\main\java\cn\bugstack\springframework\beans\factory\ObjectFactory.java,ObjectFactory,interface,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\small-spring\small-spring-step-16\src\main\java\cn\bugstack\springframework\beans\factory\xml\XmlBeanDefinitionReader.java,cn.bugstack.springframework.beans.factory.xml.XmlBeanDefinitionReader,class,14,19,2,17,20,2,0,27,28,0.0,0.0,0.0,8,0,6,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1,84,0,4,1,2,0,17,0,27,2,26,2,0,0,0,85,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\small-spring\small-spring-step-19\src\main\java\cn\bugstack\springframework\aop\framework\AopProxy.java,AopProxy,interface,1,4,3,1,1,1,12,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\small-spring\small-spring-step-06\src\test\java\cn\bugstack\springframework\test\common\MyBeanPostProcessor.java,cn.bugstack.springframework.test.common.MyBeanPostProcessor,class,2,2,0,2,3,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,2,0,1,0,1,1,0,0,0,17,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\small-spring\small-spring-step-19\src\main\java\cn\bugstack\springframework\beans\factory\HierarchicalBeanFactory.java,HierarchicalBeanFactory,interface,1,3,2,1,0,1,20,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\small-spring\small-spring-step-15\src\test\java\cn\bugstack\springframework\test\bean2\UserDao.java,cn.bugstack.springframework.test.bean2.UserDao,class,1,2,1,1,2,1,0,2,0,0.0,0.0,0.0,1,0,1,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,10,1,0,0,0,0,4,0,1,0,1,0,0,0,0,10,1,0
