file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\smartTable\app\src\main\java\com\bin\david\smarttable\adapter\TableListAdapter.java,com.bin.david.smarttable.adapter.TableListAdapter$Anonymous11,anonymous,3,3,0,3,2,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,1,0,1,0,0,0,5,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\smartTable\app\src\main\java\com\bin\david\smarttable\excel\BaseExcel2Table.java,com.bin.david.smarttable.excel.BaseExcel2Table$ExcelAsyncTask$Anonymous4,anonymous,12,12,0,12,10,1,0,19,6,0.0,0.0,0.0,4,0,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,6,42,6,0,6,0,3,0,3,7,4,6,1,0,0,0,27,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\smartTable\app\src\main\java\java\awt\Color.java,java.awt.Color,class,2,3,1,2,87,1,0,20,356,0.977753,0.0,0.0,29,9,27,2,0,0,27,0,0,0,31,27,26,4,0,1,27,0,14,328,25,2,22,0,89,16,233,158,128,70,3,0,0,0,302,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\smartTable\form\src\main\java\com\bin\david\form\data\format\tip\ITip.java,com.bin.david.form.data.format.tip.ITip,interface,4,6,2,4,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\smartTable\form\src\main\java\com\bin\david\form\data\format\draw\BitmapDrawFormat.java,com.bin.david.form.data.format.draw.BitmapDrawFormat,class,10,18,8,10,14,1,0,9,0,0.6111111,0.0,0.0,9,0,8,0,1,0,9,1,0,0,4,0,0,4,0,0,0,0,0,63,4,0,2,0,7,0,7,24,14,12,3,0,0,0,37,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\smartTable\app\src\main\java\com\bin\david\smarttable\adapter\TableListAdapter.java,com.bin.david.smarttable.adapter.TableListAdapter$Anonymous10,anonymous,2,2,0,2,3,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,1,0,0,3,0,2,2,2,1,0,0,0,14,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\smartTable\app\src\main\java\com\bin\david\smarttable\excel\BaseExcel2Table.java,com.bin.david.smarttable.excel.BaseExcel2Table$ExcelAsyncTask$Anonymous5,anonymous,3,3,0,3,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,1,0,0,1,0,0,0,0,1,0,0,0,7,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\smartTable\app\src\test\java\com\bin\david\smarttable\ExampleUnitTest.java,com.bin.david.smarttable.ExampleUnitTest,class,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,1,0,0,0,0,0,23,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\smartTable\form\src\main\java\com\bin\david\form\data\format\tip\BaseBubbleTip.java,com.bin.david.form.data.format.tip.BaseBubbleTip,class,13,22,9,13,28,1,0,28,75,0.8,0.0,0.0,19,0,15,4,0,0,15,3,0,0,10,1,1,8,1,0,1,0,2,131,5,0,3,0,1,0,19,33,24,23,2,0,0,0,68,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\smartTable\app\src\main\java\com\bin\david\smarttable\WelcomeActivity.java,com.bin.david.smarttable.WelcomeActivity,class,16,19,3,16,6,2,0,27,0,0.60714287,0.0,0.0,4,0,1,2,1,0,2,0,0,0,7,0,0,5,0,2,0,0,3,120,0,0,2,0,0,3,33,14,0,13,1,6,0,0,60,1,0
