file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sofa-jarslink\sofa-jarslink-parent\integration\src\main\java\com\alipay\sofa\jarslink\integration\command\JSKCommandProvider.java,com.alipay.sofa.jarslink.integration.command.JSKCommandProvider,handleCommand/1[java.lang.String],false,78,1,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sofa-jarslink\sofa-jarslink-parent\integration\src\main\java\com\alipay\sofa\jarslink\integration\command\JSKCommandProvider.java,com.alipay.sofa.jarslink.integration.command.JSKCommandProvider,getHelp/0,false,38,1,3,1,2,1,5,10,1,1,0,5,0,0,0,0,0,0,10,0,1,0,0,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sofa-jarslink\sofa-jarslink-parent\integration\src\main\java\com\alipay\sofa\jarslink\integration\command\JSKCommandProvider.java,com.alipay.sofa.jarslink.integration.command.JSKCommandProvider,validate/1[java.lang.String],false,73,1,2,1,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sofa-jarslink\sofa-jarslink-parent\integration\src\main\java\com\alipay\sofa\jarslink\integration\command\JSKCommandProvider.java,com.alipay.sofa.jarslink.integration.command.JSKCommandProvider,getHelp/1[java.lang.String],false,58,2,4,1,3,2,6,13,1,2,1,6,0,0,0,1,0,0,6,0,2,0,1,0,0,0,13,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sofa-jarslink\sofa-jarslink-parent\core\common\src\main\java\com\alipay\sofa\jarslink\common\log\JSKLogger.java,com.alipay.sofa.jarslink.common.log.JSKLogger,isErrorEnabled/1[com.alipay.sofa.jarslink.common.log.Marker],false,312,1,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sofa-jarslink\sofa-jarslink-parent\core\common\src\main\java\com\alipay\sofa\jarslink\common\log\JSKLogger.java,com.alipay.sofa.jarslink.common.log.JSKLogger,trace/1[java.lang.String],false,47,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sofa-jarslink\sofa-jarslink-parent\core\common\src\main\java\com\alipay\sofa\jarslink\common\log\JSKLogger.java,com.alipay.sofa.jarslink.common.log.JSKLogger,"debug/3[com.alipay.sofa.jarslink.common.log.Marker,java.lang.String,java.lang.Throwable]",false,157,1,0,0,0,1,1,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sofa-jarslink\sofa-jarslink-parent\core\common\src\main\java\com\alipay\sofa\jarslink\common\log\JSKLogger.java,com.alipay.sofa.jarslink.common.log.JSKLogger,"trace/3[com.alipay.sofa.jarslink.common.log.Marker,java.lang.String,java.lang.Object[]]",false,92,1,0,0,0,1,1,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sofa-jarslink\sofa-jarslink-parent\core\common\src\main\java\com\alipay\sofa\jarslink\common\log\JSKLogger.java,com.alipay.sofa.jarslink.common.log.JSKLogger,"info/3[com.alipay.sofa.jarslink.common.log.Marker,java.lang.String,java.lang.Object]",false,202,1,0,0,0,1,1,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sofa-jarslink\sofa-jarslink-parent\core\common\src\main\java\com\alipay\sofa\jarslink\common\log\JSKLogger.java,com.alipay.sofa.jarslink.common.log.JSKLogger,"error/2[java.lang.String,java.lang.Throwable]",false,307,0,4,4,0,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sofa-jarslink\sofa-jarslink-parent\core\common\src\main\java\com\alipay\sofa\jarslink\common\log\JSKLogger.java,com.alipay.sofa.jarslink.common.log.JSKLogger,"error/2[java.lang.String,java.lang.Object]",false,292,0,0,0,0,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sofa-jarslink\sofa-jarslink-parent\core\common\src\main\java\com\alipay\sofa\jarslink\common\log\JSKLogger.java,com.alipay.sofa.jarslink.common.log.JSKLogger,"info/3[com.alipay.sofa.jarslink.common.log.Marker,java.lang.String,java.lang.Object[]]",false,212,1,0,0,0,1,1,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sofa-jarslink\sofa-jarslink-parent\core\common\src\main\java\com\alipay\sofa\jarslink\common\log\JSKLogger.java,com.alipay.sofa.jarslink.common.log.JSKLogger,"error/3[com.alipay.sofa.jarslink.common.log.Marker,java.lang.String,java.lang.Throwable]",false,337,1,0,0,0,1,1,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sofa-jarslink\sofa-jarslink-parent\core\common\src\main\java\com\alipay\sofa\jarslink\common\log\JSKLogger.java,com.alipay.sofa.jarslink.common.log.JSKLogger,"warn/2[java.lang.String,java.lang.Throwable]",false,247,0,0,0,0,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sofa-jarslink\sofa-jarslink-parent\core\common\src\main\java\com\alipay\sofa\jarslink\common\log\JSKLogger.java,com.alipay.sofa.jarslink.common.log.JSKLogger,error/1[java.lang.String],false,287,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sofa-jarslink\sofa-jarslink-parent\core\common\src\main\java\com\alipay\sofa\jarslink\common\log\JSKLogger.java,com.alipay.sofa.jarslink.common.log.JSKLogger,"info/4[com.alipay.sofa.jarslink.common.log.Marker,java.lang.String,java.lang.Object,java.lang.Object]",false,207,1,0,0,0,1,1,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sofa-jarslink\sofa-jarslink-parent\core\common\src\main\java\com\alipay\sofa\jarslink\common\log\JSKLogger.java,com.alipay.sofa.jarslink.common.log.JSKLogger,isWarnEnabled/0,false,222,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
