file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spark\src\test\java\spark\FilterImplTest.java,spark.FilterImplTest$Anonymous1,anonymous,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spark\src\test\java\spark\examples\templateview\FreeMarkerExample.java,spark.examples.templateview.FreeMarkerExample,class,3,3,0,3,1,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,10,1,0,0,0,0,4,0,1,0,3,1,0,0,1,11,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spark\src\main\java\spark\route\RouteEntry.java,spark.route.RouteEntry,class,3,7,4,3,36,1,0,9,0,0.5,0.0,0.0,5,0,1,1,0,3,4,0,0,0,4,0,0,0,0,4,0,0,2,75,12,2,9,0,11,19,6,17,4,15,5,0,0,0,31,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spark\src\main\java\spark\resource\AbstractResource.java,spark.resource.AbstractResource,class,6,9,3,6,22,1,1,13,91,0.0,0.0,0.0,14,0,13,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,2,83,13,1,4,5,4,7,4,8,5,7,2,0,0,0,140,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spark\src\main\java\spark\servlet\SparkApplication.java,spark.servlet.SparkApplication,interface,0,2,2,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spark\src\test\java\spark\examples\transformer\DefaultTransformerExample.java,spark.examples.transformer.DefaultTransformerExample,class,4,4,0,4,1,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,3,14,2,0,0,0,0,7,0,1,0,6,1,0,0,3,11,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spark\src\test\java\spark\examples\exception\NotFoundException.java,spark.examples.exception.NotFoundException,class,0,5,5,0,0,4,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,11,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spark\src\main\java\spark\http\matching\RouteContext.java,spark.http.matching.RouteContext,class,8,14,6,8,20,1,0,0,136,0.84999996,0.0,0.0,20,1,18,1,0,1,19,0,0,0,9,0,0,9,0,0,0,0,0,79,19,0,0,0,0,0,0,9,0,9,0,0,0,0,34,16,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spark\src\main\java\spark\http\matching\Routes.java,spark.http.matching.Routes,class,9,10,1,9,12,1,0,24,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,41,0,0,6,0,1,2,0,12,0,8,4,0,0,0,24,16,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spark\src\main\java\spark\route\HttpMethod.java,spark.route.HttpMethod,enum,1,12,11,1,4,1,0,4,0,0.0,0.0,0.0,1,1,1,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,1,11,1,1,1,0,0,0,0,2,0,2,1,0,0,0,30,1,0
