file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spider-flow\spider-flow-core\src\main\java\org\spiderflow\core\Spider.java,org.spiderflow.core.Spider$SpiderTask,innerclass,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,0,0,0,0,4,0,0,0,12,0,0,0,0,0,0,0,4,0,4,0,0,0,0,10,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spider-flow\spider-flow-api\src\main\java\org\spiderflow\executor\PluginConfig.java,org.spiderflow.executor.PluginConfig,interface,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spider-flow\spider-flow-core\src\main\java\org\spiderflow\core\expression\parsing\Ast.java,org.spiderflow.core.expression.parsing.Ast$LongLiteral,innerclass,4,4,0,4,3,3,0,4,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,1,13,2,0,0,0,0,0,2,1,1,1,0,0,0,0,24,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spider-flow\spider-flow-core\src\main\java\org\spiderflow\core\expression\parsing\Parser.java,org.spiderflow.core.expression.parsing.Parser,class,30,32,2,30,55,1,0,28,51,0.8181818,NaN,NaN,11,11,1,10,0,0,1,0,0,0,2,2,0,2,0,0,2,0,24,176,28,7,4,0,0,7,2,36,1,28,4,0,0,0,104,1,2
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spider-flow\spider-flow-core\src\main\java\org\spiderflow\core\mapper\SpiderFlowMapper.java,org.spiderflow.core.mapper.SpiderFlowMapper,interface,8,10,2,8,14,1,0,0,91,0.0,0.0,0.0,14,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,45,0,0,0,0,0,0,0,0,68,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spider-flow\spider-flow-web\src\main\java\org\spiderflow\controller\TaskController.java,org.spiderflow.controller.TaskController,class,12,12,0,12,6,1,0,6,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,2,20,3,0,3,0,0,10,0,2,0,3,1,0,0,0,21,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spider-flow\spider-flow-core\src\main\java\org\spiderflow\core\executor\function\extension\DateFunctionExtension.java,org.spiderflow.core.executor.function.extension.DateFunctionExtension,class,5,6,1,5,3,1,0,2,3,0.0,0.0,0.0,3,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,11,3,0,0,0,0,5,0,0,0,0,0,0,0,0,9,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spider-flow\spider-flow-core\src\main\java\org\spiderflow\core\expression\parsing\Span.java,org.spiderflow.core.expression.parsing.Span,class,2,33,31,2,27,1,0,5,0,0.5,0.0,0.0,9,0,9,0,0,0,9,0,0,0,4,0,0,4,0,0,2,0,0,105,6,3,3,0,0,13,12,17,5,11,2,0,1,0,71,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spider-flow\spider-flow-api\src\main\java\org\spiderflow\enums\FlowNoticeType.java,org.spiderflow.enums.FlowNoticeType,enum,0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spider-flow\spider-flow-core\src\main\java\org\spiderflow\core\executor\function\extension\ResponseFunctionExtension.java,org.spiderflow.core.executor.function.extension.ResponseFunctionExtension,class,11,12,1,11,16,1,0,29,120,0.0,0.0,0.0,16,15,16,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,24,51,16,0,0,0,0,34,0,1,0,4,0,0,0,3,32,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spider-flow\spider-flow-core\src\main\java\org\spiderflow\core\expression\parsing\Ast.java,org.spiderflow.core.expression.parsing.Ast$MapOrArrayAccess,innerclass,15,15,0,15,19,3,0,12,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,2,0,3,71,16,0,2,0,16,3,0,6,2,6,2,0,0,0,53,9,2
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spider-flow\spider-flow-core\src\main\java\org\spiderflow\core\expression\parsing\Ast.java,org.spiderflow.core.expression.parsing.Ast$MethodCall,innerclass,11,11,0,11,29,3,0,34,12,0.6666667,0.0,0.0,9,0,9,0,0,0,9,0,0,0,4,0,0,4,0,0,3,0,22,131,15,4,8,6,0,11,10,33,4,24,5,0,0,0,95,9,6
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spider-flow\spider-flow-core\src\main\java\org\spiderflow\core\expression\parsing\Ast.java,org.spiderflow.core.expression.parsing.Ast$VariableAccess,innerclass,5,5,0,5,3,3,0,3,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,1,0,1,0,0,0,0,44,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spider-flow\spider-flow-core\src\main\java\org\spiderflow\core\job\SpiderJobManager.java,org.spiderflow.core.job.SpiderJobManager,class,13,15,2,13,7,1,0,21,6,0.68,0.0,0.0,5,0,3,2,0,0,3,0,0,0,5,3,1,4,0,0,2,0,0,42,6,0,0,2,0,4,0,6,2,8,1,0,0,1,40,1,2
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spider-flow\spider-flow-api\src\main\java\org\spiderflow\model\SpiderNode.java,org.spiderflow.model.SpiderNode,class,2,26,24,2,40,1,0,20,179,0.8695652,0.0,0.0,23,0,22,1,0,0,22,0,0,0,10,0,0,10,0,0,0,0,0,131,15,5,8,0,0,7,6,27,1,23,3,0,0,0,66,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spider-flow\spider-flow-core\src\main\java\org\spiderflow\core\executor\function\ListFunctionExecutor.java,org.spiderflow.core.executor.function.ListFunctionExecutor,class,4,4,0,4,16,1,0,7,10,0.0,0.0,0.0,5,4,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,36,7,2,5,0,4,10,7,6,8,6,2,0,0,0,24,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spider-flow\spider-flow-web\src\main\java\org\spiderflow\websocket\WebSocketEditorServer.java,org.spiderflow.websocket.WebSocketEditorServer,class,11,11,0,11,9,1,0,13,0,0.25,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,1,1,1,0,0,0,0,1,37,0,0,3,0,0,10,0,5,0,6,3,0,0,1,29,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spider-flow\spider-flow-api\src\main\java\org\spiderflow\concurrent\RandomThreadSubmitStrategy.java,org.spiderflow.concurrent.RandomThreadSubmitStrategy,class,3,4,1,3,4,1,0,5,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,15,3,0,0,0,0,0,4,1,1,3,0,0,0,1,11,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spider-flow\spider-flow-api\src\main\java\org\spiderflow\context\SpiderContext.java,org.spiderflow.context.SpiderContext,class,6,29,23,6,19,3,2,6,145,0.9236111,0.0,0.0,18,0,18,0,0,0,18,0,0,0,8,1,0,8,0,0,1,0,2,61,10,0,1,0,0,2,1,10,0,9,0,0,0,0,47,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spider-flow\spider-flow-core\src\main\java\org\spiderflow\core\expression\parsing\Ast.java,org.spiderflow.core.expression.parsing.Ast$ShortLiteral,innerclass,4,4,0,4,3,3,0,4,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,1,13,2,0,0,0,0,0,2,1,1,1,0,0,0,0,23,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spider-flow\spider-flow-web\src\main\java\org\spiderflow\configuration\WebSocketConfiguration.java,org.spiderflow.configuration.WebSocketConfiguration,class,5,5,0,5,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,11,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spider-flow\spider-flow-core\src\main\java\org\spiderflow\core\utils\SpiderFlowUtils.java,org.spiderflow.core.utils.SpiderFlowUtils,class,5,9,4,5,11,1,0,28,1,0.0,NaN,NaN,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,52,3,3,2,0,0,15,1,17,0,15,3,0,0,0,34,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spider-flow\spider-flow-core\src\main\java\org\spiderflow\core\expression\parsing\Ast.java,org.spiderflow.core.expression.parsing.Ast$MapLiteral,innerclass,7,7,0,7,9,3,0,13,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,2,0,0,37,3,1,3,0,0,1,2,12,0,9,3,0,0,0,39,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spider-flow\spider-flow-core\src\main\java\org\spiderflow\core\executor\shape\LoopExecutor.java,org.spiderflow.core.executor.shape.LoopExecutor,class,4,4,0,4,2,1,0,0,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,3,3,0,0,0,3,0,0,10,1,0,0,0,0,4,0,3,0,3,0,0,0,0,23,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spider-flow\spider-flow-core\src\main\java\org\spiderflow\core\model\Task.java,org.spiderflow.core.model.Task,class,2,5,3,2,8,1,0,0,20,0.75,0.0,0.0,8,0,8,0,0,0,8,0,0,0,4,0,0,4,0,0,0,0,0,30,4,0,0,0,0,1,0,4,0,4,0,0,0,0,15,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spider-flow\spider-flow-web\src\main\java\org\spiderflow\configuration\ResourcesConfiguration.java,org.spiderflow.configuration.ResourcesConfiguration,class,4,4,0,4,2,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,15,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spider-flow\spider-flow-core\src\main\java\org\spiderflow\core\service\SpiderFlowService.java,org.spiderflow.core.service.SpiderFlowService,class,16,21,5,16,39,2,0,63,0,0.69411767,0.0,0.0,17,0,16,1,0,0,16,0,0,0,5,1,0,5,0,0,0,0,7,146,13,2,5,3,0,29,1,20,5,26,4,0,0,2,78,1,2
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spider-flow\spider-flow-web\src\main\java\org\spiderflow\logback\SpiderFlowWebSocketAppender.java,org.spiderflow.logback.SpiderFlowWebSocketAppender,class,7,7,0,7,4,2,0,11,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,2,0,0,0,0,5,0,5,2,0,0,0,21,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spider-flow\spider-flow-api\src\main\java\org\spiderflow\context\SpiderContextHolder.java,org.spiderflow.context.SpiderContextHolder,class,2,6,4,2,3,1,0,3,0,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,0,12,1,0,0,0,0,0,0,1,0,1,0,0,0,0,17,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spider-flow\spider-flow-core\src\main\java\org\spiderflow\core\expression\parsing\Ast.java,org.spiderflow.core.expression.parsing.Ast$ByteLiteral,innerclass,4,4,0,4,3,3,0,4,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,1,13,2,0,0,0,0,0,2,1,1,1,0,0,0,0,23,9,0
