file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\lib-extra\src\main\java\com\diffplug\spotless\extra\groovy\GrEclipseFormatterStep.java,com.diffplug.spotless.extra.groovy.GrEclipseFormatterStep,apply/1[com.diffplug.spotless.extra.EquoBasedStepBuilder.State],false,84,4,6,0,6,4,12,17,2,6,1,12,0,0,0,1,1,2,2,0,5,0,2,0,0,1,16,10,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\lib-extra\src\main\java\com\diffplug\spotless\extra\groovy\GrEclipseFormatterStep.java,com.diffplug.spotless.extra.groovy.GrEclipseFormatterStep,defaultVersion/0,false,37,1,5,4,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\lib-extra\src\main\java\com\diffplug\spotless\extra\groovy\GrEclipseFormatterStep.java,com.diffplug.spotless.extra.groovy.GrEclipseFormatterStep,createBuilder/1[com.diffplug.spotless.Provisioner],false,41,3,4,3,1,1,0,38,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\lib-extra\src\main\java\com\diffplug\spotless\extra\groovy\GrEclipseFormatterStep.java,com.diffplug.spotless.extra.groovy.GrEclipseFormatterStep,GrEclipseFormatterStep/0,true,32,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\testlib\src\test\java\com\diffplug\spotless\java\PalantirJavaFormatStepTest.java,com.diffplug.spotless.java.PalantirJavaFormatStepTest$Anonymous1,create/0,false,72,2,2,0,2,1,2,4,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\testlib\src\test\java\com\diffplug\spotless\java\PalantirJavaFormatStepTest.java,com.diffplug.spotless.java.PalantirJavaFormatStepTest$Anonymous1,setupTest/1[com.diffplug.spotless.SerializableEqualityTester.API],false,63,1,2,0,2,1,1,5,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\lib\src\main\java\com\diffplug\spotless\generic\PipeStepPair.java,com.diffplug.spotless.generic.PipeStepPair,defaultToggleOff/0,false,46,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\lib\src\main\java\com\diffplug\spotless\generic\PipeStepPair.java,com.diffplug.spotless.generic.PipeStepPair,"PipeStepPair/2[java.lang.String,java.util.regex.Pattern]",true,93,3,5,1,4,1,2,6,0,4,2,2,0,0,0,0,0,0,2,0,4,2,0,0,0,2,11,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\lib\src\main\java\com\diffplug\spotless\generic\PipeStepPair.java,com.diffplug.spotless.generic.PipeStepPair,in/0,false,100,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\lib\src\main\java\com\diffplug\spotless\generic\PipeStepPair.java,com.diffplug.spotless.generic.PipeStepPair,defaultToggleName/0,false,42,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\lib\src\main\java\com\diffplug\spotless\generic\PipeStepPair.java,com.diffplug.spotless.generic.PipeStepPair,"stateOutCompute/3[com.diffplug.spotless.generic.PipeStepPair.StateIn,java.lang.StringBuilder,java.lang.String]",false,180,1,2,2,0,5,16,30,2,5,3,16,0,0,1,1,0,0,5,7,7,3,2,0,0,0,22,10,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\lib\src\main\java\com\diffplug\spotless\generic\PipeStepPair.java,com.diffplug.spotless.generic.PipeStepPair,out/0,false,104,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\lib\src\main\java\com\diffplug\spotless\generic\PipeStepPair.java,com.diffplug.spotless.generic.PipeStepPair,named/1[java.lang.String],false,38,1,6,5,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\lib\src\main\java\com\diffplug\spotless\generic\PipeStepPair.java,com.diffplug.spotless.generic.PipeStepPair,defaultToggleOn/0,false,50,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\plugin-maven\src\main\java\com\diffplug\spotless\maven\pom\SortPom.java,com.diffplug.spotless.maven.pom.SortPom,newFormatterStep/1[com.diffplug.spotless.maven.FormatterStepConfig],false,78,4,3,0,3,1,2,20,1,1,1,2,0,0,0,0,0,0,0,0,17,0,0,0,0,0,40,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\plugin-maven\src\main\java\com\diffplug\spotless\maven\GitRatchetMaven.java,com.diffplug.spotless.maven.GitRatchetMaven,"getDirtyFiles/2[java.io.File,java.lang.String]",false,59,5,4,1,3,7,26,28,1,7,2,26,0,0,2,0,0,0,0,0,6,0,3,0,0,1,32,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\plugin-maven\src\main\java\com\diffplug\spotless\maven\GitRatchetMaven.java,com.diffplug.spotless.maven.GitRatchetMaven,GitRatchetMaven/0,true,34,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\plugin-maven\src\main\java\com\diffplug\spotless\maven\GitRatchetMaven.java,com.diffplug.spotless.maven.GitRatchetMaven,getParent/1[java.io.File],false,42,0,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\plugin-maven\src\main\java\com\diffplug\spotless\maven\GitRatchetMaven.java,com.diffplug.spotless.maven.GitRatchetMaven,getDir/1[java.io.File],false,37,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\plugin-maven\src\main\java\com\diffplug\spotless\maven\GitRatchetMaven.java,com.diffplug.spotless.maven.GitRatchetMaven,instance/0,false,48,1,2,1,1,3,0,10,1,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0,0,0,5,8,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\lib\src\main\java\com\diffplug\spotless\ProcessRunner.java,com.diffplug.spotless.ProcessRunner$Result,args/0,false,210,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\lib\src\main\java\com\diffplug\spotless\ProcessRunner.java,com.diffplug.spotless.ProcessRunner$Result,toString/0,false,255,1,2,2,0,5,9,31,1,6,0,9,0,0,1,1,0,0,17,3,4,5,4,0,0,1,15,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\lib\src\main\java\com\diffplug\spotless\ProcessRunner.java,com.diffplug.spotless.ProcessRunner$Result,"Result/4[java.util.List<java.lang.String>,int,byte[],byte[]]",true,203,3,1,1,0,2,0,6,0,0,4,0,0,0,0,1,0,1,0,1,4,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\lib\src\main\java\com\diffplug\spotless\ProcessRunner.java,com.diffplug.spotless.ProcessRunner$Result,stdErr/0,false,222,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\lib\src\main\java\com\diffplug\spotless\ProcessRunner.java,com.diffplug.spotless.ProcessRunner$Result,stdOutUtf8/0,false,226,0,12,12,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\lib\src\main\java\com\diffplug\spotless\ProcessRunner.java,com.diffplug.spotless.ProcessRunner$Result,stdOut/0,false,218,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\lib\src\main\java\com\diffplug\spotless\ProcessRunner.java,com.diffplug.spotless.ProcessRunner$Result,stdErrUtf8/0,false,230,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\lib\src\main\java\com\diffplug\spotless\ProcessRunner.java,com.diffplug.spotless.ProcessRunner$Result,exitCode/0,false,214,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\lib\src\main\java\com\diffplug\spotless\ProcessRunner.java,com.diffplug.spotless.ProcessRunner$Result,exitNotZero/0,false,235,0,1,1,0,2,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,10,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\lib\src\main\java\com\diffplug\spotless\ProcessRunner.java,com.diffplug.spotless.ProcessRunner$Result,assertExitZero/1[java.nio.charset.Charset],false,246,1,5,4,1,2,1,8,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,30,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\_ext\eclipse-base\src\main\java\com\diffplug\spotless\extra\eclipse\base\SpotlessEclipseCoreConfig.java,com.diffplug.spotless.extra.eclipse.base.SpotlessEclipseCoreConfig,SpotlessEclipseCoreConfig/0,true,40,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\_ext\eclipse-base\src\main\java\com\diffplug\spotless\extra\eclipse\base\SpotlessEclipseCoreConfig.java,com.diffplug.spotless.extra.eclipse.base.SpotlessEclipseCoreConfig,applyDefault/0,false,43,2,4,2,2,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\_ext\eclipse-base\src\main\java\com\diffplug\spotless\extra\eclipse\base\SpotlessEclipseCoreConfig.java,com.diffplug.spotless.extra.eclipse.base.SpotlessEclipseCoreConfig,getDefaultState/1[com.diffplug.spotless.extra.eclipse.base.SpotlessEclipseFramework.DefaultBundles],false,53,1,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\_ext\eclipse-base\src\main\java\com\diffplug\spotless\extra\eclipse\base\SpotlessEclipseCoreConfig.java,com.diffplug.spotless.extra.eclipse.base.SpotlessEclipseCoreConfig,create/1[com.diffplug.spotless.extra.eclipse.base.SpotlessEclipseFramework.DefaultBundles],false,48,2,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\plugin-gradle\src\test\java\com\diffplug\gradle\spotless\IdeHookTest.java,com.diffplug.gradle.spotless.IdeHookTest,runWith/1[java.lang.String[]],false,60,2,6,5,1,1,7,9,0,4,1,7,0,0,0,0,1,0,0,0,6,0,1,0,0,0,14,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\plugin-gradle\src\test\java\com\diffplug\gradle\spotless\IdeHookTest.java,com.diffplug.gradle.spotless.IdeHookTest,clean/0,false,83,2,1,0,1,1,5,5,0,0,0,5,1,1,0,0,0,0,5,0,0,1,0,0,0,0,11,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\plugin-gradle\src\test\java\com\diffplug\gradle\spotless\IdeHookTest.java,com.diffplug.gradle.spotless.IdeHookTest,outofbounds/0,false,97,2,1,0,1,1,4,5,0,0,0,4,1,1,0,0,0,0,4,0,0,1,0,0,0,0,11,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spotless\plugin-gradle\src\test\java\com\diffplug\gradle\spotless\IdeHookTest.java,com.diffplug.gradle.spotless.IdeHookTest,before/0,false,35,1,0,0,0,1,5,11,0,0,0,5,0,0,0,0,0,0,22,0,4,0,0,0,0,0,17,0,0,false
