file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-boot-examples\spring-boot-jpa\spring-boot-multi-Jpa\src\main\java\com\neo\config\PrimaryConfig.java,com.neo.config.PrimaryConfig,class,13,14,1,13,3,1,0,8,3,0.6666667,0.0,0.0,3,0,2,0,0,1,3,0,0,0,2,0,0,2,0,0,0,0,0,13,3,0,0,0,0,10,0,0,0,2,0,0,0,0,22,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-boot-examples\spring-boot-rabbitmq\src\main\java\com\neo\rabbit\many\NeoSender2.java,com.neo.rabbit.many.NeoSender2,class,3,4,1,3,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,8,0,0,0,0,0,4,0,1,2,2,0,0,0,0,10,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-boot-examples\spring-boot-mail\src\main\java\com\neo\service\impl\MailServiceImpl.java,com.neo.service.impl.MailServiceImpl,class,10,10,0,10,8,1,0,14,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,1,0,0,69,0,0,0,4,0,9,0,11,0,13,1,0,0,0,38,1,8
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-boot-examples\spring-boot-thymeleaf\spring-boot-thymeleaf\src\main\java\com\neo\web\ExampleController.java,com.neo.web.ExampleController,class,5,6,1,5,7,1,0,3,21,0.0,0.0,0.0,7,0,6,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,40,7,0,0,0,0,36,4,4,0,4,0,0,0,0,19,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-boot-examples\spring-boot-mail\src\main\java\com\neo\service\MailService.java,com.neo.service.MailService,interface,0,2,2,0,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-boot-examples\1.x\spring-boot-web\src\test\java\com\neo\web\HelloControlerTests.java,com.neo.web.HelloControlerTests,class,7,7,0,7,3,1,0,14,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,0,0,0,0,0,3,0,1,0,1,0,0,0,0,16,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-boot-examples\spring-boot-jpa\spring-boot-jpa\src\main\java\com\neo\model\UserInfo.java,com.neo.model.UserInfo,interface,0,3,3,0,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-boot-examples\spring-boot-mongodb\spring-boot-multi-mongodb\src\test\java\com\neo\repository\MuliDatabaseTest.java,com.neo.repository.MuliDatabaseTest,class,8,8,0,8,3,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,22,0,2,0,0,0,10,0,2,0,4,1,0,0,0,12,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-boot-examples\spring-boot-webflux\src\test\java\com\neo\HelloTests.java,com.neo.HelloTests,class,7,7,0,7,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-boot-examples\spring-boot-jpa\spring-boot-multi-Jpa\src\test\java\com\neo\repository\UserRepositoryTests.java,UserRepositoryTests,class,11,11,0,11,3,1,0,9,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,29,0,0,0,0,0,16,3,7,0,9,0,0,0,0,18,1,0
