file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-velocity\src\test\java\extensions\velocity\CaptureSystemOutput.java,extensions.velocity.CaptureSystemOutput$OutputCapture,class,3,3,0,3,7,2,0,9,0,0.5,0.0,0.0,6,0,2,1,0,3,5,0,0,0,4,0,0,4,0,0,1,0,4,64,1,0,0,1,0,0,0,5,0,4,1,0,1,0,71,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-boot-starter\mybatis-spring-boot-autoconfigure\src\test\java\org\mybatis\spring\boot\autoconfigure\MybatisLanguageDriverAutoConfigurationTest.java,org.mybatis.spring.boot.autoconfigure.MybatisLanguageDriverAutoConfigurationTest$TestingLegacyVelocityConfiguration,innerclass,2,2,0,2,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-boot-starter\mybatis-spring-boot-autoconfigure\src\test\java\org\mybatis\spring\boot\autoconfigure\MybatisAutoConfigurationTest.java,org.mybatis.spring.boot.autoconfigure.MybatisAutoConfigurationTest$DatabaseProvidersConfiguration,innerclass,5,5,0,5,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,7,0,3,0,3,0,0,0,0,12,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-web\src\main\java\sample\mybatis\web\controller\CityRestController.java,sample.mybatis.web.controller.CityRestController,class,6,6,0,6,2,1,0,1,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,3,0,1,0,1,0,0,0,0,7,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-boot-starter\mybatis-spring-boot-test-autoconfigure\src\test\java\org\mybatis\spring\boot\test\autoconfigure\MybatisTestCustomFilterIntegrationTest.java,org.mybatis.spring.boot.test.autoconfigure.MybatisTestCustomFilterIntegrationTest,class,9,9,0,9,2,1,0,4,1,0.5,0.0,0.0,2,0,0,0,0,2,2,0,0,0,2,0,0,2,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,2,0,0,0,0,26,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-boot-starter\mybatis-spring-boot-autoconfigure\src\main\java\org\mybatis\spring\boot\autoconfigure\SpringBootVFS.java,org.mybatis.spring.boot.autoconfigure.SpringBootVFS,class,5,9,4,5,9,2,2,20,2,0.5,0.0,0.0,5,2,3,1,1,0,5,0,0,0,2,1,0,2,0,0,1,0,7,30,3,0,0,1,1,6,0,5,2,6,1,0,0,1,52,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-boot-starter\mybatis-spring-boot-autoconfigure\src\test\java\org\mybatis\spring\boot\autoconfigure\MybatisAutoConfigurationTest.java,org.mybatis.spring.boot.autoconfigure.MybatisAutoConfigurationTest$CustomSqlSessionFactoryConfiguration,innerclass,4,4,0,4,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,2,0,2,0,2,0,0,0,0,14,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-boot-starter\mybatis-spring-boot-autoconfigure\src\test\java\com\example\mapper\DateTimeMapper.java,com.example.mapper.DateTimeMapper,interface,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-boot-starter\mybatis-spring-boot-autoconfigure\src\test\java\org\mybatis\spring\boot\autoconfigure\MybatisAutoConfigurationTest.java,org.mybatis.spring.boot.autoconfigure.MybatisAutoConfigurationTest$SingleLanguageDriverConfiguration,innerclass,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-thymeleaf\src\test\java\extensions\thymeleaf\CaptureSystemOutput.java,extensions.thymeleaf.CaptureSystemOutput$Extension,class,10,10,0,10,10,1,0,18,28,0.0,0.0,0.0,8,0,5,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,37,5,0,1,1,0,0,0,4,0,4,2,0,0,0,31,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-boot-starter\mybatis-spring-boot-autoconfigure\src\main\java\org\mybatis\spring\boot\autoconfigure\MybatisLanguageDriverAutoConfiguration.java,org.mybatis.spring.boot.autoconfigure.MybatisLanguageDriverAutoConfiguration$LegacyVelocityConfiguration,innerclass,7,7,0,7,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,12,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-boot-starter\mybatis-spring-boot-autoconfigure\src\test\java\org\mybatis\spring\boot\autoconfigure\MybatisLanguageDriverAutoConfigurationTest.java,org.mybatis.spring.boot.autoconfigure.MybatisLanguageDriverAutoConfigurationTest$TestingLegacyFreeMarkerConfiguration,innerclass,2,2,0,2,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-freemarker-legacy\src\test\java\extensions\freemarker\legacy\CaptureSystemOutput.java,extensions.freemarker.legacy.CaptureSystemOutput$OutputCapture,class,3,3,0,3,7,2,0,9,0,0.5,0.0,0.0,6,0,2,1,0,3,5,0,0,0,4,0,0,4,0,0,1,0,4,64,1,0,0,1,0,0,0,5,0,4,1,0,1,0,71,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-freemarker-legacy\src\test\java\sample\mybatis\freemarker\legacy\SampleMybatisApplicationMainTest.java,sample.mybatis.freemarker.legacy.SampleMybatisApplicationMainTest,class,4,4,0,4,1,1,0,4,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,1,0,1,0,1,0,0,0,0,13,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-xml\src\main\java\sample\mybatis\xml\dao\CityDao.java,sample.mybatis.xml.dao.CityDao,class,3,5,2,3,2,1,0,1,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,1,0,1,0,1,0,0,0,0,9,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-boot-starter\mybatis-spring-boot-samples\mybatis-spring-boot-sample-freemarker\src\test\java\sample\mybatis\freemarker\mapper\CityMapperTest.java,sample.mybatis.freemarker.mapper.CityMapperTest,class,5,5,0,5,4,1,0,10,0,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,1,0,0,1,0,0,0,0,0,31,0,0,0,0,0,15,5,4,0,5,0,0,0,0,17,0,0
