file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\spring-cloud-zuul\spring-cloud-producer-2\src\main\java\com\neo\ProducerApplication.java,ProducerApplication,class,3,4,1,3,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\spring-boot-admin-eureka\spring-cloud-eureka\src\main\java\com\neo\EurekaApplication.java,com.neo.EurekaApplication,class,3,4,1,3,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\spring-cloud-zuul\spring-cloud-zuul\src\main\java\com\neo\filter\TokenFilter.java,com.neo.filter.TokenFilter,class,5,6,1,5,5,2,0,13,6,0.75,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,31,5,0,0,0,0,6,3,4,0,4,1,0,0,0,22,1,1
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\eureka-producer-consumer\spring-cloud-eureka\src\main\java\com\neo\SpringCloudEurekaApplication.java,com.neo.SpringCloudEurekaApplication,class,3,4,1,3,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\spring-boot-admin-eureka\spring-cloud-producer-2\src\test\java\com\neo\Producer2ApplicationTests.java,com.neo.Producer2ApplicationTests,class,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\spring-cloud-zuul\spring-cloud-producer-2\src\main\java\com\neo\controller\HelloController.java,HelloController,class,6,8,0,8,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,13,1,0,0,1,0,5,1,1,2,1,1,0,0,0,11,1,2
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\spring-cloud-zuul\spring-cloud-producer-2\src\test\java\com\neo\ProducerApplicationTests.java,ProducerApplicationTests,class,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\gateway-service-zuul\gateway-service-zuul-eureka\src\test\java\com\neo\GatewayServiceZuulApplicationTests.java,com.neo.GatewayServiceZuulApplicationTests,class,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\spring-cloud-gateway\cloud-gateway-eureka\src\main\java\com\neo\config\Config.java,com.neo.config.Config,class,2,2,0,2,2,1,0,6,1,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,1,0,0,0,2,0,0,0,2,6,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\spring-cloud-sleuth-zipkin\zipkin-server\src\main\java\com\neo\ZipkinApplication.java,com.neo.ZipkinApplication,class,4,5,1,4,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
