file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\spring-cloud-zuul\spring-cloud-producer-2\src\main\java\com\neo\ProducerApplication.java,ProducerApplication,main/1[String[]],false,11,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\spring-boot-admin-eureka\spring-cloud-eureka\src\main\java\com\neo\EurekaApplication.java,com.neo.EurekaApplication,main/1[java.lang.String[]],false,11,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\spring-cloud-zuul\spring-cloud-zuul\src\main\java\com\neo\filter\TokenFilter.java,com.neo.filter.TokenFilter,shouldFilter/0,false,26,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\spring-cloud-zuul\spring-cloud-zuul\src\main\java\com\neo\filter\TokenFilter.java,com.neo.filter.TokenFilter,filterOrder/0,false,21,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\spring-cloud-zuul\spring-cloud-zuul\src\main\java\com\neo\filter\TokenFilter.java,com.neo.filter.TokenFilter,filterType/0,false,16,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\spring-cloud-zuul\spring-cloud-zuul\src\main\java\com\neo\filter\TokenFilter.java,com.neo.filter.TokenFilter,run/0,false,31,2,0,0,0,2,12,19,2,3,0,12,0,0,0,0,0,0,5,2,3,0,1,0,0,0,15,1,1,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\eureka-producer-consumer\spring-cloud-eureka\src\main\java\com\neo\SpringCloudEurekaApplication.java,com.neo.SpringCloudEurekaApplication,main/1[java.lang.String[]],false,11,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\spring-boot-admin-eureka\spring-cloud-producer-2\src\test\java\com\neo\Producer2ApplicationTests.java,com.neo.Producer2ApplicationTests,contextLoads/0,false,13,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\spring-cloud-zuul\spring-cloud-producer-2\src\main\java\com\neo\controller\HelloController.java,HelloController,index/1[String],false,15,3,0,0,0,2,3,10,1,0,1,3,0,0,0,0,1,0,5,1,0,2,1,0,0,0,7,1,2,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\spring-cloud-zuul\spring-cloud-producer-2\src\test\java\com\neo\ProducerApplicationTests.java,ProducerApplicationTests,contextLoads/0,false,13,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\gateway-service-zuul\gateway-service-zuul-eureka\src\test\java\com\neo\GatewayServiceZuulApplicationTests.java,com.neo.GatewayServiceZuulApplicationTests,contextLoads/0,false,13,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\spring-cloud-gateway\cloud-gateway-eureka\src\main\java\com\neo\config\Config.java,com.neo.config.Config,ipKeyResolver/0,false,10,2,0,0,0,1,4,3,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\spring-cloud-gateway\cloud-gateway-eureka\src\main\java\com\neo\config\Config.java,com.neo.config.Config,userKeyResolver/0,false,16,2,0,0,0,1,4,3,1,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\spring-cloud-sleuth-zipkin\zipkin-server\src\main\java\com\neo\ZipkinApplication.java,com.neo.ZipkinApplication,main/1[java.lang.String[]],false,13,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\spring-cloud-sleuth-zipkin\spring-cloud-zuul\src\main\java\com\neo\ZuulApplication.java,com.neo.ZuulApplication,main/1[java.lang.String[]],false,15,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\spring-cloud-consul\spring-cloud-consul-producer\src\test\java\com\neo\consul\ConsulProducerApplicationTests.java,com.neo.consul.ConsulProducerApplicationTests,contextLoads/0,false,13,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\spring-cloud-hystrix\spring-cloud-eureka\src\main\java\com\neo\SpringCloudEurekaApplication.java,SpringCloudEurekaApplication,main/1[String[]],false,11,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\spring-cloud-zuul\spring-cloud-eureka\src\test\java\com\neo\EurekaApplicationTests.java,EurekaApplicationTests,contextLoads/0,false,13,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\eureka-producer-consumer\spring-cloud-producer\src\main\java\com\neo\controller\HelloController.java,com.neo.controller.HelloController,index/1[java.lang.String],false,11,2,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\spring-cloud-hystrix\spring-cloud-consumer-hystrix\src\main\java\com\neo\controller\ConsumerController.java,ConsumerController,index/1[String],false,16,3,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\hystrix-dashboard-turbine\spring-cloud-consumer-hystrix-dashboard\src\main\java\com\neo\remote\HelloRemoteHystrix.java,com.neo.remote.HelloRemoteHystrix,hello/1[java.lang.String],false,14,1,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\spring-cloud-consul\spring-cloud-consul-producer\src\main\java\com\neo\consul\ConsulProducerApplication.java,com.neo.consul.ConsulProducerApplication,main/1[java.lang.String[]],false,11,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\spring-cloud-hystrix\spring-cloud-consumer-hystrix\src\main\java\com\neo\remote\HelloRemote.java,HelloRemote,hello/1[String],false,13,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\spring-cloud-hystrix\spring-cloud-consumer-hystrix\src\main\java\com\neo\ConsumerApplication.java,ConsumerApplication,main/1[String[]],false,14,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\spring-cloud-examples\spring-cloud-consul\spring-cloud-consul-producer-2\src\main\java\com\neo\consul\ConsulProducerApplication.java,ConsulProducerApplication,main/1[String[]],false,11,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
