file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\springfox\springfox-spring-web\src\test\java\springfox\documentation\spring\web\dummy\controllers\BugsController.java,springfox.documentation.spring.web.dummy.controllers.BugsController$UpperCasedField,innerclass,1,1,0,1,2,1,0,0,0,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,1,1,0,0,0,0,0,10,1,0,0,0,0,6,0,1,0,2,0,0,0,0,14,2,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\springfox\springfox-spring-web\src\test\java\springfox\documentation\spring\web\dummy\AlternateTypeContainer.java,springfox.documentation.spring.web.dummy.AlternateTypeContainer,class,1,2,1,1,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,11,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\springfox\springfox-spring-web\src\main\java\springfox\documentation\spring\web\paths\DefaultPathProvider.java,springfox.documentation.spring.web.paths.DefaultPathProvider,class,4,6,2,4,5,1,0,10,6,0.0,0.0,0.0,4,0,2,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,23,4,0,0,0,0,2,0,4,0,3,1,0,0,0,78,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\springfox\oas-contract-tests\src\test\groovy\springfox\test\contract\oas\ObjectMapperEventListener.java,springfox.test.contract.oas.ObjectMapperEventListener,class,4,4,0,4,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,24,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\springfox\springfox-schema\src\main\java\springfox\documentation\schema\property\MapSpecificationProvider.java,springfox.documentation.schema.property.MapSpecificationProvider,class,5,6,1,5,3,1,0,6,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,5,14,2,0,0,0,0,0,0,3,0,3,1,0,0,0,13,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\springfox\springfox-spring-web\src\main\java\springfox\documentation\spring\web\readers\parameter\ParameterNameReader.java,springfox.documentation.spring.web.readers.parameter.ParameterNameReader,class,12,13,1,12,4,1,0,14,3,0.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,17,2,0,0,0,0,2,0,3,0,2,1,0,0,1,25,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\springfox\springfox-schema\src\main\java\springfox\documentation\schema\property\ModelSpecificationFactory.java,springfox.documentation.schema.property.ModelSpecificationFactory,class,26,34,8,26,10,1,0,37,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,2,0,4,36,3,0,3,0,1,0,0,13,0,17,3,0,0,7,43,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\springfox\springfox-core\src\test\java\springfox\documentation\schema\IncorrectlyJsonValuedEnum.java,springfox.documentation.schema.IncorrectlyJsonValuedEnum,enum,1,1,0,1,2,1,0,0,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,8,1,0,0,0,0,2,0,1,0,1,0,0,0,0,14,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\springfox\springfox-spring-web\src\main\java\springfox\documentation\spring\web\scanners\MergingContext.java,springfox.documentation.spring.web.scanners.MergingContext,class,6,8,2,6,19,1,0,32,37,0.7222222,0.0,0.0,18,1,15,3,0,0,15,0,0,0,10,0,0,10,0,0,10,0,25,109,16,0,0,0,0,2,0,36,0,19,1,0,0,2,43,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\springfox\springfox-swagger1\src\main\java\springfox\documentation\swagger1\dto\ImplicitGrant.java,springfox.documentation.swagger1.dto.ImplicitGrant,class,2,4,2,2,6,2,0,0,3,0.5,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,24,2,0,0,0,0,2,0,4,0,2,0,0,0,0,11,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\springfox\springfox-core\src\main\java\springfox\documentation\schema\NumericElementFacet.java,springfox.documentation.schema.NumericElementFacet,class,3,12,9,3,13,1,0,6,0,0.5833333,0.0,0.0,10,0,10,0,0,0,10,0,0,0,6,1,1,5,0,0,6,0,6,49,11,0,3,0,0,8,0,7,6,7,1,0,0,0,42,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\springfox\swagger-contract-tests\src\main\java\springfox\test\contract\swagger\BugsController.java,springfox.test.contract.swagger.BugsController$Key,innerclass,2,2,0,2,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,1,0,1,0,1,0,0,0,0,4,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\springfox\springfox-petstore\src\main\java\springfox\petstore\controller\PetController.java,springfox.petstore.controller.PetController$PetRepository,innerclass,3,3,0,3,2,2,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\springfox\springfox-swagger-common\src\main\java\springfox\documentation\swagger\web\DocExpansion.java,springfox.documentation.swagger.web.DocExpansion,enum,2,5,3,2,5,1,0,2,0,0.0,0.0,0.0,3,1,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,1,16,3,1,0,0,0,3,0,1,0,1,2,0,0,0,19,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\springfox\swagger-contract-tests\src\main\java\springfox\test\contract\swagger\BugsController.java,springfox.test.contract.swagger.BugsController$TestClass2,innerclass,0,0,0,0,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,6,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\springfox\springfox-spring-webmvc\src\main\java\springfox\documentation\spring\web\WebMvcRequestHandler.java,springfox.documentation.spring.web.WebMvcRequestHandler,class,17,20,3,17,21,1,1,25,0,0.675,0.0,0.0,20,0,20,0,0,0,20,0,0,0,4,0,0,4,0,0,4,0,3,69,19,0,1,0,0,6,0,4,4,4,0,0,0,0,48,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\springfox\springfox-oas\src\main\java\springfox\documentation\oas\mappers\ServiceModelToOpenApiMapper.java,springfox.documentation.oas.mappers.ServiceModelToOpenApiMapper,class,71,74,3,71,40,1,0,98,276,0.9583333,0.0,0.0,24,0,2,2,16,4,22,13,0,0,1,1,0,1,0,0,1,0,8,131,12,8,4,0,11,105,0,18,4,24,3,0,0,7,102,1025,1
C:\Projetos\LabExperimentacao\medicao-lab2\repos\springfox\springfox-spring-web\src\main\java\springfox\documentation\spring\web\readers\parameter\ParameterRequiredReader.java,springfox.documentation.spring.web.readers.parameter.ParameterRequiredReader,class,16,17,1,16,11,1,0,31,22,0.625,0.0,0.0,8,0,3,3,0,2,5,0,0,0,1,0,0,1,0,0,1,0,1,48,5,0,0,0,1,5,0,12,1,16,2,0,0,4,54,1,0
