file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\springside4\modules\utils\src\test\java\org\springside\modules\utils\base\RuntimeUtilTest.java,org.springside.modules.utils.base.RuntimeUtilTest,testRuntime/0,false,9,2,6,0,6,1,9,13,0,0,0,9,0,0,0,0,0,0,3,2,0,3,0,1,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\springside4\modules\utils\src\main\java\org\springside\modules\utils\number\UnitConverter.java,org.springside.modules.utils.number.UnitConverter,toDurationMillis/1[java.lang.String],false,45,0,1,1,0,9,7,27,6,4,1,7,0,0,0,2,0,0,2,5,4,6,2,0,0,0,31,9,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\springside4\modules\utils\src\main\java\org\springside\modules\utils\number\UnitConverter.java,org.springside.modules.utils.number.UnitConverter,toBytes/1[java.lang.String],false,86,0,1,1,0,8,6,30,6,4,1,6,0,0,0,1,0,0,2,3,4,6,3,0,0,0,21,9,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\springside4\modules\utils\src\main\java\org\springside\modules\utils\number\UnitConverter.java,org.springside.modules.utils.number.UnitConverter,toTimeWithMinorUnit/1[long],false,177,0,0,0,0,5,1,15,5,0,1,1,0,0,0,0,0,3,5,3,0,10,1,0,0,0,23,9,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\springside4\modules\utils\src\main\java\org\springside\modules\utils\number\UnitConverter.java,org.springside.modules.utils.number.UnitConverter,"toTimeUnit/2[long,int]",false,151,0,1,1,0,9,1,15,5,0,2,1,0,0,0,4,0,4,9,16,0,16,1,0,0,0,23,9,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\springside4\modules\utils\src\main\java\org\springside\modules\utils\number\UnitConverter.java,org.springside.modules.utils.number.UnitConverter,"toSizeUnit/2[java.lang.Long,int]",false,123,0,1,1,0,10,1,18,6,0,2,1,0,0,0,5,0,4,10,16,0,16,1,0,0,0,12,9,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\springside4\modules\metrics\src\main\java\org\springside\modules\metrics\utils\Clock.java,org.springside.modules.metrics.utils.Clock$MockClock,MockClock/1[long],true,41,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\springside4\modules\metrics\src\main\java\org\springside\modules\metrics\utils\Clock.java,org.springside.modules.metrics.utils.Clock$MockClock,update/1[long],false,53,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\springside4\modules\metrics\src\main\java\org\springside\modules\metrics\utils\Clock.java,org.springside.modules.metrics.utils.Clock$MockClock,decreaseTime/1[int],false,67,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\springside4\modules\metrics\src\main\java\org\springside\modules\metrics\utils\Clock.java,org.springside.modules.metrics.utils.Clock$MockClock,MockClock/0,true,37,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,false
