file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sqlbrite\sqlbrite\src\androidTest\java\com\squareup\sqlbrite3\SqlBriteTest.java,com.squareup.sqlbrite3.SqlBriteTest$Anonymous1,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sqlbrite\sample\src\main\java\com\example\sqlbrite\todo\db\DbModule.java,com.example.sqlbrite.todo.db.DbModule,class,12,12,0,12,2,1,0,10,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,1,0,4,0,4,0,1,0,0,23,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sqlbrite\sqlbrite\src\androidTest\java\com\squareup\sqlbrite3\SqlBriteTest.java,com.squareup.sqlbrite3.SqlBriteTest$Anonymous2,anonymous,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sqlbrite\sqlbrite\src\main\java\com\squareup\sqlbrite3\SqlBrite.java,com.squareup.sqlbrite3.SqlBrite$Builder,innerclass,7,7,0,7,5,1,0,0,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,17,3,0,2,0,0,2,0,4,0,2,1,0,0,0,26,25,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sqlbrite\sample\src\main\java\com\example\sqlbrite\todo\ui\ItemsFragment.java,com.example.sqlbrite.todo.ui.ItemsFragment$Anonymous6,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sqlbrite\sqlbrite\src\androidTest\java\com\squareup\sqlbrite3\SqlBriteTest.java,com.squareup.sqlbrite3.SqlBriteTest$Anonymous3,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sqlbrite\sqlbrite\src\androidTest\java\com\squareup\sqlbrite3\SqlBriteTest.java,com.squareup.sqlbrite3.SqlBriteTest,class,9,9,0,9,7,2,0,19,4,0.8,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,3,0,3,0,0,3,0,0,103,0,0,0,2,0,17,3,15,0,15,1,3,2,0,44,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sqlbrite\sqlbrite\src\androidTest\java\com\squareup\sqlbrite3\QueryObservableTest.java,com.squareup.sqlbrite3.QueryObservableTest$Anonymous1,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sqlbrite\sample\src\main\java\com\example\sqlbrite\todo\db\TodoItem.java,com.example.sqlbrite.todo.db.TodoItem,class,5,8,3,5,4,1,0,0,6,0.9583333,0.0,0.0,4,0,4,0,0,0,4,4,0,0,6,6,6,0,0,0,6,0,0,43,0,0,0,0,0,5,0,6,0,6,0,1,1,0,23,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sqlbrite\sqlbrite\src\androidTest\java\com\squareup\sqlbrite3\QueryObservableTest.java,com.squareup.sqlbrite3.QueryObservableTest$Anonymous3,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,2,0,1,0,1,0,0,0,0,4,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sqlbrite\sqlbrite\src\androidTest\java\com\squareup\sqlbrite3\QueryObservableTest.java,com.squareup.sqlbrite3.QueryObservableTest$Anonymous2,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sqlbrite\sqlbrite\src\androidTest\java\com\squareup\sqlbrite3\SqlBriteTest.java,com.squareup.sqlbrite3.SqlBriteTest$Name,innerclass,3,3,0,3,6,1,0,2,0,0.33333334,0.0,0.0,4,0,3,0,0,1,4,0,0,0,3,1,0,0,0,3,3,0,0,26,5,0,1,0,1,1,1,4,3,4,1,1,0,0,16,24,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sqlbrite\sqlbrite\src\androidTest\java\com\squareup\sqlbrite3\QueryObservableTest.java,com.squareup.sqlbrite3.QueryObservableTest$Anonymous4,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sqlbrite\sample\src\main\java\com\example\sqlbrite\todo\ui\ListsItem.java,com.example.sqlbrite.todo.ui.ListsItem$Anonymous1,anonymous,4,4,0,4,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,8,1,0,0,0,0,0,0,3,0,3,0,0,0,0,12,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sqlbrite\sqlbrite\src\androidTest\java\com\squareup\sqlbrite3\TestDb.java,com.squareup.sqlbrite3.TestDb,class,5,9,4,5,5,2,0,6,10,0.86,0.0,0.0,5,2,2,0,0,3,5,0,0,0,10,7,0,2,0,8,7,0,5,75,2,0,0,0,0,41,1,12,5,12,0,0,3,0,51,16,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sqlbrite\sqlbrite\src\androidTest\java\com\squareup\sqlbrite3\SqlBriteTest.java,com.squareup.sqlbrite3.SqlBriteTest$CursorQuery,innerclass,2,2,0,2,2,2,0,0,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4,24,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sqlbrite\sample\src\main\java\com\example\sqlbrite\todo\ui\ItemsFragment.java,com.example.sqlbrite.todo.ui.ItemsFragment$Anonymous4,anonymous,2,2,0,2,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,1,0,1,1,1,0,1,2,0,0,0,7,-1,0
